nId	nSubId	nTaskGroupId	nTaskSubId	szClassName	ExParam1	ExParam2	ExParam3	ExParam4	ExParam5	ExParam6	ExParam7	ExParam8	ExParam9	ExParam10	ExParam11	ExParam12	ExParam13	ExParam14	ExParam15
14	1			ShowDialog	2|4	<color=yellow>[剧情]<color>义军亲人	点击对话选项：义军亲人	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
15	1			ShowDialog	2|4	开始答题	点击对话选项：开始答题	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	676							
16	1			ShowTaskList	3|3	义军亲人 步骤：1/7	防具铺老板沈荷叶	点击防具铺老板沈荷叶，自动寻路	360	CloseWindow,UI_TASKTRACK									
17	1			ShowTaskList	3|3	义军亲人 步骤：2/7	首饰铺老板郝漂靓	点击首饰铺老板郝漂靓，自动寻路	360	CloseWindow,UI_TASKTRACK									
18	1			ShowTaskList	3|3	义军亲人 步骤：3/7	与张斩经对话	点击与张斩经对话，自动寻路	360	CloseWindow,UI_TASKTRACK									
19	1			ShowTaskList	3|3	义军亲人 步骤：4/7	与不动先生对话	点击与不动先生对话，自动寻路	360	CloseWindow,UI_TASKTRACK									
20	1			ShowTaskList	3|3	义军亲人 步骤：5/7	大老白	点击大老白，自动寻路	360	CloseWindow,UI_TASKTRACK									
21	1			ShowTaskList	3|3	义军亲人 步骤：6/7	不动先生	点击不动先生，自动寻路	360	CloseWindow,UI_TASKTRACK									
22	1			ShowTaskList	3|3	义军亲人 步骤：7/7	金创药	点击你已经收集了0/1个金创药（小）	360	CloseWindow,UI_TASKTRACK									
23	1			ShowDialog	2|4	<color=yellow>[剧情]<color>先利其器	点击对话选项：先利其器	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
24	1			ShowTaskList	3|3	先利其器 步骤：1/2	酒楼老板买两个	点击去找酒楼老板买两个素炒竹肉，自动寻路	360	CloseWindow,UI_TASKTRACK									UiManager:CloseWindow(Ui.UI_SHOP);UiManager:CloseWindow(Ui.UI_ITEMBOX);
25	1			ShowTaskList	3|3	先利其器 步骤：2/2	甜酒叔	点击甜酒叔，自动寻路	360	CloseWindow,UI_TASKTRACK									UiManager:CloseWindow(Ui.UI_SHOP);UiManager:CloseWindow(Ui.UI_ITEMBOX);Tutorial:OnGetItem_Cai();
26	1			ShowDialog	2|4	<color=yellow>[剧情]<color>初出茅庐	点击对话选项：初出茅庐	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
27	1			ShowTaskList	3|3	初出茅庐 步骤：1/4	甜酒叔	点击甜酒叔，自动寻路	360	CloseWindow,UI_TASKTRACK									
28	1			ShowTaskList	3|3	初出茅庐 步骤：2/4	沈铁石	点击沈铁石，自动寻路	360	CloseWindow,UI_TASKTRACK									
29	1			ShowTaskList	3|3	初出茅庐 步骤：3/4	驯养的麋鹿	点击驯养的麋鹿，自动寻路	360	CloseWindow,UI_TASKTRACK									
30	1			ShowTaskList	3|3	初出茅庐 步骤：4/4	许仕伟	点击许仕伟，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
31	1			ShowDialog	2|4	<color=yellow>[剧情]<color>病有蹊跷	点击对话选项：病有蹊跷	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
32	1			ShowTaskList	3|3	病有蹊跷 步骤：1/2	击败野生小猴并获得猴儿酒	点击击败野生小猴并获得猴儿酒，自动寻路	360	CloseWindow,UI_TASKTRACK									
33	1			ShowTaskList	3|3	病有蹊跷 步骤：2/2	许仕伟	点击与许仕伟对话，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
34	1			ShowDialog	2|4	<color=yellow>[剧情]<color>沙场往事	点击对话选项：沙场往事	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
35	1			ShowTaskList	3|3	沙场往事 步骤：1/4	幼熊	点击幼熊，自动寻路	360	CloseWindow,UI_TASKTRACK									
36	1			ShowTaskList	3|3	沙场往事 步骤：2/4	与许仕伟对话	点击与许仕伟对话，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
37	1			ShowTaskList	3|3	沙场往事 步骤：3/4	与沈荷叶对话	点击与沈荷叶对话，自动寻路	360	CloseWindow,UI_TASKTRACK									
38	1			ShowTaskList	3|3	沙场往事 步骤：4/4	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									
39	1			ShowDialog	2|4	<color=yellow>[剧情]<color>门派甄选	点击对话选项：门派甄选	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
40	1			ShowTaskList	3|3	门派甄选 步骤：1/5	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									
41	1			ShowTaskList	3|3	门派甄选 步骤：2/5	丽影	点击丽影，自动寻路	360	CloseWindow,UI_TASKTRACK									
42	1			ShowTaskList	3|3	门派甄选 步骤：3/5		去门派接引人处加入一个门派	360	CloseWindow,UI_TASKTRACK									
43	1			ShowTaskList	3|3	门派甄选 步骤：4/5		按F3查看技能，并选择一个路线加技能点	360	CloseWindow,UI_TASKTRACK									
44	1			ShowTaskList	3|3	门派甄选 步骤：5/5	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									
45	1			ShowDialog	2|4	<color=yellow>[剧情]<color>试炼之行	点击对话选项：试炼之行	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
46	1			ShowTaskList	3|3	试炼之行 步骤：1/12	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									
47	1			ShowTaskList	3|3	试炼之行 步骤：2/12	义军士兵	点击义军士兵，自动寻路	360	CloseWindow,UI_TASKTRACK									Tutorial:UseSkillTutorial(10001)
48	1			ShowTaskList	3|3	试炼之行 步骤：3/12	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
49	1			ShowTaskList	3|3	试炼之行 步骤：4/12	5桶水	点击你收集桶水，自动寻路	360	CloseWindow,UI_TASKTRACK									
50	1			ShowTaskList	3|3	试炼之行 步骤：5/12	火苗	点击火苗，自动寻路	360	CloseWindow,UI_TASKTRACK									
51	1			ShowTaskList	3|3	试炼之行 步骤：6/12	5株冰凌草	点击收集冰凌草，自动寻路	360	CloseWindow,UI_TASKTRACK									
52	1			ShowTaskList	3|3	试炼之行 步骤：7/12	5位受伤的士兵	点击治愈受伤的士兵，自动寻路	360	CloseWindow,UI_TASKTRACK									
53	1			ShowTaskList	3|3	试炼之行 步骤：8/12	细作	点击细作，自动寻路	360	CloseWindow,UI_TASKTRACK									
54	1			ShowTaskList	3|3	试炼之行 步骤：9/12	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
55	1			ShowTaskList	3|3	试炼之行 步骤：10/12	五行柱	点击五行柱，自动寻路	360	CloseWindow,UI_TASKTRACK									
56	1			ShowTaskList	3|3	试炼之行 步骤：11/12	击败陆展风	点击击败陆展风，自动寻路	360	CloseWindow,UI_TASKTRACK									
57	1			ShowTaskList	3|3	试炼之行 步骤：12/12	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
58	1			ShowDialog	2|4	<color=yellow>[剧情]<color>初试锋芒	点击对话选项：初试锋芒	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
59	1			ShowTaskList	3|3	初试锋芒 步骤：1/4	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									
60	1			ShowTaskList	3|3	初试锋芒 步骤：2/4	击败义军叛徒	点击击败义军叛徒，自动寻路	360	CloseWindow,UI_TASKTRACK									
61	1			ShowTaskList	3|3	初试锋芒 步骤：3/4	击败强贼	点击击败强贼，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
62	1			ShowTaskList	3|3	初试锋芒 步骤：4/4	营救界山宗师傅	点击营救界山宗师傅，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
63	1			ShowDialog	2|4	<color=yellow>[剧情]<color>机关宗师	点击对话选项：机关宗师	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
64	1			ShowTaskList	3|3	机关宗师 步骤：1/6	机关	点击小机关兽与劣质机关人，自动寻路	360	CloseWindow,UI_TASKTRACK									
65	1			ShowTaskList	3|3	机关宗师 步骤：2/6	与界山宗对话	点击与界山宗对话，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
66	1			ShowTaskList	3|3	机关宗师 步骤：3/6	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									
67	1			ShowTaskList	3|3	机关宗师 步骤：4/6	冶炼大师	点击冶炼大师，自动寻路	360	CloseWindow,UI_TASKTRACK									
68	1			ShowTaskList	3|3	机关宗师 步骤：5/6	将身上任意一件装备化到	点击将身上任意一件装备化到+1，自动寻路	360	CloseWindow,UI_TASKTRACK									
69	1			ShowTaskList	3|3	机关宗师 步骤：6/6	冶炼大师	点击冶炼大师，自动寻路	360	CloseWindow,UI_TASKTRACK									UiManager:CloseWindow(Ui.UI_EQUIPENHANCE);UiManager:CloseWindow(Ui.UI_ITEMBOX);
70	1			ShowDialog	2|4	<color=yellow>[剧情]<color>奇珍谜题	点击对话选项：奇珍谜题	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
71	1			ShowTaskList	3|3	奇珍谜题 步骤：1/6	钱庄老板谢贤	点击钱庄老板谢贤，自动寻路	360	CloseWindow,UI_TASKTRACK									
72	1			ShowTaskList	3|3	奇珍谜题 步骤：2/6	破旧箱子	点击破旧箱子，自动寻路	360	CloseWindow,UI_TASKTRACK									
73	1			ShowTaskList	3|3	奇珍谜题 步骤：3/6	你已经收集了0/1个物品	点击你已经收集了0/1个物品，自动寻路	360	CloseWindow,UI_TASKTRACK									
74	1			ShowTaskList	3|3	奇珍谜题 步骤：4/6	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									
75	1			ShowTaskList	3|3	奇珍谜题 步骤：5/6	物品保管人邹德侩	点击物品保管人邹德侩，自动寻路	360	CloseWindow,UI_TASKTRACK									
76	1			ShowTaskList	3|3	奇珍谜题 步骤：6/6	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									
77	1			ShowDialog	2|4	<color=yellow>[剧情]<color>故人相逢	点击对话选项：故人相逢	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
78	1			ShowTaskList	3|3	故人相逢 步骤：1/3	老渔夫	点击老渔夫，自动寻路	360	CloseWindow,UI_TASKTRACK									
79	1			ShowTaskList	3|3	故人相逢 步骤：2/3	已收集水产大师钓上的	点击已收集水产大师钩上的青鱼，自动寻路	360	CloseWindow,UI_TASKTRACK									
80	1			ShowTaskList	3|3	故人相逢 步骤：3/3	溺水的士兵	点击溺水的士兵，自动寻路	360	CloseWindow,UI_TASKTRACK									
81	1			ShowDialog	2|4	<color=yellow>[剧情]<color>侠义之惩	点击对话选项：侠义之惩	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
82	1			ShowTaskList	3|3	侠义之惩 步骤：1/4	村外的绝问坡	点击村外的绝问坡，自动寻路	360	CloseWindow,UI_TASKTRACK									
83	1			ShowTaskList	3|3	侠义之惩 步骤：2/4	武士	点击击败金国、西夏武士，自动寻路	360	CloseWindow,UI_TASKTRACK									
84	1			ShowTaskList	3|3	侠义之惩 步骤：3/4	赶返绝问坡	点击赶返绝问坡，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
85	1			ShowTaskList	3|3	侠义之惩 步骤：4/4	毒虫	点击毒虫，自动寻路	360	CloseWindow,UI_TASKTRACK									
86	1			ShowDialog	2|4	<color=yellow>[剧情]<color>一诗成谜	点击对话选项：一诗成谜	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
87	1			ShowTaskList	3|3	一诗成谜 步骤：1/6	水灵花	点击水灵花，自动寻路	360	CloseWindow,UI_TASKTRACK									
88	1			ShowTaskList	3|3	一诗成谜 步骤：2/6	与白疆对话	点击与白疆对话，自动寻路	360	CloseWindow,UI_TASKTRACK									
89	1			ShowTaskList	3|3	一诗成谜 步骤：3/6	武士	点击南宋、蒙古武士，自动寻路	360	CloseWindow,UI_TASKTRACK									
90	1			ShowTaskList	3|3	一诗成谜 步骤：4/6	与白疆对话	点击与白疆对话，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
91	1			ShowTaskList	3|3	一诗成谜 步骤：5/6	你已经收集了	点击你已经收集了0/1份礼物，自动寻路	360	CloseWindow,UI_TASKTRACK									
92	1			ShowTaskList	3|3	一诗成谜 步骤：6/6	与崔剑对话	点击与崔剑对话，自动寻路	360	CloseWindow,UI_TASKTRACK									Tutorial:OnGetItem() 
93	1			ShowDialog	2|4	<color=yellow>[剧情]<color>前尘碧落	点击对话选项：前尘碧落	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
94	1			ShowTaskList	3|3	前尘碧落 步骤：1/10	前往碧落谷解开身世谜团	点击前往碧落谷解开身世谜团，自动寻路	360	CloseWindow,UI_TASKTRACK									
95	1			ShowTaskList	3|3	前尘碧落 步骤：2/10	毒虫	点击毒虫，自动寻路	360	CloseWindow,UI_TASKTRACK									
96	1			ShowTaskList	3|3	前尘碧落 步骤：3/10	奇怪的蘑菇	点击奇怪的蘑菇，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
97	1			ShowTaskList	3|3	前尘碧落 步骤：4/10	毒一风	点击毒一风，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
98	1			ShowTaskList	3|3	前尘碧落 步骤：5/10	蛊瓮	点击蛊瓮，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
99	1			ShowTaskList	3|3	前尘碧落 步骤：6/10	毒蝎	点击毒蝎，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
100	1			ShowTaskList	3|3	前尘碧落 步骤：7/10		点击隐藏侠士链接，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
101	1			ShowTaskList	3|3	前尘碧落 步骤：8/10	夕岚	点击夕岚，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
102	1			ShowDialog	2|4	快送我去碧落谷	点击对话选项：快送我去碧落谷	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	691	1						
103	1			ShowDialog	2|4	是的，我确定前往碧落谷	点击对话选项：是的，我确定前往碧落谷	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	691	1						
104	1			ShowDialog	2|4	我要离开碧落谷	点击对话选项：我要离开碧落谷	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	691	1						
105	1			ShowDialog	2|4	我不想做任务	点击对话选项：我不想做任务	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	683	1						
106	1			ShowDialog	2|4	<color=yellow>送我去试练山庄<color>	点击对话选项：送我去试练山庄	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	683	1						
107	1			ShowDialog	2|4	是的，我确定前往试练山庄	点击对话选项：是的，我确定前往试练山庄	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	683	1						
108	1			ShowItem	2|3	20,1,877,1	左键拖入或右键点击放入给予界面中	360	CloseWindow,UI_ITEMBOX	MoveWindow,UI_ITEMBOX									
108	2			ShowButton	2|3	UI_ITEMGIFT	BtnOk	点击确定按钮完成给予	360		CloseWindow,UI_ITEMGIFT	MoveWindow,UI_ITEMGIFT							
109	1			ShowDialog	2|4	<color=gold>【绑定银两】<color>药品	点击对话选项：【绑定银两】药品	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	676							
110	1			ShowObj	2|3	UI_SHOP	ObjShop	0	0	点击金创药（小），弹出购买界面	360	ShopObjClick,UI_SHOP,ObjShop,0,0	CloseWindow,UI_SHOP	MoveWindow,UI_SHOP					
111	1			ShowButton	2|3	UI_SHOPBUY	BtnAccept	点击确定购买物品	360		CloseWindow,UI_SHOPBUY	MoveWindow,UI_SHOPBUY							
112	1			ShowDialog	2|4	<color=gold>【绑定银两】<color>食物	点击对话选项：【绑定银两】食物	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	677	1						
113	1			ShowObj	2|3	UI_SHOP	ObjShop	0	0	点击素炒竹肉，弹出购买界面	360	ShopObjClick,UI_SHOP,ObjShop,0,0	CloseWindow,UI_SHOP	MoveWindow,UI_SHOP					
114	1			ShowButton	2|3	UI_SHOPBUY	BtnAdd	点击+按钮，购买多个数量	360		CloseWindow,UI_SHOPBUY	MoveWindow,UI_SHOPBUY							
114	2			ShowButton	2|3	UI_SHOPBUY	BtnAccept	点击确定购买物品	360		CloseWindow,UI_SHOPBUY	MoveWindow,UI_SHOPBUY							
115	1			ShowDialog	2|4	门派介绍及加入门派翠烟	点击对话选项：门派介绍及加入门派翠烟	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
116	1			ShowDialog	2|4	门派介绍及加入门派天王	点击对话选项：门派介绍及加入门派天王	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
117	1			ShowDialog	2|4	门派介绍及加入门派少林	点击对话选项：门派介绍及加入门派少林	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
118	1			ShowDialog	2|4	门派介绍及加入门派五毒	点击对话选项：门派介绍及加入门派五毒	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
119	1			ShowDialog	2|4	门派介绍及加入门派大理段氏	点击对话选项：门派介绍及加入门派大理段氏	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
120	1			ShowDialog	2|4	门派介绍及加入门派天忍	点击对话选项：门派介绍及加入门派天忍	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
121	1			ShowDialog	2|4	门派介绍及加入门派唐门	点击对话选项：门派介绍及加入门派唐门	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
122	1			ShowDialog	2|4	门派介绍及加入门派峨嵋	点击对话选项：门派介绍及加入门派峨嵋	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
123	1			ShowDialog	2|4	门派介绍及加入门派武当	点击对话选项：门派介绍及加入门派武当	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
124	1			ShowDialog	2|4	门派介绍及加入门派昆仑	点击对话选项：门派介绍及加入门派昆仑	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
125	1			ShowDialog	2|4	门派介绍及加入门派明教	点击对话选项：门派介绍及加入门派明教	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
126	1			ShowDialog	2|4	门派介绍及加入门派丐帮	点击对话选项：门派介绍及加入门派丐帮	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
127	1			ShowButton	2|3	UI_SCHOOLDEMO	BtnJoin	点击加入门派按钮，加入一个门派	360		CloseWindow,UI_SCHOOLDEMO	MoveWindow,UI_SCHOOLDEMO							
128	1			ShowDialog	2|4	师父在上，请受弟子一拜	点击对话选项：师傅在上，请受弟子一拜	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	682	3						
129	1			ShowDialog	2|4	弟子谨遵师命	点击对话选项：弟子谨遵师命	360		MoveWindow,UI_SAYPANEL|CloseWindow,UI_SAYPANEL	480	682	4						
129	2			ShowButton	3|3	UI_SIDEBAR	BtnSkill	点击门派技能	360	UseShortcut,F3,E									
130	1			ShowDialog	2|4	强化装备	点击对话选项：强化装备	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	685	5						
131	1			ShowDialog	2|4	使用绑定银两	点击对话选项：使用绑定银两	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	685	5						
132	1			ShowObj	2|3	UI_EQUIPENHANCE	ObjEquip	0	0	放入需要强化的装备	360	DropObj,UI_EQUIPENHANCE,ObjEquip,0,0	CloseWindow,UI_EQUIPENHANCE	MoveWindow,UI_EQUIPENHANCE					
132	2			ShowObj	2|3	UI_EQUIPENHANCE	ObjEnhItem	0	0	放入强化所需的玄晶	360	DropObj,UI_EQUIPENHANCE,ObjEnhItem	CloseWindow,UI_EQUIPENHANCE	MoveWindow,UI_EQUIPENHANCE					
132	3			ShowButton	2|3	UI_EQUIPENHANCE	BtnOk	点击确定强化一件装备	360		CloseWindow,UI_EQUIPENHANCE	MoveWindow,UI_EQUIPENHANCE							
133	1			ShowButton	2|3	UI_FIGHTSKILL	BtnKombatPage1	点击选择一个路线	360	CustomEvent,ButtonClick,UI_FIGHTSKILL,BtnKombatPage2	CloseWindow,UI_FIGHTSKILL	MoveWindow,UI_FIGHTSKILL							
133	2			ShowButton	2|3	UI_FIGHTSKILL	BtnLvup1_1_1	给一个技能加点	360		CloseWindow,UI_FIGHTSKILL|ButtonClick,UI_FIGHTSKILL,BtnPage4	MoveWindow,UI_FIGHTSKILL|CustomEvent,ButtonClick,UI_FIGHTSKILL,BtnKombatPage							
133	3			ShowButton	2|3	UI_FIGHTSKILL	BtnAccept	点击确定投点按钮	360		CloseWindow,UI_FIGHTSKILL|CustomEvent,ButtonClick,UI_FIGHTSKILL,BtnKombatPage|ButtonClick,UI_FIGHTSKILL,BtnPage4	MoveWindow,UI_FIGHTSKILL							
134	1			ShowTaskList	3|3	前尘碧落 步骤：9/10	夕亭	点击夕亭，自动寻路	360	CloseWindow,UI_TASKTRACK									
135	1			ShowTaskList	3|3	前尘碧落 步骤：10/10	白秋琳	点击白秋琳，自动寻路	360	CloseWindow,UI_TASKTRACK									
136	1			ShowTaskList	3|3	不情之请 步骤：1/2	击败黄虎并获得黄虎皮	点击击败黄虎并获得黄虎皮，自动寻路	360	CloseWindow,UI_TASKTRACK									
137	1			ShowTaskList	3|3	不情之请 步骤：2/2	与许仕伟对话	点击与许仕伟对话，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
138	1			ShowDialog	2|4	<color=yellow>[剧情]<color>不情之请	点击对话选项：不情之请	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
139	1			ShowItem	2|3	19,3,1,1	右键点击<color=yellow>吃菜<color>可持续恢复<color=yellow>血量和内力<color>	360	CloseWindow,UI_ITEMBOX	MoveWindow,UI_ITEMBOX									
140	1			ShowItem	2|3	19,3,1,2	右键点击<color=yellow>吃菜<color>可持续恢复<color=yellow>血量和内力<color>	360	CloseWindow,UI_ITEMBOX	MoveWindow,UI_ITEMBOX									
141	1			ShowItem	2|3	19,3,1,3	右键点击<color=yellow>吃菜<color>可持续恢复<color=yellow>血量和内力<color>	360	CloseWindow,UI_ITEMBOX	MoveWindow,UI_ITEMBOX									
142	1			ShowItem	2|3	19,3,1,4	右键点击<color=yellow>吃菜<color>可持续恢复<color=yellow>血量和内力<color>	360	CloseWindow,UI_ITEMBOX	MoveWindow,UI_ITEMBOX									
143	1			ShowItem	2|3	19,3,1,5	右键点击<color=yellow>吃菜<color>可持续恢复<color=yellow>血量和内力<color>	360	CloseWindow,UI_ITEMBOX	MoveWindow,UI_ITEMBOX									
144	1			ShowWindow	1|2	Minimap,BtnFuli	UI_PAYERFULI												
144	2			ShowWindow	1|2	UI_PAYERFULI,BtnGetCai	UI_SAYPANEL												
145	1			ShowDialog	2|4	<color=yellow>免费使用特权功能<color>	点击对话选项：免费使用特权功能	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
146	1			ShowWindow	1|2	Minimap,BtnFuli	UI_PAYERFULI												
146	2			ShowWindow	1|2	UI_PAYERFULI,BtnOpenCangku	UI_SAYPANEL												
147	1			ShowWindow	1|2	Minimap,BtnFuli	UI_PAYERFULI												
147	2			ShowWindow	1|2	UI_PAYERFULI,BtnOpenHexuan	UI_SAYPANEL												
148	1			ShowTaskList	3|3	能工巧匠 步骤：1/15	向甜酒叔请教	点击向甜酒叔请教，自动寻路	360	CloseWindow,UI_TASKTRACK									
149	1			ShowDialog	2|4	[世界]能工巧匠	点击对话选项：能工巧匠	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	482	694							
150	1			ShowTaskList	3|3	能工巧匠 步骤：2/15	找到软铜锭	点击右下角生活技能按钮	90										Tutorial:ProcessLifeSkillTutorial()
151	1			ShowButton	1|3	UI_SIDEBAR	BtnLifeSkill	点击<color=yellow>生活技能<color>，进入生活技能面板	360	UseShortcut,F8									
152	1			ShowTaskList	3|3	能工巧匠 步骤：4/15	向沈荷叶请教	点击向沈荷叶请教，自动寻路	360	CloseWindow,UI_TASKTRACK									
