Id	RelateMatchId	Name	Tip	ImageType	BeginTime	EndTime	TaskType	TaskIndex	Weight	Trigger_MinLevel	Trigger_MaxLevel	Trigger_Honor	Trigger_MinOpenDay	Trigger_MaxOpenDay	Trigger_TimeFrame	Trigger_KinTong	Trigger_WeekDay	Trigger_MonthDay	Trigger_RemainMonthDay	ClickDisappear	DisapperDescription	Click_Event	Click_Param1	Click_Param2	Click_Param3	Click_Param4
10	3	完成-藏宝图副本	<color=green>精彩副本，无限挑战，玄晶自然来。<color><enter>快快<color=yellow>挑战一次<color>藏宝图副本吧，<color=yellow>个人<color>或<color=yellow>自由组队<color>后在<color=yellow>义军军需官<color>处可随时开启。参与此活动有<color=yellow>大量升级经验/玄晶<color>等丰厚的奖励哦！	5			1	29	62	25											完成任意一个副本	OpenCalendar	3			
11	3	提醒-碧落谷	<color=green>碧落遇袭无返顾，泛舟湖上遇书青。<color><enter>恭喜你到达<color=yellow>25级<color>，拥有新藏宝图副本<color=yellow>碧落谷<color>的挑战资格！	6			1	8	63	25	50									1		OpenWindow	UI_NEWFUBENVIEW			
12	3	提醒-冥灵庭院	<color=green>冥灵旗现往昔浮，桃溪旧事谜团误。<color><enter>恭喜你到达<color=yellow>25级<color>，拥有新藏宝图副本<color=yellow>冥灵庭院<color>的挑战资格！	6			1	46	63	25	50									1		OpenWindow	UI_NEWFUBENVIEW			
13	3	提醒-陶朱公墓冢	<color=green>战国英魂再现，探秘范蠡墓冢。<color><enter>恭喜你到达<color=yellow>50级<color>，拥有新藏宝图副本<color=yellow>陶朱公墓冢<color>的挑战资格！	9			1	9	74	50	70									1		OpenWindow	UI_NEWFUBENVIEW			
14	3	提醒-龙门飞剑	<color=green>勇闯花阵与石冢，保我大宋河山图。<color><enter>恭喜你到达<color=yellow>50级<color>，拥有新藏宝图副本<color=yellow>龙门飞剑<color>的挑战资格！	9			1	45	74	50	70									1		OpenWindow	UI_NEWFUBENVIEW			
15	3	提醒-大漠古城	<color=green>开布袋得钥匙，护送尉吕出重围。<color><enter>恭喜你到达<color=yellow>70级<color>，拥有新藏宝图副本<color=yellow>大漠古城<color>的挑战资格！	18			1	10	84	70	80									1		OpenWindow	UI_NEWFUBENVIEW			
16	3	提醒-千琼宫	<color=green>小怜反目不可怜，千琼漫漫冷霜然。<color><enter>恭喜你到达<color=yellow>90级<color>，拥有新藏宝图副本<color=yellow>千琼宫<color>的挑战资格！	15			1	11	85	90	100									1		OpenWindow	UI_NEWFUBENVIEW			
17	3	提醒-万花谷	<color=green>智取竹笛避花豹，万花风景美如画。<color><enter>恭喜你到达<color=yellow>90级<color>，拥有新藏宝图副本<color=yellow>万花谷<color>的挑战资格！	15			1	44	85	900	100									1		OpenWindow	UI_NEWFUBENVIEW			
18	4	开放-逍遥谷	<color=green>逍遥谷闯关新冒险，集卡换装乐不停。<color><enter><color=yellow>大型挑战关卡<color>【逍遥谷】即将在你等级到达<color=yellow>30级<color>时开放，诚邀各路武林豪杰前往探谷。每天逢<color=yellow>半点/整点<color>开启，<color=yellow>汴京<color>[逍遥谷引路人]进入。	21			1	12	65	29	49									1		OpenCalendar	4			
19	4	完成-逍遥谷	<color=green>逍遥谷闯关新冒险，集卡换装乐不停。<color><enter>你已经拥有<color=yellow>大型挑战关卡<color>【逍遥谷】的探险资格，快邀请你的朋友组队前往<color=yellow>探谷一次<color>吧。每天逢<color=yellow>半点/整点<color>开启，<color=yellow>汴京<color>[逍遥谷引路人]进入。	21			1	30	65	30	60										完成任意一次逍遥谷	OpenCalendar	4			
20	4	提醒-简单	<color=green>逍遥谷闯关新冒险，集卡换装乐不停。<color><enter>恭喜你到达<color=yellow>30级<color>，拥有<color=yellow>大型挑战关卡<color>【逍遥谷】<color=yellow>简单难度<color>的挑战资格！	21			1	13	69	30	50									1		OpenCalendar	4			
21	4	提醒-普通	<color=green>逍遥谷闯关新冒险，集卡换装乐不停。<color><enter>恭喜你到达<color=yellow>50级<color>，拥有<color=yellow>大型挑战关卡<color>【逍遥谷】<color=yellow>普通难度<color>的挑战资格！	21			1	14	71	50										1		OpenCalendar	4			
22	4	提醒-困难/传说	<color=green>逍遥谷闯关新冒险，集卡换装乐不停。<color><enter>恭喜你到达<color=yellow>100级<color>，拥有<color=yellow>大型挑战关卡<color>【逍遥谷】<color=yellow>困难/传说难度<color>的挑战资格！	21			1	15	94	100										1		OpenCalendar	4			
23	19	剑侠词典	<color=green>轻松答题拿奖励！<color><enter><color=yellow>最容易获得绑金<color>的活动【剑侠词典】开放啦！只需运用你了解的<color=yellow>游戏常识<color>就可轻松应答，快快参与吧！	22			0	0	59	20	35										回答一次	OpenCalendar	19			
24	20	义军任务	<color=green>玄晶绑银任你选，积少成多把家持！<enter><color><color=yellow>义军首领<color>[包万同]发放的<color=yellow>义军任务<color>从现在起为你<color=yellow>每天<color>开放，每天完成<color=yellow>前10轮<color>奖励最为丰厚。通过此活动你可获得<color=yellow>性价比最高<color>的基础装备-<color=yellow>腰坠<color>。	23			1	16	64	25	69										完成一次	OpenCalendar	20			
25		披风购买和使用	<color=green>荣誉披风，让江湖纪录你的辉煌<color><enter>恭喜你进入<color=yellow>武林/领袖/财富荣誉榜<color>，获得<color=yellow>最重要的装备<color>【披风】的<color=yellow>购买资格<color>，你可在<color=yellow>各地钱庄老板<color>【魂石商店】选择购买适合自己的披风。	24			1	17	58			1								1						
26		修炼珠	<color=green>小小修炼珠，功能很强大<color><enter>恭喜你获得<color=yellow>每日修炼必备<color>的宝物【修炼珠】，右键点击可开启和领取<color=yellow>4倍修炼时间<color>，修炼状态下你可获得<color=yellow>更快速度的杀怪经验<color>，同时还可获得<color=yellow>秘籍升级所需的修为<color>。	25			1	18	60	20										1		UseItem	18	1	16	1
27		加入家族	<color=green>交朋友入家族，周周领福利，天天有精彩。<color><enter>恭喜你可以<color=yellow>加入家族<color>啦！这里有<color=yellow>兄弟<color>，与你并肩作战；这里有<color=yellow>侠侣<color>，与你患难与共；还有<color=yellow>丰富的家族活动<color>【家族插旗/家族关卡/家族种植/家族BOSS】，每周更可领取丰厚的<color=yellow>家族福利工资<color>。	1			0	0	999	20	60					2						OpenWindow	UI_KINRCM_LIST			
28	6	科举考试	<color=green>科举答题，金榜题名<color><enter>恭喜你达到<color=yellow>30级<color>，从<color=yellow>今天<color=yellow>开始每天<color=yellow>12:30-13:00<color>和<color=yellow>18:30-19:00<color>你可前往<color=yellow>云中镇/江津村/永乐镇<color>的【乡试知贡举】处参与<color=yellow>乡试活动<color>，轻松赢取<color=yellow>丰富的经验/家族工资/威望/绑银<color>等奖励！若阁下饱读诗书，更有机会参与<color=yellow>每周日16:00-16:15<color>的<color=yellow>殿试<color>，<color=yellow>科考称号/披风/状元坐骑<color>等着你！	52			1	19	45	30	35									1		OpenCalendar	6			
29		公聊	<color=green>区聊公聊频道，打造个性宣言<color><enter>恭喜你领悟了<color=yellow>千里传音<color>的能力。你可使用<color=yellow>传声海螺<color>增加<color=yellow>世界公聊<color>的发言次数，或使用<color=yellow>千里传音<color>进行区聊频道的个性宣言。	30			1	20	70	30										1						
30		秘境	<color=green>风云江湖路，云岭秘境时<color><enter>恭喜你获得<color=yellow>进入云岭秘境修炼<color>的资格！传说云深之处藏一秘境，在此修炼能更快提升自身修为、事半功倍，实乃习武之人梦寐以求之福地。从今天开始你<color=yellow>每天<color>可获得<color=yellow>2小时<color>秘境修炼时间，请持<color=yellow>秘境地图<color>前往各地<color=yellow>义军军需官<color>进入。	31			1	21	75	50	55									1						
31	22	祈福	<color=green>天天祈个福，迟早黄金符。<color><enter>恭喜你到达<color=yellow>50级<color>可以开始转动<color=yellow>祈福指针<color>咯！从<color=yellow>今天<color>开始每天可<color=yellow>免费祈福1次<color>，积累祈福声望可获得<color=yellow>极品护身符<color>【激活所有首饰暗属性】/<color=yellow>储物箱扩展令牌<color>等宝物。祈福送福气，每日有惊喜！	32			1	22	76	50											祈福一次	OpenWindow	UI_PLAYERPRAY			
32	9	门派竞技	<color=green>门派竞技新玩法，单挑群战花样辈出<color><enter>恭喜你到达<color=yellow>50级<color>获得<color=yellow>每周二/四晚20:00<color>举行的<color=yellow>门派竞技赛<color>，这是<color=yellow>同门师兄弟<color>之间的争霸赛，不仅可以考验你的<color=yellow>PK技术<color>，获得无上的<color=yellow>门派荣誉<color>，更可以拿到<color=yellow>宝物和金钱<color>奖励哦！	33			1	23	77	50										1		OpenCalendar	9			
33	9	门派竞技（周提醒）	<color=green>门派竞技新玩法，单挑群战花样辈出<color><enter><color=yellow>每周二/四晚<color>举行的<color=yellow>门派竞技比试时间<color>又到啦，快约上平日里一起练功的师兄师妹们于<color=yellow>今晚19:30<color>后前往<color=yellow>门派掌门人<color>处报名参加吧，<color=yellow>20:00<color>正式开始比赛哦。	33			3	3	78	50							2			1		OpenCalendar	9			
34	9	门派竞技（周提醒）	<color=green>门派竞技新玩法，单挑群战花样辈出<color><enter><color=yellow>每周二/四晚<color>举行的<color=yellow>门派竞技比试时间<color>又到啦，快约上平日里一起练功的师兄师妹们于<color=yellow>今晚19:30<color>后前往<color=yellow>门派掌门人<color>处报名参加吧，<color=yellow>20:00<color>正式开始比赛哦。	33			3	4	79	50							4			1		OpenCalendar	9			
35	21	官府通缉	<color=green>捕快传奇，官府通缉新玩法<color><enter>恭喜你到达<color=yellow>60级<color>可以前往各主城<color=yellow>刑部捕头<color>在<color=yellow>每日12:00<color>后接取<color=yellow>官府通缉任务<color>啦！你将化身京都名捕，缉拿恶人，维护天理正义！捕头发放的奖励<color=yellow>名捕令<color>，还可换取<color=yellow>增加技能和潜能<color>的宝物[<color=yellow>武林秘籍<color>]和[<color=yellow>洗髓经<color>]。	34			1	24	80	50										1		OpenCalendar	21			
36		福利精活购买	四折福利精活，手工爱好者之福音。	36			1	25	150	60	61									1		OpenWindow	UI_JINGHUOFULI			
37		初级秘籍	<color=green>人在江湖走，秘籍不能少<color><enter><color=yellow>装备秘籍<color>除了会增加自身的<color=yellow>基础属性<color>[力量/身法/内功/外功]外，修炼成功后你还可获得新的<color=yellow>秘籍技能<color>。恭喜你获得修炼<color=yellow>初级秘籍<color>的资格！修炼成功后你将获得行走江湖<color=yellow>最实用<color>的技能<color=yellow>轻功<color>。你可通过<color=yellow>20级主线任务奖励<color>或在门派掌门人处<color=yellow>购买<color>获得。	37			1	26	61	20										1						
38		中级秘籍	<color=green>人在江湖走，秘籍不能少<color><enter><color=yellow>装备秘籍<color>除了会增加自身的<color=yellow>基础属性<color>[力量/身法/内功/外功]外，修炼成功后你还可获得新的<color=yellow>秘籍技能<color>。恭喜你获得修炼<color=yellow>中级秘籍<color>的资格！修炼成功后你将获得一个本门派的<color=yellow>中级秘籍技能<color>，你需要<color=yellow>修炼3本<color>才可<color=yellow>完全领悟<color>该技能。<color=yellow>中级秘籍<color>可在新手村钱庄老板的<color=yellow>魂石商店<color>购买。	38			1	27	86	70										1						
39		收徒弟	<color=green>收徒传道，名利双收！<color><enter>恭喜大侠您现在可以开始招收徒弟啦！	40			1	28	82	60										1						
40		门派大师兄/大师姐（竞选）	<color=green>月度门派大师兄/大师姐竞选<color><enter>本月各大门派大师兄/大师姐的<color=yellow>竞选活动<color>将于<color=yellow>今晚24点<color>开始确定<color=yellow>候选人<color>，请在<color=yellow>今天下线<color>时确定好自己<color=yellow>参与竞选的门派<color>，祝你被选中进入候选名单。	35			2	1	298	50									1	1						
41		门派大师兄/大师姐（投票）	<color=green>月度门派大师兄/大师姐竞选<color><enter><color=yellow>上个月<color>各大门派的大师兄/大师姐<color=yellow>候选人<color>已新鲜出炉，请在今晚<color=yellow>24点<color>前使用<color=yellow>修炼珠<color>为自己心中的大师兄/大师姐投上支持的<color=yellow>选票<color>吧！	35			2	2	299	50								1		1		UseItem	18	1	16	1
42		逍遥录奖励领取	<color=green>逍遥谷闯关新冒险，集卡换装乐不停。<color><enter>[汴京]逍遥谷爱冒险的大小姐<color=yellow>晓菲<color>已经开始发放上个月<color=yellow>逍遥录集卡活动<color>奖励啦！快请前往领取你的收集奖励吧！若你所在家族在<color=yellow>地狱关卡<color>的家族积分排名在<color=yellow>前10名<color>，你的奖励还有<color=yellow>额外20%<color>的奖励加成哦！	35			2	3	300	50			60					1		1		ServerAutoPath	1	1		
43		跨服联赛助威鼓活动	<color=green>跨服联赛，击鼓呐喊全服祝福<color><enter>追求武术的更高境界的<color=yellow>跨服联赛<color>正在火热进行中，快快敲击<color=yellow>助威鼓<color>为本服的参赛选手送上祝福吧！<color=yellow>幸运卡<color>开启时间为<color=yellow>今晚22点<color>到<color=yellow>明天15点<color>，有缘人的<color=yellow>赛果<color>和你获得的奖励息息相关哦！	41	2.01E+11	2.01E+11	4	1	100	100			180							1		CallServerScript	kuafuliansaigu			
44		99级	<color=green>服务器时间轴功能开放！<color><enter>即将于<color=yellow>后天晚上20点<color>开放<color=yellow>99级等级上限<color>，你可更换<color=yellow>高一等级<color>的装备，并可将<color=yellow>除武器外<color>的全身装备<color=yellow>强化至16<color>，激活<color=yellow>防具和首饰+16属性<color>【全抗/单抗增加】。	2			1	43	90	87			51	51						1						
45		95级BB	<color=green>不断不断挑战，不断超越，江湖人生才会更精彩。<color><enter>几个绝顶的<color=yellow>95级武林高手<color>将于<color=yellow>今天<color>开始每天<color=yellow>15:35/19:35/22:35<color>准时拉开江湖杀伐的帷幕，届时请关注<color=yellow>世界公告<color>，提前约好你的朋友一起参加到<color=yellow>挑战95级BOSS<color>的战斗之中吧！	27			1	42	89	90			60	60						1						
46		150级	<color=green>服务器时间轴功能开放！<color><enter>即将于<color=yellow>后天晚上20点<color>开放<color=yellow>150级等级上限<color>，你可更换<color=yellow>高一等级<color>的装备并可将<color=yellow>武器<color>强化至<color=yellow>16<color>获得强化激活属性<color=yellow>门派技能增加1级<color>。	2			1	31	91	98			87	87						1						
47	42	铁浮城	<color=green>跨服城战，谁敢号令天下。<color><enter><color=yellow>铁浮城<color>，一个拿起武器就能去战斗的地方。从本周开始<color=yellow>每个周六晚20点<color>跨区<color=yellow>铁浮城主争夺战<color>火爆来袭！佩戴<color=yellow>雏凤或雏凤以上披风<color>玩家在<color=yellow>帮会报名成功<color>后由<color=yellow>铁浮城远征大将<color>前往参加。	42			1	32	88	100			103	103						1		OpenCalendar	42			
48	42	铁浮城（周提醒）	<color=green>跨服城战，谁敢号令天下。<color><enter><color=yellow>铁浮城<color>，一个拿起武器就能去战斗的地方。<color=yellow>今晚20点<color>跨区<color=yellow>铁浮城主争夺战<color>火爆来袭！<color=yellow>参战奖励<color>包括：华丽城主/勇士披风、百速战场神驹、同伴最高3级装备等。快随帮派大队伍由【临安/凤翔/襄阳】<color=yellow>铁浮城远征大将<color>前往参加吧。	42			3	5	100	100			103				6			1		OpenCalendar	42			
49	25	侠客任务	<color=green>侠客任务天天做，9级玄晶任你拿。<color><enter>恭喜你从<color=yellow>今天<color>开始可在[临安]<color=yellow>夏侯元韬<color>处接取<color=yellow>侠客任务<color>，除获得每日完成奖励<color=yellow>侠客令牌<color>外，每周<color=yellow>累计完成5次<color>还可额外获得<color=yellow>1/2级宝石奖励<color>。	43			1	33	87	100			119	119						1		OpenCalendar	25			
50	32	克夷门战场	<color=green>谁将成为主宰一切的新枭雄？<color><enter>全新大型征战<color=yellow>克夷门战场<color>将从<color=yellow>今天开始<color>每日<color=yellow>下午13:45<color>和<color=yellow>晚21:45<color>激情开放，<color=yellow>抢BOSS换龙魂新套装<color>，<color=yellow>驾驭战场王者专属坐骑<color>，一切凭<color=yellow>帮会和家族<color>实力来拿！	44			1	34	86	100			119	119						1		OpenCalendar	32			
51	26	秦始皇陵	<color=green>探索神秘秦始皇陵，120BOSS威震江湖。<color><enter><color=yellow>秦始皇陵古墓之门<color>从<color=yellow>今天开始<color>将为你开启一段难忘的不凡之旅：每日<color=yellow>盗亦有道<color>玄晶任务、<color=yellow>限时皇陵寻宝<color>、<color=yellow>整点挑战江湖异士<color>、<color=yellow><color=yellow>下午13:45<color>和<color=yellow>晚21:45<color>秦始皇BOSS宝物争夺<color>，还有那传说中的<color=yellow>神兵利器<color>。	45			1	35	85	100			139	139						1		OpenCalendar	26			
52	7	黄金白虎堂	<color=green>黄金白虎堂密室跨服大作战<color><enter><color=yellow>120级黄金白虎堂<color>从<color=yellow>今天<color>起<color=yellow>每天20场<color>盛情开放，白天<color=yellow>9:00-18:00<color>晚上<color=yellow>22:00至次日7点<color>逢<color=yellow>整点<color>开启。诚邀各位在<color=yellow>家族或帮派<color>的侠客们前往挑战。若在<color=yellow>14:00-18:00<color>、<color=yellow>23:00-次日02:00<color>前往，<color=yellow>杀完第三层BOSS<color>后还有可能发现通往密室的通道，传说中的<color=yellow>名录残页残卷<color>、最高<color=yellow>10级玄晶<color>奖励的<color=yellow>跨服白虎宝箱<color>，又一次<color=yellow>跨服<color>的较量！	46			1	36	90	120			149	149						1		OpenCalendar	7			
53	16	楼兰古城	<color=green>穿越时空，藏宝密境楼兰古城<color><enter>125级探险地图<color=yellow>楼兰古城<color>于<color=yellow>今天开始<color>每日<color=yellow>15:00-24:00<color>限时开放：<color=yellow>神秘人模式<color>、<color=yellow>天降楼兰神器<color>、<color=yellow>1/2级同伴装备<color>楼兰珍宝。佩戴<color=yellow>混天及以上披风<color>的侠客可自由组队前往。一个新的<color=yellow>探索空间<color>，一场更激烈的<color=yellow>宝藏争夺战<color>，一个<color=yellow>全新PK时代<color>的到来！	47			1	37	84	100			149	149						1		OpenCalendar	16			
54	3	提醒-万花谷1星	<color=green>智取竹笛避花豹，万花风景美如画。<color><enter>恭喜你到达<color=yellow>90级<color>，拥有新藏宝图副本<color=yellow>万花谷1星<color>的挑战资格！当你到达<color=yellow>100<color>和<color=yellow>130级<color>，可前往挑战有更高难度的<color=yellow>2星<color>和<color=yellow>3星<color>万花谷副本！	48			1	38	70	90	100									1		OpenCalendar	3			
55	3	提醒-千琼宫1星	<color=green>小怜反目不可怜，千琼漫漫冷霜然。<color><enter>恭喜你到达<color=yellow>90级<color>，拥有新藏宝图副本<color=yellow>千琼宫1星<color>的挑战资格！当你到达<color=yellow>100<color>和<color=yellow>130级<color>，可前往挑战有更高难度的<color=yellow>2星<color>和<color=yellow>3星<color>千琼宫副本！	49			1	39	70	90	100									1		OpenCalendar	3			
56	35	辰虫镇	<color=green>解开丝绸路商队失踪之谜，见证西夏公主的伤与情。<color><enter>从<color=yellow>本周<color>开始你可<color=yellow>每周2次<color>前往探秘谜样小镇<color=yellow>辰虫镇<color>。超高挑战超高奖励，队友协作其利断金。	50			1	40	84	100			146	146						1		OpenCalendar	35			
57	36	时光令	<color=green>阴阳家执掌过去，大司命窥探未来<color><enter>从本周开始你可<color=yellow>每周2次<color>前往挑战神秘的新地宫<color=yellow>阴阳时光殿<color>，更有特殊奖励<color=yellow>蓝田玉<color>助你的武器炼化至<color=yellow>110级青铜<color>武器或炼就<color=yellow>120级白银<color>武器。	51			1	41	83	100			146	146						1		OpenCalendar	36			
58	35	辰虫镇（周提醒）	<color=green>解开丝绸路商队失踪之谜，见证西夏公主的伤与情。<color><enter>每周2次<color=yellow>探秘辰虫镇<color>的机会已经到来，请前往<color=yellow>兀剌海城【辰虫镇报名官】<color>领取副本令牌进入挑战，挑战截止为<color=yellow>本周日晚24点<color>。	50			3	6	90	100			146				2			1		OpenCalendar	35			
59	36	时光令（周提醒）	<color=green>阴阳家执掌过去，大司命窥探未来<color><enter>每周2次<color=yellow>探索新地宫-阴阳时光殿<color>的机会已经到来，请前往<color=yellow>阿房宫废墟【林风杨】<color>处领取副本令牌进入挑战，挑战截止为<color=yellow>本周日晚24点<color>。	51			3	7	80	100			146				2			1		OpenCalendar	36			
60	43	科举殿试（周提醒）	<color=green>科举答题，金榜题名<color><enter>每周一次的<color=yellow>殿试<color>就将于今日下午<color=yellow>16:00<color>开始，请所有本周<color=yellow>获得殿试资格<color>的侠客们前往<color=yellow>临安皇宫崇政殿<color>或<color=yellow>扬州广陵贡院<color>接受大学士的考验，<color=yellow>科考称号/披风/状元坐骑<color>等奖励等着你哦！祝你取得好成绩！	52			3	8	85	30	100						0			1		OpenCalendar	43			
