Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	MakeCost	ItemValue	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	MagicName1	Value1	Time1	MagicName2	Value2	Time2	MagicName3	Value3	Time3
回血丹(中)	回血丹(中)	17	6	1	2	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>战场专用药品<color><enter>强效的补药，可回复很多生命。		0	1	1			1		90	songjinmedicine	songjin	1	1	1	lifepotion_v	500	90						
回血丹(大)	回血丹(大)	17	6	1	3	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>战场专用药品<color><enter>大补神药，可回复大量生命。		0	1	1			1		120	songjinmedicine	songjin	1	1	1	lifepotion_v	600	90						
回内丹(小)	回内丹(小)	17	6	2	1	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>战场专用药品<color><enter>普通的补药，可回复不少内力。		0	1	1			1		60	songjinmedicine	songjin	1	1	1	manapotion_v	400	90						
回内丹(中)	回内丹(中)	17	6	2	2	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>战场专用药品<color><enter>强效的补药，可回复很多内力。		0	1	1			1		90	songjinmedicine	songjin	1	1	1	manapotion_v	500	90						
回内丹(大)	回内丹(大)	17	6	2	3	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>战场专用药品<color><enter>大补神药，可回复大量内力。		0	1	1			1		120	songjinmedicine	songjin	1	1	1	manapotion_v	600	90						
乾坤造化丸(小)	乾坤造化丸(小)	17	6	3	1	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>战场专用药品<color><enter>普通的补药，可同时回复不少生命和内力。		0	1	1			1		60	songjinmedicine	songjin	1	1	1	lifepotion_v	240	90	manapotion_v	240	90			
乾坤造化丸(中)	乾坤造化丸(中)	17	6	3	2	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>战场专用药品<color><enter>强效的补药，可同时回复很多生命和内力。		0	1	1			1		90	songjinmedicine	songjin	1	1	1	lifepotion_v	300	90	manapotion_v	300	90			
乾坤造化丸(大)	乾坤造化丸(大)	17	6	3	3	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>战场专用药品<color><enter>大补神药，可同时回复大量生命和内力。		0	1	1			1		120	songjinmedicine	songjin	1	1	1	lifepotion_v	360	180	manapotion_v	360	180			
领土战回血丹(小)		17	7	1	1	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>领土争夺战专用药品<color><enter>普通的补药，可回复不少生命。<enter>只有在征战状态下才能使用		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	400	90						
领土战回血丹(中)		17	7	1	2	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>领土争夺战专用药品<color><enter>强效的补药，可回复很多生命。<enter>只有在征战状态下才能使用		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	500	90						
领土战回血丹(大)		17	7	1	3	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>领土争夺战专用药品<color><enter>大补神药，可回复大量生命。<enter>只有在征战状态下才能使用		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	600	90						
领土战回内丹(小)		17	7	2	1	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>领土争夺战专用药品<color><enter>普通的补药，可回复不少内力。<enter>只有在征战状态下才能使用		0	1	1			1		50	domainmedicine		1	1	1	manapotion_v	400	90						
领土战回内丹(中)		17	7	2	2	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>领土争夺战专用药品<color><enter>强效的补药，可回复很多内力。<enter>只有在征战状态下才能使用		0	1	1			1		50	domainmedicine		1	1	1	manapotion_v	500	90						
领土战回内丹(大)		17	7	2	3	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>领土争夺战专用药品<color><enter>大补神药，可回复大量内力。<enter>只有在征战状态下才能使用		0	1	1			1		50	domainmedicine		1	1	1	manapotion_v	600	90						
领土战乾坤造化丸(小)		17	7	3	1	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>领土争夺战专用药品<color><enter>普通的补药，可同时回复不少生命和内力。<enter>只有在征战状态下才能使用		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	240	90	manapotion_v	240	90			
领土战乾坤造化丸(中)		17	7	3	2	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>领土争夺战专用药品<color><enter>强效的补药，可同时回复很多生命和内力。<enter>只有在征战状态下才能使用		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	300	90	manapotion_v	300	90			
领土战乾坤造化丸(大)		17	7	3	3	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>领土争夺战专用药品<color><enter>大补神药，可同时回复大量生命和内力。<enter>只有在征战状态下才能使用		0	1	1			1		50	domainmedicine		1	1	1	lifepotion_v	360	180	manapotion_v	360	180			
逍遥回血丹(小)	回血丹(小)	17	8	1	1	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>普通的补药，可回复不少生命。		0	1	1			1		80	medicine	xoyomedicine	1	1	1	lifepotion_v	400	90						
逍遥回血丹(中)	回血丹(中)	17	8	1	2	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>强效的补药，可回复很多生命。		0	1	1			1		90	medicine	xoyomedicine	1	1	1	lifepotion_v	500	90						
逍遥回血丹(大)	回血丹(大)	17	8	1	3	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>大补神药，可回复大量生命。		0	1	1			1		110	medicine	xoyomedicine	1	1	1	lifepotion_v	600	90						
逍遥回内丹(小)	回内丹(小)	17	8	2	1	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>普通的补药，可回复不少内力。		0	1	1			1		80	medicine	xoyomedicine	1	1	1	manapotion_v	400	90						
逍遥回内丹(中)	回内丹(中)	17	8	2	2	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>强效的补药，可回复很多内力。		0	1	1			1		90	medicine	xoyomedicine	1	1	1	manapotion_v	500	90						
逍遥回内丹(大)	回内丹(大)	17	8	2	3	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>大补神药，可回复大量内力。		0	1	1			1		110	medicine	xoyomedicine	1	1	1	manapotion_v	600	90						
逍遥乾坤造化丸(小)	乾坤造化丸(小)	17	8	3	1	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>普通的补药，可同时回复不少生命和内力。		0	1	1			1		80	medicine	xoyomedicine	1	1	1	lifepotion_v	240	90	manapotion_v	240	90			
逍遥乾坤造化丸(中)	乾坤造化丸(中)	17	8	3	2	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>强效的补药，可同时回复很多生命和内力。		0	1	1			1		90	medicine	xoyomedicine	1	1	1	lifepotion_v	300	90	manapotion_v	300	90			
逍遥乾坤造化丸(大)	乾坤造化丸(大)	17	8	3	3	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>大补神药，可同时回复大量生命和内力。		0	1	1			1		110	medicine	xoyomedicine	1	1	1	lifepotion_v	360	180	manapotion_v	360	180			
逍遥回血丹(简)	回血丹(简)	17	8	1	5	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>普通的补药，可回复不少生命。		0	1	1			1		30	medicine	xoyomedicine	1	1	1	lifepotion_v	300	90						
逍遥回内丹(简)	回内丹(简)	17	8	2	5	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>普通的补药，可回复不少内力。		0	1	1			1		30	medicine	xoyomedicine	1	1	1	manapotion_v	300	90						
逍遥乾坤造化丸(简)	乾坤造化丸(简)	17	8	3	5	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>普通的补药，可同时回复不少生命和内力。		0	1	1			1		30	medicine	xoyomedicine	1	1	1	lifepotion_v	180	90	manapotion_v	180	90			
九转还魂丹	九转还魂丹	17	9	1	5	\image\item\other\medicine\medicine_115_s.spr		36	大补神药，可回复大量生命。<color=green>适合PK竞技使用。<color>		0	80	1					90	medicine		1	1	1	lifepotion_v	500	90						
灵芝续命丸	灵芝续命丸	17	9	1	6	\image\item\other\medicine\medicine_116_s.spr		36	几可起死回生的神秘补药。<color=green>适合PK竞技使用。<color>		0	480	1					100	medicine		1	1	1	lifepotion_v	650	90						
首乌还神丹	首乌还神丹	17	9	2	5	\image\item\other\medicine\medicine_215_s.spr		36	大补神药，可回复大量内力。<color=green>适合PK竞技使用。<color>		0	80	1					90	medicine		1	1	1	manapotion_v	500	90						
雪参返气丸	雪参返气丸	17	9	2	6	\image\item\other\medicine\medicine_216_s.spr		36	几可使精气回复如初的神秘补药。<color=green>适合PK竞技使用。<color>		0	480	1					100	medicine		1	1	1	manapotion_v	650	90						
五花玉露丸	五花玉露丸	17	9	3	5	\image\item\other\medicine\medicine_315_s.spr		36	大补神药，可同时回复大量生命和内力。<color=green>适合PK竞技使用。<color>		0	80	1					90	medicine		1	1	1	lifepotion_v	300	90	manapotion_v	300	90			
瑶池大还丹	瑶池大还丹	17	9	3	6	\image\item\other\medicine\medicine_316_s.spr		36	几可使生命和内力同时回复如初的神秘补药。<color=green>适合PK竞技使用。<color>		0	480	1					100	medicine		1	1	1	lifepotion_v	390	90	manapotion_v	390	90			
玉笛谁家听落梅（周）	玉笛谁家听落梅(作废)	17	3	2	6	\image\item\other\medicine\food_315_s.spr		36	配料二十五变，合五五梅花之数，又因菜条形如笛子，故名。<color=green>适合野外练级使用。<color>		0	1	1					90	medicine		1	1	5	lifegrow_v	75	10886400	managrow_v	75	10886400			
玉笛谁家听落梅（月）	玉笛谁家听落梅(作废)	17	3	2	7	\image\item\other\medicine\food_315_s.spr		36	配料二十五变，合五五梅花之数，又因菜条形如笛子，故名。<color=green>适合野外练级使用。<color>		0	1	1					90	medicine		1	1	5	lifegrow_v	75	46656000	managrow_v	75	46656000			
逍遥回血丹(小)	回血丹(小)	17	8	1	4	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>常见的补药，可回复不少生命。		0	1	1			1		50	medicine	xoyomedicine	1	1	1	lifepotion_v	200	90						
逍遥回内丹(小)	回内丹(小)	17	8	2	4	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>常见的补药，可回复不少内力。		0	1	1			1		50	medicine	xoyomedicine	1	1	1	manapotion_v	200	90						
逍遥乾坤造化丸(小)	乾坤造化丸(小)	17	8	3	4	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>逍遥谷专用药品<color><enter>常见的补药，可同时回复不少生命和内力。		0	1	1			1		50	medicine	xoyomedicine	1	1	1	lifepotion_v	120	90	manapotion_v	120	90			
五花玉露丸	五花玉露丸	17	10	1	1	\image\item\other\medicine\medicine_315_s.spr		36	大补神药，可同时回复大量生命和内力。<color=green>适合PK竞技使用。<color>		0	0	1					90	medicine		1	1	1	lifepotion_v	300	90	manapotion_v	300	90			
采石矶回血丹(小)	回血丹(小)	17	11	1	1	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>采石矶战场专用药品<color><enter>普通的补药，可回复不少生命。		0	1	1			1		80	medicine	gbmedicine	1	1	1	lifepotion_v	400	90						
采石矶回血丹(中)	回血丹(中)	17	11	1	2	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>采石矶战场专用药品<color><enter>强效的补药，可回复很多生命。		0	1	1			1		90	medicine	gbmedicine	1	1	1	lifepotion_v	500	90						
采石矶回血丹(大)	回血丹(大)	17	11	1	3	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>采石矶战场专用药品<color><enter>大补神药，可回复大量生命。		0	1	1			1		120	medicine	gbmedicine	1	1	1	lifepotion_v	600	90						
采石矶回内丹(小)	回内丹(小)	17	11	2	1	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>采石矶战场专用药品<color><enter>普通的补药，可回复不少内力。		0	1	1			1		80	medicine	gbmedicine	1	1	1	manapotion_v	400	90						
采石矶回内丹(中)	回内丹(中)	17	11	2	2	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>采石矶战场专用药品<color><enter>强效的补药，可回复很多内力。		0	1	1			1		90	medicine	gbmedicine	1	1	1	manapotion_v	500	90						
采石矶回内丹(大)	回内丹(大)	17	11	2	3	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>采石矶战场专用药品<color><enter>大补神药，可回复大量内力。		0	1	1			1		120	medicine	gbmedicine	1	1	1	manapotion_v	600	90						
采石矶乾坤造化丸(小)	乾坤造化丸(小)	17	11	3	1	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>采石矶战场专用药品<color><enter>普通的补药，可同时回复不少生命和内力。		0	1	1			1		80	medicine	gbmedicine	1	1	1	lifepotion_v	240	90	manapotion_v	240	90			
采石矶乾坤造化丸(中)	乾坤造化丸(中)	17	11	3	2	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>采石矶战场专用药品<color><enter>强效的补药，可同时回复很多生命和内力。		0	1	1			1		90	medicine	gbmedicine	1	1	1	lifepotion_v	300	90	manapotion_v	300	90			
采石矶乾坤造化丸(大)	乾坤造化丸(大)	17	11	3	3	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>采石矶战场专用药品<color><enter>大补神药，可同时回复大量生命和内力。		0	1	1			1		120	medicine	gbmedicine	1	1	1	lifepotion_v	360	180	manapotion_v	360	180			
家族回血丹(小)	回血丹(小)	17	12	1	1	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>家族高级关卡专用药品<color><enter>普通的补药，可回复不少生命。		0	1	1			1		60	medicine	kingame_medicine	1	1	1	lifepotion_v	400	90						
家族回血丹(中)	回血丹(中)	17	12	1	2	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>家族高级关卡专用药品<color><enter>强效的补药，可回复很多生命。		0	1	1			1		90	medicine	kingame_medicine	1	1	1	lifepotion_v	500	90						
家族回血丹(大)	回血丹(大)	17	12	1	3	\image\item\other\medicine\zc_611_s.spr		36	<color=gold>家族高级关卡专用药品<color><enter>大补神药，可回复大量生命。		0	1	1			1		120	medicine	kingame_medicine	1	1	1	lifepotion_v	600	90						
家族回内丹(小)	回内丹(小)	17	12	2	1	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>家族高级关卡专用药品<color><enter>普通的补药，可回复不少内力。		0	1	1			1		60	medicine	kingame_medicine	1	1	1	manapotion_v	400	90						
家族回内丹(中)	回内丹(中)	17	12	2	2	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>家族高级关卡专用药品<color><enter>强效的补药，可回复很多内力。		0	1	1			1		90	medicine	kingame_medicine	1	1	1	manapotion_v	500	90						
家族回内丹(大)	回内丹(大)	17	12	2	3	\image\item\other\medicine\zc_621_s.spr		36	<color=gold>家族高级关卡专用药品<color><enter>大补神药，可回复大量内力。		0	1	1			1		120	medicine	kingame_medicine	1	1	1	manapotion_v	600	90						
家族乾坤造化丸(小)	乾坤造化丸(小)	17	12	3	1	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>家族高级关卡专用药品<color><enter>普通的补药，可同时回复不少生命和内力。		0	1	1			1		60	medicine	kingame_medicine	1	1	1	lifepotion_v	240	90	manapotion_v	240	90			
家族乾坤造化丸(中)	乾坤造化丸(中)	17	12	3	2	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>家族高级关卡专用药品<color><enter>强效的补药，可同时回复很多生命和内力。		0	1	1			1		90	medicine	kingame_medicine	1	1	1	lifepotion_v	300	90	manapotion_v	300	90			
家族乾坤造化丸(大)	乾坤造化丸(大)	17	12	3	3	\image\item\other\medicine\zc_631_s.spr		36	<color=gold>家族高级关卡专用药品<color><enter>大补神药，可同时回复大量生命和内力。		0	1	1			1		120	medicine	kingame_medicine	1	1	1	lifepotion_v	360	180	manapotion_v	360	180			
[福利]回血丹（简）	[福利]回血丹（简）	17	13	1	1	\image\item\other\medicine\fuliyao1_1.spr		36	<color=gold>福利药品<color><enter>一般的补药，可同时回复少量生命，可在参加逍遥谷、藏宝图、宋金、军营、家族高级关卡、领土争夺战时使用。		0	1	1			1		30	fulimedicine	fulimedicine	1	1	1	lifepotion_v	200	90						
[福利]回血丹（小）	[福利]回血丹（小）	17	13	1	2	\image\item\other\medicine\fuliyao1_2.spr		36	<color=gold>福利药品<color><enter>普通的补药，可同时回复不少生命，可在参加逍遥谷、藏宝图、宋金、军营、家族高级关卡、领土争夺战时使用。		0	1	1			1		50	fulimedicine	fulimedicine	1	1	1	lifepotion_v	300	90						
[福利]回血丹（中）	[福利]回血丹（中）	17	13	1	3	\image\item\other\medicine\fuliyao1_3.spr		36	<color=gold>福利药品<color><enter>强效的补药，可同时回复很多生命，可在参加逍遥谷、藏宝图、宋金、军营、家族高级关卡、领土争夺战时使用。		0	1	1			1		70	fulimedicine	fulimedicine	1	1	1	lifepotion_v	400	90						
