Id	Arrow	TipText	WndName	ControlName	Time
21	2	点这里告诉您怎么回村。任务面板可用快捷键F4打开。	UI_SIDEBAR	BtnTaskPanel	20
22	2	在任务面板上点击黄字使用自动寻路回村。	UI_TASKPANEL	ScrollTaskInfo	20
23	2	鼠标点击此按钮可以进入技能面板确认门派路线。	UI_SIDEBAR	BtnSkill	20
24	1	点此按钮是选择路线1的门派技能开始加点。	UI_FIGHTSKILL	BtnKombatPage1	20
25	2	点此按钮是选择路线2的门派技能开始加点。	UI_FIGHTSKILL	BtnKombatPage2	20
26	4	点类似加号可以对该技能进行加点。	UI_FIGHTSKILL	BtnLvup1_1_1	20
27	2	点此按钮可以确认投点，确认后技能点投出，不能轻易再更改。	UI_FIGHTSKILL	BtnAccept	20
28	1	可点击此按钮，选择鼠标左键释放的门派技能。	UI_SKILLBAR	ObjLeftSkill	20
29	2	可点击此按钮，选择鼠标右键释放的门派技能。	UI_SKILLBAR	ObjRightSkill	20
30	2	请记得每次升级后，到技能界面投技能点哦。点数越多招式越强。	UI_SIDEBAR	BtnSkill	20
31	1	在甜酒叔那里买到劣质铜矿石后，可点开这个界面加工成软铜锭。	UI_SIDEBAR	BtnLifeSkill	20
32	2	点此按钮进入矿物加工界面。	UI_LIFESKILL	Obj1_1	20
33	1	在配方表中选中软铜锭。	UI_PRODUCE	WndRecipeList	20
34	3	选中软铜锭的配方之后，点此按钮可以制造出软铜锭来。	UI_PRODUCE	BtnMake	20
35	2	您也可以通过全部制造来一次性加工完所有劣质铜矿石。	UI_PRODUCE	BtnMakeAll	20
36	2	点开这个界面制作软铜剑吧。	UI_SIDEBAR	BtnLifeSkill	20
37	2	点此按钮进入武器锻造界面。	UI_LIFESKILL	Obj2_1	20
38	1	在配方表中选中软铜剑。	UI_PRODUCE	WndRecipeList	20
39	3	选中软铜剑的配方之后，点此按钮可以制造出软铜剑来。	UI_PRODUCE	BtnMake	20
40	2	您也可以通过全部制造来一次性打造完所有软铜锭。	UI_PRODUCE	BtnMakeAll	20
41	4	如果你不知道如何进行白虎堂活动的话请点这里。	UI_PLAYERSTATE	BtnHelp	20
42	4	您的帐号没有开启锁定保护功能，请点这里了解详情。	UI_PLAYERSTATE	BtnLock	20
43	4	如果你不知道师徒系统有什么功能，可以点击这里。	UI_PLAYERSTATE	BtnHelp	20
44	4	您的角色已处于锁定保护状态，该状态下将禁止一些操作，点击此处了解详情。	UI_PLAYERSTATE	BtnLock	20
45	1	您的背包或仓库中有玄晶即将过期，请及时使用消耗掉。	UI_SIDEBAR	BtnItemBox	20
46	2	您的背包或仓库中有返还券即将过期，请及时使用消耗掉。	UI_SIDEBAR	BtnItemBox	20
47	4	您还没有同伴，去找各大新手村<color=yellow>龙五太爷<color>问问看吧！	UI_PLAYERSTATE	BtnPartner	20
48	4	您有同伴可以升级，点此手动升级。	UI_PLAYERSTATE	BtnPartner	10
49	4	您已获得一位新同伴，点此查看。	UI_PLAYERSTATE	BtnPartner	10
50	4	同伴经验已累积了10级，不能继续获得经验，请先<color=yellow>手动升级<color>。	UI_PLAYERSTATE	BtnPartner	10
51	4	点击购买2个	UI_SHOPBUY	BtnAdd	10
52	4	确认购买	UI_SHOPBUY	BtnAccept	10
53	3	按Ctrl+F可自动战斗和拾取，轻松方便，再次按Ctrl+F停止自动战斗 。自动战斗细节可在界面右上角小刀按键进行详细设置。	UI_SKILLBAR	ObjLeftSkill	20
54	4	有真元已修炼满级，请重新放入未满级真元修炼。	UI_PLAYERSTATE	BtnZhenYuan	20
55	4	你的历练经验累积已达上限，将不能继续累积	UI_PLAYERSTATE	BtnZhenYuan	20
102	2	点击此按钮可以进入五行换装界面	UI_PLAYERPANEL	BtnSwitch	
103	3	这个是帽子	UI_SERIESSWITCH	ObjHead	
104	2	点击此按钮可以打开任务面板	UI_SIDEBAR	BtnTaskPanel	
105	2	在此面板中点击黄色带下划线字体可以自动行走到目标地点	UI_TASKPANEL	ScrollTaskDesc	
106	3	点此按钮可以与队友分享一些你接到的任务	UI_TASKPANEL	BtnShareTask	
107	2	点此按钮可以在主界面右侧显示出任务追踪的信息	UI_TASKPANEL	BtnTrackTask	
108	4	点此按钮可以放弃一些被系统允许放弃的任务	UI_TASKPANEL	BtnGiveupTask	
109	2	点击此按钮可以进入技能面板确认门派路线	UI_SIDEBAR	BtnSkill	
110	1	点此按钮是选择路线1的门派技能开始加点	UI_FIGHTSKILL	BtnKombatPage1	
111	2	点此按钮是选择路线2的门派技能开始加点	UI_FIGHTSKILL	BtnKombatPage2	
112	4	点类似加号可以对该技能进行加点	UI_FIGHTSKILL	BtnLvup1_1_1	
113	2	点此按钮可以确认投点，确认后技能点投出，轻易不能再更改	UI_FIGHTSKILL	BtnAccept	
114	2	可以使用键盘上的数字键1来迅速使用该道具	UI_SHORTCUTBAR	TxtNum1	
115	2	点此按钮进入背包栏，可以选择任意您当前拥有的道具	UI_SIDEBAR	BtnItemBox	
116	2	在此栏中选择任意道具，拖动到快捷键1，就可以迅速使用了	UI_ITEMBOX	ObjMainBag	
117	1		UI_SIDEBAR	Main	30
120	1	检测到新的更新包，开始下载…<enter>（F11可限速）	UI_SIDEBAR	BtnSystem	10
121	1	更新包下载完成！	UI_SIDEBAR	BtnSystem	10
122	2	有新鲜事可以和朋友分享哟……	UI_SNS_ENTRANCE	BtnOpenMain	3
123	1	<enter>点击这里和您的<color=yellow>社交网络<color>建立关联	UI_SNS_MAIN	BtnTSinaAuth	8
124	1	<enter>点击图标，打开您的<color=yellow>新浪微博<color>主页	UI_SNS_MAIN	BtnTSinaPic	5
125	3	<enter>点击图标，打开您的<color=yellow>腾讯微博<color>主页	UI_SNS_MAIN	BtnTTencentPic	5
126	1	<enter>此处放入需要进行镶嵌或者剥离宝石的<color=yellow>装备<color>	UI_EQUIPHOLE	ObjEquip	5
127	1		UI_SERVERSPEED	Main	30	
