MAP_CLASS	MAP_INFO	MAP_ID	MAP_X	MAP_Y	TO_FIGHTSTATE
野外地图\15级地图	 铸剑坊	44	1556	3509	
野外地图\15级地图	 岳阳楼	45	1615	3823	
野外地图\25级地图	 后山禁地	46	2006	3306	
野外地图\25级地图	 天忍教禁地	47	1661	3679	
野外地图\25级地图	 见性峰	48	1875	3725	1
野外地图\25级地图	 天柱峰	49	1618	3927	
野外地图\25级地图	 姑苏水榭	50	1833	3140	
野外地图\25级地图	 九老峰	51	1776	3133	1
野外地图\25级地图	 百花谷	52	1957	3738	
野外地图\25级地图	 翡翠湖	53	1861	3207	
野外地图\25级地图	 南夷部落	54	1824	3201	
野外地图\25级地图	 青螺岛	55	1726	3640	1
野外地图\35级地图	 塔林东部	56	1995	3287	
野外地图\35级地图	 金国皇陵一层	57	1442	3484	
野外地图\35级地图	 冰穴迷宫一层	58	1633	3368	
野外地图\35级地图	 龙虎幻境东部	59	1588	3170	1
野外地图\35级地图	 燕子坞外围	60	1612	2699	1
野外地图\35级地图	 九老洞一层	61	1638	3828	
野外地图\35级地图	 百花阵外阵	62	2378	3768	
野外地图\35级地图	 湖畔竹林东部	63	1775	3241	1
野外地图\35级地图	 原始森林东部	64	1882	3234	
野外地图\35级地图	 芦苇荡东南部	65	1974	3724	
野外地图\45级地图	 塔林西部	66	1995	3287	1
野外地图\45级地图	 金国皇陵二层	67	1439	3485	1
野外地图\45级地图	 冰穴迷宫二层	68	1633	3368	
野外地图\45级地图	 龙虎幻境西部	69	1588	3170	
野外地图\45级地图	 燕子坞中段	70	1612	2699	
野外地图\45级地图	 九老洞二层	71	1638	3828	
野外地图\45级地图	 百花阵内阵	72	2378	3768	1
野外地图\45级地图	 湖畔竹林西部	73	1775	3241	
野外地图\45级地图	 原始森林西部	74	1882	3234	1
野外地图\45级地图	 芦苇荡西北部	75	1974	3724	
野外地图\55级地图	 太行古径	86	1951	3913	
野外地图\55级地图	 大散关	87	1596	3382	
野外地图\55级地图	 汉水古渡	88	1612	3218	
野外地图\55级地图	 寒山古刹	89	1528	3386	
野外地图\55级地图	 浣花溪	90	1963	3559	
野外地图\55级地图	 洱海摩岩	91	1794	3834	
野外地图\55级地图	 采石矶	92	2069	3447	
野外地图\65级地图	 药王洞	93	1913	3717	
野外地图\65级地图	 居延泽	94	1786	3958	
野外地图\65级地图	 伏牛山	95	1759	3241	
野外地图\65级地图	 虎丘剑池	96	1798	3971	
野外地图\65级地图	 响水洞	97	1720	3793	
野外地图\65级地图	 点苍山	98	1926	3801	
野外地图\65级地图	 彭蠡古泽	99	1626	2433	
野外地图\75级地图	 风陵渡	100	1974	3264	
野外地图\75级地图	 沙漠迷宫	101	1624	3877	
野外地图\75级地图	 鸡冠洞	102	1599	3208	
野外地图\75级地图	 蜀冈山	103	1802	3907	
野外地图\75级地图	 剑阁蜀道	104	1546	3717	
野外地图\75级地图	 段氏皇陵	105	1397	3544	
野外地图\75级地图	 九嶷溪	106	1929	3324	
野外地图\85级地图	 龙门石窟	107	1987	3415	
野外地图\85级地图	 西夏皇陵	108	1670	3214	
野外地图\85级地图	 黄鹤楼	109	1929	3545	
野外地图\85级地图	 荐菊洞	110	1382	3279	
野外地图\85级地图	 剑门关	111	1956	3549	
野外地图\85级地图	 天龙寺	112	1913	3537	
野外地图\85级地图	 帮源秘洞	113	1893	3383	
野外地图\95级地图	 敕勒川	114	1924	3808	
野外地图\95级地图	 嘉峪关	115	1789	3211	
野外地图\95级地图	 华山	116	1889	3821	
野外地图\95级地图	 蜀岗秘境	117	1772	3358	
野外地图\95级地图	 丰都鬼城	118	1607	3910	
野外地图\95级地图	 苗岭	119	1547	3723	
野外地图\95级地图	 武夷山	120	1784	3326	
野外地图\95级地图	 武陵山	121	1800	3349	
野外地图\105级地图	 漠北草原	122	1797	3757	
野外地图\105级地图	 敦煌古城	123	1902	3910	
野外地图\105级地图	 活死人墓	124	1734	3326	
野外地图\105级地图	 大禹台	125	1750	3855	
野外地图\105级地图	 三峡栈道	126	1523	3592	
野外地图\105级地图	 蚩尤洞	127	1605	3227	
野外地图\105级地图	 锁云渊	128	1935	3406	
野外地图\105级地图	 伏流洞	129	1897	3586	
野外地图\115级地图	 蒙古王庭	130	1779	3716	
野外地图\115级地图	 月牙泉	131	1938	3621	
野外地图\115级地图	 阿房宫废墟	132	1973	3764	
野外地图\115级地图	 梁山泊	133	1570	3296	
野外地图\115级地图	 神女峰	134	1777	3194	
野外地图\115级地图	 夜郎旧墟	135	1603	3687	
野外地图\115级地图	 鼓浪屿	136	1588	3169	
野外地图\115级地图	 桃花源	137	1848	3261	
门派	古墓	2261	1689	3042	
