BookId	PartId	Content
5	2	泪水撒入吾身，吾定不知一年已过，一岁已逝。他们，是见证我存在的人。仙子们叫他们爱侣。王母怒斥他们孽缘。他强忍了泪，唤她织女。她日日叹息，念他牛郎。            每年看着那些喜鹊，于七月七日辗转而来，衔
5	3	尾成桥横越吾身，才稍稍觉得这宽广的天幕没那么冷清。                    ……吾从来不懂那些人的情爱，吾也永不会停下步伐就此断绝。吾只知，天地之大，吾再不愿谁因吾而永生相离。
6	1	      卷六·王母          情之一字，不过妄念。千岁万岁之后，皆为泡影。天上本是清修克己之处，织女本是仙人，又怎可因一凡人之故，荒废这天下云霞？                那一日在大殿上，我便是这般训她。刚刚划破
6	2	了天幕的金簪，还被我拢在袖中。而她似是没听见般，只怔怔看着外面的银河。我怒意未平，唤来天兵天将，将她囚进了天海尽头的偏殿。              我如何不知，众仙怨我严厉，凡间斥我断人姻缘。本是人仙殊途，织女
6	3	私自与凡人相恋，久居凡间，惰织锦，遣回天庭，错了？秉天规公正处之，何错之有！                此时情深，一朝夕莫不为尘土，何以执迷？
7	1	      卷七·织机          都道，器皿沾仙气，便可幻化为精怪仙灵。我是天庭一张普通的织机，她的织机。我不知道从什么时候开始，就开始渐渐有了感觉，从丝线搔得我轻痒，到华丽织锦晃花我的眼。我渐渐知道很多事
7	2	情……包括她的名字，许是应了她经手的无双云锦，我知道她叫织女。        直到有一天，她不见了很长时间，然后又回来。可是我再也不能从她眼中看到我，我甚至不能从她眼中看到那些华美的纹路。她痴狂了一般，将天
7	3	边晚霞织就的让人落泪的美。                      殿顶的夜明珠哭着说道，她一定是织给某个人看的。虽然我知道夜明珠刚被喜欢的天将骂了声妖怪，有点疯疯傻傻的，可我还是信了。
8	1	      卷八·灰牛仙        为老不尊，说不定就是在说老生。当初看着那个年轻人，憨实又善良，却日日被哥嫂欺负。自己明明已经一大把年纪，可还是忍不住想要豪气一回，替他改了这命数。可一个被贬谪的仙人，哪里又
8	2	有能力改命……            他并不知我真身，天天悉心照料，让老生觉得往日那些仙人的日子……还真冷冰冰得了无生趣。凡人啊，无论善恶美丑痴嗔妒怨，终归有血有肉，让人羡慕又想要亲近，也莫怪那些妄图修成人形的
8	3	妖怪。                    ……老生让他拿了老生的皮去，他竟然哭了，断然不肯。直到老生说自己寿数已至，去日无多。那傻小子愣着不肯动手。    一个爷们，哭哭啼啼不窝囊？你家媳妇就要被王母抓走了咯……
8	4	    ……若神魂未灭，来世，当个人吧。
9	1	      卷九·喜鹊桥        从我姥姥的姥姥开始，我们族似乎就有了这么一个惯例，也许它更像是一个仪式？仲夏夜，所有喜鹊都毫不停歇地飞往银河，不断有鸟儿在途中筋疲力尽、摔得粉身碎骨。可他们依然义无反顾，朝
9	2	着那匹银练，去赴那场毫无止境的一年之约。        我曾经问过最老的那只喜鹊，为什么？为什么我们要牺牲那么多喜鹊，去沿袭一个那么久远的感动。祖先们因为一时的感动，为他们搭成了鹊桥，这样还不够？为什么还要
9	3	我们年年都用性命，去筑他们一场相聚？真贪心！    他笑了，说，究竟是谁贪心呢？我们明明不过卑微生灵，却妄图挑战天威，成为他们在银河两端唯一的期盼。              而他……很自豪能被人这样期盼着。
9	4	    ……那一年的七夕，他没有回来。
10	1	      卷十·相思雨        七七之雨，是为相思。当我醒来的那一瞬，感觉正沿着什么往下掉。暖软而温柔的。然后渐渐有了声音，同伴们落下的声音，云朵舒卷的声音，还有人呼吸的声音。不要以为我什么都不懂，从诞生
10	2	到落下那一瞬，便是我的一生。若不是诞生天庭，沾染仙雾，我根本不会知道自己有过这一生……      直到我从那人眼中淌下，离开那人脸颊、落入银河，我都可以听见桥上那两人低低的絮语。话不多，却很温柔，让我莫名
10	3	觉得有点寂寞。            慢慢的，我听不到他们的声音了。经过无边的孤寂，突然又有声音响起来……我知道，我这一生，就要结束了。           “下雨了！是牛郎织女的相思泪！”            原来，我叫相思。
11	1	      卷十一·双儿女      娘亲今年也和往年一样美。                    从娘亲被王母抢走的那一年开始，时间似乎就停止了。不知道是因为在天上，还是因为思念让时间变得格外的慢。已经过了那么多我都数不清的年
11	2	份，我和妹妹只长大了一点点，爹还是和原来一样年轻。                    我知道他想念着在凡间的生活，在天上呆了多少年，他就想了多少年。会老会死又如何，若能真的和凡人一样，生老病死，何尝不是一件美事。
11	3	    可他依然留在天上，看着脚下尘世万千，等着每年见娘亲一面。有一回，我念诗经，念到，生死契阔，与子成说。执子之手，与子偕老。            他望着漫天霞彩，泣不成声。
12	1	      卷十二·缘末        古有诗云：“迢迢牵牛星，皎皎河汉女。纤纤擢素手，札札弄机杼。终日不成章，泣涕零如雨。河汉清且浅，相去复几许。盈盈一水间，脉脉不得语。”                    此简均是老叟搜罗坊
12	2	间传言成集，言明不可尽信。可偏偏，总有人想要从老叟手中窥得此书，一探七夕传说之究竟。真乃痴儿。                    红尘之中多是非，少良人。非良人者，并非不善，只因缘浅，未能相携度尽此生。纵然缘浅，也
12	3	是有缘，有缘即曾同修善果，幸之。若得良人，此乃天命惠赠，三世积缘，甚幸甚幸。                如有一日，此书得存有缘人之手，赠言一句，莫怪老叟疯言。            红尘阡陌，若得一缘者，珍之惜之。
12	4	
