SkillName	Property	SkillId	SkillType	SkillForm	StartPosition	Kind	SkillStyle	SkillGenus	ReplaceType	AppendDamageP	ShotNumber	FactionLimit	RouteLimit	SkillIcon	PreCastEffectId	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	StateTime	IsNoClearOnDeath	StateType	IsAura	LRSkill	NeedShadow	AttackRadius	IgnoreDistance	MslsGenerate	MslsGenerateData	ChildSkillId	ChildSkillLevel	ChildSkillNum	IsMissileSkill	CastActionId	EventSkillLevel	IsMelee	WaitTime	ClientOnly	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	IsDamage	TargetOnly	Relation	IsUseAR	StartSkillId	FlySkillId	FlyEventTime	CollidSkillId	VanishedSkillId	HitSkillId	ReqLevel	MaxLevel	WeaponLimit	HorseLimit	AngerLimit	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	ClassName	SkillDesc
不动明王	被动辅助	34	3					1			-1			\image\icon\fightskill\shaolin\budongmingwang.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	60	10	0	0	0	0	0		0					0	0	0	0	1	budongmingwang	少林中级内功，提高自身防御能力，被对手命中后有一定几率实施反击，使周围对手闪避和移动速度降低。
不动明王子		35	5	1	1		disable	1			-1							17	0	0			0	3	0	0	0	0	0	28	-1	1	1	14	0	0	0	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	0	10	0	0	0	0	0		0					0	0	0	0	1	budongmingwang_child	
七星罗刹棍	主动外功系攻击	36	5	1	1		atk_phy_near	1			1			\image\icon\fightskill\shaolin\hengsaoliuhe.spr	158	\audio\fightskill\shaolin\sl_hslh_m.wav		0	0	0			0	0	0	160	0	0	0	29	-1	1	1	9	-1	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	90	20	14	1	0	0	0		0					0	1	0	1	1	qixingluoshagun	少林高级棍法，攻击自身周围大范围的对手。
达摩武经	被动辅助	37	3					1			-1			\image\icon\fightskill\shaolin\damodujiang.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	damowujing	少林镇派绝学，造成攻击效果的几率提高，并提高出招速度。
回风落雁	主动外功系攻击	38	1	5	1		atk_phy_near	1			2			\image\icon\fightskill\tianwang\huifengluoyan.spr	227			0	0	0			0	0	1	140	0	2	8	39	-1	2	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	10	20	15	1	0	0	0		0					0	0	0	1	1	huifengluoyan	天王初级枪法，快速地连续攻击对手，发出两招后才能收招，进行其他行动。
回风落雁子	主动外功系攻击	39	5	0	1		atk_phy_near	1			2							0	0	0			0	0	0	0	0	0	0	30	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	15	1	0	0	0		0					0	0	0	1	1	huifengluoyan	
天王枪法	被动辅助	40	3					1			-1			\image\icon\fightskill\tianwang\tianwangqiangfa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	tianwangqiangfa	天王入门枪法，提高使用枪类武器攻击的能力。
断魂刺	主动限制	41	1	4	1			1			-1			\image\icon\fightskill\tianwang\duanhunci.spr	159	\audio\fightskill\tianwang\tw_dhc_m.wav	\audio\fightskill\tianwang\tw_dhc_fm.wav	0	0	0			0	0	1	550	0	1	16	42	-1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	30	10	0	1	0	0	32		0					0	1	0	0	1	duanhunci	天王中级武功，冲刺对手，使其定身。
断魂刺子		42	5	0	1		disable	1			-1							0	0	0			0	2	0	0	0	0	0	31	-1	1	1	9	0	0	0	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	0	10	0	1	0	0	0		0					0	0	0	0	1	duanhunci	
阳关三叠	主动外功系攻击	43	1	5	1		atk_phy_near	1			2			\image\icon\fightskill\tianwang\yangguansandie.spr	228			0	0	0			0	0	1	140	0	2	7	44	-1	3	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	50	20	15	1	0	0	0		0					0	0	0	1	1	yangguansandie	天王中级枪法，飞快地连续攻击对手，发出三招后才能收招，进行其他行动。
阳关三叠子	主动外功系攻击	44	5	0	1		atk_phy_near	1			2							0	0	0			0	0	0	0	0	0	0	32	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	15	1	0	0	0		0					0	0	0	1	1	yangguansandie	
静心诀	被动辅助	45	3					1			-1			\image\icon\fightskill\tianwang\jingxinjue.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	40	20	0	0	0	0	0		0					0	0	0	0	1	jingxinjue	天王中级心法，提高生命值上限，缩短中毒时间。
天王战意	主动攻击辅助	46	2				buff	1			-1			\image\icon\fightskill\tianwang\tianwwangzhanyi.spr	160			18	0	0			0	2	0	0	0	0	0	0	-1	1	0	11	-1	0	0	0	0	0	0	0	1	0	0	self	0	239	0	0	0	0	0	70	20	0	0	0	0	0		0					0	1	0	0	1	tianwangzhanyi	天王高级心法，使附近友方攻击能力和效果提升。
追星逐月	主动外功系攻击	47	1	5	1		atk_phy_near	1			3			\image\icon\fightskill\tianwang\zhuixingzhuyue.spr	229			0	0	0			0	0	0	140	0	2	5	48	-1	1	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	90	20	15	1	0	0	0		0					0	0	0	1	1	zhuixingzhuyue	天王高级枪法，极快地连续攻击身前的敌人。
追星逐月子	主动外功系攻击	48	5	0	1		atk_phy_near	1			3							0	0	0			0	0	0	0	0	0	0	34	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	15	1	0	0	0		0					0	0	0	1	1	zhuixingzhuyue	
天罡战气	被动辅助	49	3					1			-1			\image\icon\fightskill\tianwang\tiangangzhanqi.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	tiangangzhanqi	天王镇派绝学，造成攻击效果的几率提高，并强化生命回复效率。
行云诀	主动外功系攻击	50	1	5	1		atk_phy_near	1			1			\image\icon\fightskill\tianwang\xingyunjue.spr	230			0	0	0			0	0	1	80	0	2	10	51	-1	1	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	10	20	16	1	0	0	0		0					0	0	0	1	1	xingyunjue	天王初级锤法，攻击单人的招式。
行云诀子	主动外功系攻击	51	5	0	1		atk_phy_near	1			1							0	0	0			0	0	0	0	0	0	0	35	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	16	1	0	0	0		0					0	0	0	1	1	xingyunjue	
天王锤法	被动辅助	52	3					1			-1			\image\icon\fightskill\tianwang\tianwangchuifa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	tianwangchuifa	天王入门锤法，提高使用锤类武器攻击的能力。
追风诀	主动外功系攻击	53	1	5	1		atk_phy_near	1			1			\image\icon\fightskill\tianwang\zhuifengjue.spr	231			0	0	0			0	0	1	80	0	2	7	54	-1	1	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	50	20	16	1	0	0	0		0					0	0	0	1	1	zhuifengjue	天王中级锤法，攻击单人的招式，速度更快。
追风诀子	主动外功系攻击	54	5	0	1		atk_phy_near	1			1							0	0	0			0	0	0	0	0	0	0	36	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	16	1	0	0	0		0					0	0	0	1	1	zhuifengjue	
金钟罩	主动防御辅助	55	2				buff	1			-1			\image\icon\fightskill\tianwang\jinzhongzhao.spr	161			19	0	0			0	2	0	0	0	0	0	0	-1	1	0	11	-1	0	0	0	0	0	0	0	1	0	0	self	0	240	0	0	0	0	0	70	20	0	0	0	0	0		0					0	1	0	0	1	jinzhongzhao	天王高级内功，使附近友方的抗性能力提升。
乘龙诀	主动外功系攻击	56	1	5	1		atk_phy_near	1			1			\image\icon\fightskill\tianwang\chenglongjue.spr	232			0	0	0			0	0	0	140	0	2	5	57	-1	1	0	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	90	20	16	1	0	0	0		0					0	0	0	1	1	chenglongjue	天王高级锤法，极快地攻击身前小范围的对手。
乘龙诀子	主动外功系攻击	57	5	1	3		atk_phy_near	1			1							0	0	0			0	0	0	0	0	0	0	38	-1	1	1	9	-1	1	0	0	0	0	0	0	1	1	0	enemy	1	795	0	0	0	0	0	0	20	16	1	0	0	64		0					0	0	0	1	1	chenglongjue	
倒虚天	被动辅助	58	3					1			-1			\image\icon\fightskill\tianwang\daoxutian.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	daoxutian	天王镇派绝学，造成攻击效果的几率提高，并强化生命回复效率。
追心箭	主动外功系攻击	59	5	0	1		atk_phy_far	1			1			\image\icon\fightskill\tangmen\zhuixinjian.spr	162			0	0	0			0	0	0	520	0	0	0	39	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	10	20	23	0	0	0	0		0					0	0	0	2	1	zhuixinjian	唐门初级武功，远程发出袖箭攻击对手。
唐门袖箭	被动辅助	60	3					1			-1			\image\icon\fightskill\tangmen\tangmenxiujian.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	tangmenxiujian	唐门入门武功，提高使用袖箭类武器攻击的能力。
淬毒术	被动辅助	61	3					1			-1			\image\icon\fightskill\tangmen\cuidushu.spr				20	0	0			0	3	0	0	0	0	0	0	-1	1	1	14	-1	0	0	0	0	0	0	0	0	0	0	self	0	0	0	0	0	0	0	40	20	0	0	0	0	0		0					1	0	0	0	1	cuidushu	唐门毒术，使自身和附近的队友会心一击的伤害倍值提高。
天罗地网	主动外功系攻击	62	5	0	1		atk_phy_far	1			2			\image\icon\fightskill\tangmen\tianluodiwang.spr	163			0	0	0			0	0	0	520	0	0	0	41	-1	1	1	9	-1	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	63	0	0	50	20	23	0	0	0	0		0					0	4	0	2	1	tianluodiwang	唐门中级武功，跟踪攻击远处的敌人，击中对手后会飞射出更多的箭支攻击附近的敌人。
天罗地网_发散	主动外功系攻击	63	5	4	1		atk_phy_far	1			2							0	0	0			0	0	0	0	0	0	0	42	-1	3	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	23	0	0	0	64		0					0	0	0	2	1	tianluodiwang_child	
迷影纵	主动战斗辅助	64	1	6				1			-1			\image\icon\fightskill\tangmen\miyingzong.spr	164	\audio\fightskill\tangmen\tm_myz_h.wav	\audio\fightskill\tangmen\tm_myz_h.wav	0	0	0			0	0	0	0	0	0	0	0	-1	0	0	14	-1	0	3	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	30	10	0	0	0	0	0		0					0	1	0	0	1	miyingzong	唐门轻功，可以迅速移动到指定地点。
驭毒术	被动辅助	65	3					1			-1			\image\icon\fightskill\tangmen\yudushu.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	70	20	0	0	0	0	0		0					0	0	0	0	1	yudushu	唐门毒术，强化毒攻能力，提升会心一击的几率，减少受到眩晕的时间。
暴雨梨花	主动外功系攻击	66	5	1	2		atk_phy_far	1			3			\image\icon\fightskill\tangmen\baoyulihua.spr	165			0	0	0			0	0	0	520	0	0	0	43	-1	1	1	9	-1	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	90	20	23	0	0	0	0		0					0	0	0	2	1	baoyulihua	唐门高级武功，放出很多箭支持续攻击对手三次，同时在四周发出大量箭支射向中心区域封锁敌人去路。
追星逐电	主动外功系攻击	67	5	4	1		atk_phy_far	1			16							0	0	0			0	0	0	0	0	0	0	1130	-1	8	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	20	23	0	0	0	-608		0					0	0	0	2	1	zhuixingzhudian	
心魔	被动辅助	68	3					1			-1			\image\icon\fightskill\tangmen\xinmo.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	xinmo	唐门镇派绝学，造成攻击效果的几率提高，并提高出招速度。
毒刺骨	陷阱	69	5	1	1		trap	1			-1			\image\icon\fightskill\tangmen\ducigu.spr		\audio\fightskill\tangmen\tm_csc_h.wav	\audio\fightskill\tangmen\tm_csc_h.wav	0	0	0			0	0	0	96	0	0	0	1148	-1	1	1	11	-1	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	184	0	0	10	20	22	1	0	0	0		0					0	0	0	2	1	ducigu	唐门初级陷阱，使小范围内对手受到最多四次陷阱伤害并中毒。
唐门陷阱	被动辅助	70	3					1			-1			\image\icon\fightskill\tangmen\tangmenxianjing.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	tangmenxianjing	唐门入门武功，提高使用陷阱攻击的能力。
勾魂阱	陷阱	71	5	1	1		trap	1			-1			\image\icon\fightskill\tangmen\gouhunjing.spr		\audio\fightskill\tangmen\tm_dcg_h.wav	\audio\fightskill\tangmen\tm_dcg_h.wav	0	0	0			0	0	0	96	0	0	0	46	-1	1	1	11	-1	0	0	0	0	0	0	0	1	0	0	enemy	0	0	0	0	883	0	0	40	20	22	1	0	0	0		0					0	4	0	0	1	gouhunjing	唐门中级陷阱，使踩中陷阱的对手迟缓，并在十秒内每秒造成一次大范围伤害。
小李飞刀	主动外功系攻击	72	5	1	2		atk_phy_far	1			-1			\image\icon\fightskill\tangmen\xiaolifeidao.spr	168	\audio\fightskill\tangmen\tm_xlfd_f.wav	\audio\fightskill\tangmen\tm_xlfd_f.wav	0	0	0			0	0	0	520	0	0	0	47	-1	1	1	9	1	0	0	0	0	0	0	0	1	1	0	enemy	1	236	0	0	0	0	0	50	20	22	1	0	0	0		0					0	0	0	2	1	xiaolifeidao	唐门中级武功，远程发出飞刀直接攻击单个对手。
缠身刺	陷阱	73	5	1	1		trap	1			-1			\image\icon\fightskill\tangmen\chanshenci.spr		\audio\fightskill\tangmen\tm_csc_h.wav	\audio\fightskill\tangmen\tm_csc_h.wav	0	0	0			0	0	0	96	0	0	0	48	-1	1	1	11	0	0	0	0	0	0	0	0	1	0	0	enemy	0	0	0	0	0	0	0	70	20	22	1	0	0	0		0					0	0	0	0	1	chanshenci	唐门中级陷阱，使小范围内对手定身。
乱环击	陷阱	74	5	1	1		trap	1			-1			\image\icon\fightskill\tangmen\luanhuanji.spr		\audio\fightskill\tangmen\tm_dcg_h.wav	\audio\fightskill\tangmen\tm_dcg_h.wav	0	0	0			0	0	0	96	0	0	0	49	-1	1	1	11	-1	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0		187	0	90	20	22	1	0	0	0		0					0	0	0	2	1	luanhuanji	唐门高级陷阱，会触发出横墙形陷阱，附带强效击退效果，并使大范围内对手受到五行伤害。
心魄	被动辅助	75	3					1			-1			\image\icon\fightskill\tangmen\xinpo.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	xinpo	唐门镇派绝学，造成攻击效果的几率提高，并提高出招速度。
