Id	Type	QuestionType	AnswerId	Question	Choice_1	Choice_2	Choice_3	Choice_4
14	1	wPHA1tPft/4=	a2VqdXF1ZXN0aW9uMw==	ucW0+rvp0vbA8dLH1tC1xKGwxMnV96GxserWvtfFyrLDtL3Xts61xL3hyvijvw==	x/O76Q==	veG76Q==	tqm76Q==	wOu76Q==
15	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uNA==	obC6rrL1xuDH0KOsttSzpM2kze2jrNbo0+qz9dCqobHV4r7ktMqz9tfUz8LB0MTEzrvX99Xfo78=	wO7szw==	0MHG+ryy	wO7H5dXV	wfjTwA==
16	1	1u7X07DZvNI=	a2VqdXF1ZXN0aW9uMw==	0tTPwsTE0ru1wMr009q38L3M1tC1xKGwwfm1wMLWu9ihsaO/	0Me1wA==	1MK1wA==	0N7C3rXA	wNe1wA==
17	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	s6Sw18m9zOyz2M6709rExLj2yqGjvw==	vKrB1g==	wcnE/g==	utrB+r2t	utOxsQ==
18	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uNA==	obC008C0yrPO78r00eC+qaOszeO2ubvGtvm+w9fFw/uho7rs1Oa2vMe2vfDQvMDvo6zKrs7E0ru/6cLyu8bH7aGjobHKq9bQw+jK9rXEtcTKx8TE0rvW1sPAyrOjvw==	sbG+qb++0bw=	varWrcXFsuY=	usvM0sDS	zeO2ubvG
19	1	0rDIpMqw0sU=	a2VqdXF1ZXN0aW9uMw==	yrLDtLuo0rvE6svEvL62vMqiv6qjvw==	0620uruo	ydbSqbuo	y9zBz7uo	xLW1pLuo
20	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMQ==	obDJvbK70eG436OsuqOyu9Hhye4s1ty5q83CsrijrMzsz8K56dDEobGz9tfUy63Wrr/ao78=	styy2Q==	y77C7ceo	y77C7dyy	stzWsg==
21	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMg==	0tTPwsTE0rvP7rK7ysfGsbrFo6jA4NL40NC7+rm5o6nL+b7f09C1xLmmxNyjvw==	u+O20g==	ss3S+w==	tKLQ7g==	0KG55sSj0MXTyg==
22	1	1u7X07DZvNI=	a2VqdXF1ZXN0aW9uMw==	yOW80tGnxcm1xLS0yrzIy8rHo78=	w8/X0w==	16/X09PruavL78H6	v9fX0w==	wM/X0w==
23	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMw==	z8LB0LTK0+/W0Lqs09C07bHw19a1xMrHo78=	uKnK17PGs7w=	ysPEv9LUtP0=	zfzDt9a5v8o=	zsK5ytaq0MI=
24	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	1vjD+7XEs8LKpM7iuePG8NLltdi147Tz1PPP59TaxMS49sqho78=	sLK71Q==	1eO9rQ==	va3L1Q==	uv6xsQ==
25	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMw==	obDWtNfT1q7K1qOs0+vX09nJwM+hsbXEtPPS4srHPw==	wK3Xxbb519O1xMrWus22+dfT0rvG8LPJs6Q=	us3E49K7xvC37tH4wM/Iyw==	x6PXxcTjtcTK1rrNxOPSu8bwwM/IpQ==	0rvG8Mu10Ka7sLj4wM/Iy8z9
26	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMg==	z8LB0LTK0+/W0Lqs09C07bHw19a1xMrHo78=	x8XBug==	18rMrA==	t8XLwQ==	v8mwrg==
27	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMg==	obC3/MzYvNOhsdTat9bA4MnPyvTT2sTH0rvW1r7GwOCjvw==	xqG+xg==	sNe+xg==	ufu+xg==	u8a+xg==
28	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMg==	0tTPwsTE0rvW1rK7ysfW0Ln6xeviv9bQs6O8+7XExeviv7y8t6ijvw==	y67W8w==	0+rB3A==	zMC74g==	7MGztA==
29	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMw==	obG+stLU0N7J7aOsvPPS1NH4tcKhsNXivuS7sLP219Sjvw==	tsW4pg==	styy2Q==	1u648MHB	xbfR9NDe
30	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uNA==	obbKq76tobe5ssrVvK/By9PQserM4rrNzsS0x7XEyqvGqrbgydnGqqO/	NTAwxqo=	MzUwxqo=	MTIwMMaq	MzA1xqo=
31	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uNA==	z8LB0NChy7XX98a31tDExNK7sr/Kx7nFwfq1xNChy7Wjvw==	sfm0qMzsxa60qw==	xt+9o8/CzOzJvQ==	sfm608+0vaPCvA==	wr3QobfvtKvG5g==
32	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	obDM7Mn60ru49s/JyMu2tKOszt7P3rfnueLU2s/Vt+Whscv5w+jK9rXEwsC2tLH20N3P0Lb4vtO1xM/JyMu2tM6709qjvw==	wq7JvQ==	u8bJvQ==	zKnJvQ==	uuLJvQ==
33	1	zOy12ND+u8Y=	a2VqdXF1ZXN0aW9uMg==	yP25+sqxxtqjrMrxtqi2vLrOtKajvw==	s6Swsg==	s8m2vA==	wuXR9A==	uOS+qQ==
34	1	1u7X07DZvNI=	a2VqdXF1ZXN0aW9uMw==	v9fX09Ta1Kqzr7G717e34s6qo78=	zsS1ws31	zsTA8c31	zsTQ+831	zsTIys31
35	1	1u7X07DZvNI=	a2VqdXF1ZXN0aW9uMw==	0tTPwsTE0rvOu8rHw/ezr8vV1t3W+MP7tcShsL2txM/LxLTzssXX06Gxo78=	0abIyrnz	sLLCu8m9	zMayrrui	xMK58NOi
36	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMg==	1tC5+s7E0afKt8nPtdrSu867wfTPwtDVw/u1xM6wtPO1xLCuufrKq8jLysejvw==	udi6usfk	x/zUrQ==	sNe+09LX	styy2Q==
37	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMg==	obDT8MnIwtq97aOszLjQprzko6zpyenWu9K3ydHMw/Chsda4tcTKx8/CwdDExM67wPrKt8jLzu+jvw==	1cW3yQ==	1tzopA==	wrPL4A==	styy2Q==
38	1	wPHA1tPft/4=	a2VqdXF1ZXN0aW9uMw==	vsnKsbPGxa7Q9s6qo78=	saHQ0g==	wbzIyw==	tqu0sg==	ucrT0Q==
39	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMg==	yqvKpbbFuKbL+db4obbS+9bQsMvPybjoobfW0KGwwO6w17a3vsbKq7DZxqqhscrH1rjS1M/CxMTOu6O/	wO7szw==	wO6w1w==	wO662A==	wO7JzNL+
40	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uNA==	ubmzybLoy67OtrXAtcTW2NKqs8m31srHo78=	0c4=	zMc=	wLG9tw==	v6e3yNLy
41	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMw==	ucW0+snxu7DW0KOsv+S4uM2ouf3ExNbWt73Kvde3uM/Mq9H0tcSjvw==	t8nQ0A==	xu/PybrX	sbzF3A==	xu/Cvw==
42	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uNA==	z8LB0LTK0+/W0Lqs09C07bHw19a1xMrHo78=	zsSyu7bUzOI=	zt7A7cihxNY=	1K3QzrHPwrY=	19/Nt87ewrc=
43	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uNA==	ztK5+svEtPPD+9b41q7Su6G2zvfTzrzHobe1xNf31d/Kx6O/	stzRqcfb	wt654dbQ	yqnEzeLW	zuKz0Lb3
44	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	sbvT/s6qzOzPwrXa0ru52LXEysejvw==	yb26o7nY	xr3QzbnY	vaPDxbnY	uq+5yLnY
45	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMQ==	yqu+rdbQobDWqs7S1d+jrM69ztLQxNPHobG1xM/C0ru+5MrHo78=	srvWqs7S1d+jrM69ztK6zsfzoaM=	0dTV387e1++jrM7F1d/X473koaM=	srvWqs7S1d+jrM6qztK3s9PHoaM=	srvWqs7S1d+jrLfyuLS6zsfzoaM=
46	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMw==	obDI/cquuabD+7O+0+vNwaOssMvHp8DvwrfUxrrN1MKho6GxtMu+5MP70dSz9tfUy63WrsrWo78=	styy2Q==	1cXBvA==	1MC3yQ==	uqvQxQ==
47	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMw==	sbG+qdb4w/vQobPUobDN47a5u8ahsbXE1vfSqtStwc/Kx6O/	tPO2uQ==	u8a2uQ==	zeO2uQ==	u6jJ+g==
48	1	1u7X07DZvNI=	a2VqdXF1ZXN0aW9uMg==	0tTPwsTE0rvOu8rHzMbLzsqxxtrW+MP7tcShsMzGy86wy7TzvNKhsaO/	1dS43w==	1Pi5rg==	wO7LuQ==	wsCyu86k
49	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	1tC5+tfutPO1xMa91K3Kx6O/	tquxsca91K0=	u6qxsca91K0=	s6S9rdbQz8LTzsa91K0=	1um9rcj9vcfW3sa91K0=
50	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMw==	obbW3NLXobfA77DL2NTWrtbQttLY1Nb30qrP89X3tcTKx6O/	zKvR9A==	1MLBwQ==	1dPU8w==	y64=
51	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMQ==	0tTPwsTE0rvW1rK7ysfS1Muuzqq2r8GmtcTFqb7fo78=	y67XqrDZz7c=	y67t1A==	y67EpQ==	y67XqsGsu/rEpQ==
52	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMw==	z8LB0MTE0rvE6s6qvNe5x87Eyte0zrG7t6LP1qO/	MTkyN8Tq	MTk0OcTq	MTg5OcTq	MTkwMsTq
53	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMQ==	vqm+58rHztK5+tb4w/u1xM+3vufW1sDgo6zPwsHQxMTP7rK7yvTT2r6pvuehow==	obbIutOiu+Ghtw==	obbLxMDJzL3EuKG3	oba58+X61+2+xqG3	obbM7M/JxeShtw==
54	1	wPHA1tPft/4=	a2VqdXF1ZXN0aW9uMQ==	obbW3MDxobfW0MH5udm1xLfWuaSjrM/CwdDRoc/u1tDExNK7z+6yu9X9yLejvw==	zOy52db3udy+/MrC	tqy52db3udzTqtTs	x++52db3udzQzLej	tdi52db3udzD8dX+
55	1	0qLLtLOvuNk=	a2VqdXF1ZXN0aW9uMw==	ztK5+qGwy7+z8dauwrehsdfu1Oe/qs2o09qjvw==	tLrH78qxxto=	1b25+sqxxto=	zve6usqxxto=	tqu6usqxxto=
56	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uNA==	obbG37K9yquht7XE1/fV38rHo78=	zfXOrA==	styy2Q==	stzYpw==	stzWsg==
57	1	0qLLtLOvuNk=	a2VqdXF1ZXN0aW9uNA==	ztK5+sqhvLbQ0NX+x/i1xMnowaKjrL+qyrzT2qO/	y+Wzrw==	y86zrw==	x+Wzrw==	1Kqzrw==
58	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	u6rPxMPx1+XU2sTEwO+1rsn6o78=	u8a608H30/I=	s6S9rcH30/I=	1um9rcH30/I=	utrB+r2twffT8g==
59	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uNA==	v8a+2b+8ytTW0KOsz+fK1MK8yKHV37G7s8bOqr7ZyMujrLXuytS1xMK8yKHV37G7s8bOqsqyw7Sjvw==	17TUqg==	sPHR2w==	zL27qA==	vfjKvw==
60	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMg==	yq7D5sLxt/zV4srXx/rX08v508O1vbXEwNbG98rHo78=	tdHX0w==	xf3Fww==	ucXz3Q==	0e/H2Q==
61	1	0qLLtLOvuNk=	a2VqdXF1ZXN0aW9uMg==	1+7U58nowaLO5b6tsqnKv7nZ16jDxdHQz7C+rcrptcS7yrXbysejvw==	urrOxLXb	urrO5LXb	urq+sLXb	urrQ+7Xb
62	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMg==	z8LB0LTK0+/W0Lqs09C07bHw19a1xMrHo78=	tNbWprTz0rY=	t+fUxrHk09c=	v93U77emzrY=	sru/ycbzvLA=
63	1	1u7X07DZvNI=	a2VqdXF1ZXN0aW9uMw==	obDBvb6pt6jW96OsyP2128PFyqahscrH1rjExM67ya7Iy6O/	vPjV5g==	u9vE3A==	yfHQ4w==	t6iy2A==
64	1	0rDIpMqw0sU=	a2VqdXF1ZXN0aW9uMQ==	zsTRp7zSzNXUqMP3obbM0ruo1LS8x6G30rvOxLPJzqqzydPvX19fX19fX1+1xLXkucqjvw==	ysDN4szS1LQ=	wfiwtbuow/c=	yb3W2MuuuLQ=	0+vKwM7e1fk=
65	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMQ==	obDSu8flo6y2/rDXo6zI/bvGo6zLxMLMo6zO5brsobHQzsjdtcTKx9LUz8LExNbWw+a146O/	wLzW3cWjyOLArcPm	taO1o8Pm	yMi4ycPm	ufi4x8Pm
66	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMQ==	1tC5+rnFtPq0q82zwbjKs9f3zu/W0LK7sPy6rNLUz8LExNbWo78=	zcG2uQ==	0KHC8w==	tb4=	tPO2uQ==
67	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMg==	oba4wrTvw7fB1qG3ysfPwsHQxMS49sPx1+W1xLjox/qjvw==	uN/Jvdfl	w8m5xdfl	s6/Pytfl	0f7X5Q==
68	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMw==	0tTPwsTEuPayu8rHobC+xqGxtcSx8LPGo78=	zOzCuw==	sczSzw==	wbnLrg==	v/HSqQ==
69	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMg==	0tTPwsTE0rvW1r7GyvTT2tbQufrKrrTzw/u+xtau0rujvw==	ydW1ttfT	wMm+xg==	tv65+M23	wc++xg==
70	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMQ==	obCw17/9wM+6xcnV0fLI4qGxysfS1M/CxMS49rXYx/i1xMzYyavD+7PUo78=	wM+xsb6p	sLK71Q==	yb22qw==	0MK9rg==
71	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	ztK5+sG6yr3HxdDNtcS+q8a3vdzX98Ll0fTHxc6709q6zrXYo78=	yKrW3Q==	zt7O/Q==	vrC1wtXy	xM++qQ==
72	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	u6rPxNfmz8jR17XbtcSz9snttdjKx6O/	varLrg==	zve6/g==	zOyz2A==	ybPErg==
73	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMg==	yMvA4Nfu1OfRp7vhxPDWxrXEvsbT0NLUz8LExNbWo78=	sNe+xg==	ufu+xg==	xqG+xg==	u8a+xg==
74	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	yfG7sLnKysLW0KOsxfzJvb7IxLi1xLPBz+PF/L+qtcTKx6O/	u6rJvQ==	zKnJvQ==	4dTJvQ==	wq7JvQ==
75	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uNA==	0tTPwsTEz+7K9NPaobDLv7Px1q7Ct6GxzrTU+MGqzai1xLXY0/Kjvw==	0cfW3g==	xbfW3g==	t8fW3g==	wK22ocPA1t4=
76	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	y8S088rp1Lqw18K5trTK6dS60N69qNPao78=	xM/Mxg==	sbHLzg==	xM/Lzg==	1Kqzrw==
77	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMg==	0tTPwsTE0rvOu8rHobbI/bn60d3S5aG31tC1xKGwzuW7orTzvauhsaO/	wNe64Q==	u8bW0g==	wrPWx8nu	x/zUrQ==
78	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMg==	obDMx7vwydWhscrH0tTPwsTEuPa12Mf4tcTM2Mmrw/uz1KO/	utOxsQ==	wM+xsb6p	utPEzw==	1MbEzw==
79	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	oba089HcwPqht7XE1vjX99Xfysejvw==	0rvQ0A==	1cW64g==	1+az5dau	yfLAqA==
80	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMw==	z8LB0LTK0+/W0Lqs09C07bHw19a1xMrHo78=	1cW7ysqntOs=	0rvVxdK7s9o=	0MS71tLiwOQ=	sLSyv77NsOA=
81	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMQ==	obDT8fPntLmzr761o6y0urfn1qqyu9aqo7+hsbP219TPwsHQxMTOu8WuyqvIy6O/	0abMzg==	wO7SsQ==	0+PQ/rv6	sszOxLyn
82	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMg==	1tC5+sXr4r/A+sq3s6S609bQo6zS1M/CxMTSu9bWsrvK9NPas6O8+7XEtffOtsa3o78=	1qXC6b20	us7K187a	u6jJ+r20	z7rX0720080=
83	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMQ==	obC4ycvWydWx/c62z8y4yqOs0M7T0NSyt73W/ML6wLqjrLGhtODJ+s/jv7DPuL3Ao6zH5dDCyrPGt8u10PvEz6GjobHKq9bQw+jK9rXEtcTKx8TE0rvW1sPAyrOjvw==	ydWx/Q==	s6Szx+LE6aGx/Q==	wr/I4rvwydU=	16WztMir0+M=
84	1	zOy12ND+u8Y=	a2VqdXF1ZXN0aW9uMg==	zrvT2sm9uqO52LPHsbGjrLG70M7I3c6qobDS0Lflws21/rTkobG1xMrHyrLDtMm9wvajvw==	zOzJvcm9wvY=	0eDJvcm9wvY=	xu7BrMm9wvY=	uuG2z8m9wvY=
85	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMg==	1tC5+sXr4r/A+sq3s6S609bQo6zS1M/CxMTSu9bWsrvK9NPas6O8+7XEtffOtsa3o78=	1qXC6dPN	yq/TzQ==	0/HD19PN	strD19PN
86	1	0rDIpMqw0sU=	a2VqdXF1ZXN0aW9uMw==	oba67MKlw86ht9bQzOG1vaGw1/jJvbnbu6K2t6GxtcTQqrrz0+/Kx6O/	1b7XxbK70fzM2w==	0+bOzNauwPs=	1/jK1cbkwPs=	zOyxwLXYwdE=
87	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMw==	oba67MKlw86ht9bQo6y81s+ntLrU2rTzudvUsMTatcTXocv5ysejvw==	tb7P47Tl	5OzP5rnd	3qS359D5	x+/LrNWr
88	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMw==	obC62sahvsahsdTat9bA4MnPyvTT2sTH0rvW1r7GwOCjvw==	u8a+xg==	ufu+xg==	xqG+xg==	sNe+xg==
89	1	0rDIpMqw0sU=	a2VqdXF1ZXN0aW9uMQ==	obbO99POvMeht9bQzOG1vaGwtPO6o8Dvt63By7a5uK+0rKGxtcTQqrrz0+/Kx6O/	zMDA78C0o6zLrsDvyKU=	z8zLrra5uK8=	trm4r9T8uaSzzA==	trm4r8/KzMA=
90	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMQ==	1tC5+squtPPD+7Lo1q7Su7XEobCwss+qzPq529L0obGjrNTat9bA4MnPyvTT2tLUz8LExNK71tajvw==	x+Cy6A==	sNey6A==	utqy6A==	u8ay6A==
91	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMg==	sujS1dHdyr65/bPM1tCjrNLUz8LExNK7z+6yu8rHsujStrPlxd21xLv5sb6zzNDy1q7Su6O/	sbjG9w==	y6SxrQ==	1vPLrg==	sbiy6A==
92	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uNA==	obbLruSwtKuhpNL9yteht6Gwt9e3187ltPrA68LSvOShsc7ltPqyu7D8wKijvw==	uvO6ug==	uvPMxg==	uvPBug==	uvPLzg==
93	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMw==	z8LB0MqruOjW0MTE0rvK18rHyqvIy8DusNe1xNf3xrejvw==	obbCw9K5yum7s6G3	oba+xdTCvsXI1dLkyb22q9DWtdyhtw==	obbK8bXAxNGhtw==	obazyba8uK6htw==
94	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMw==	1tC5+sXr4r/A+sq3s6S609bQo6zS1M/CxMTSu9bWsrvK9NPas6O8+7XEtffOtsa3o78=	uMm58Luo	vtW7qA==	1O29xw==	uMnc1MDyu6g=
95	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	1tC5+rn6yb2jrM7l1MDWrsrXysejvw==	zKnJvQ==	u6rJvQ==	4dTJvQ==	u8bJvQ==
96	1	1u7X07DZvNI=	a2VqdXF1ZXN0aW9uMg==	obDI87HKobHSu7TK1+6z9crH1rijvw==	x+XPtMOrsco=	zsTVwsrpu621xLjlt9E=	0dDEpcSr1q0=	0N64xM7E1cI=
97	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMg==	0tTPwsTE0rvOu8rHobbI/bn60d3S5aG31tC1xKGwzuW7orTzvauhsaO/	wO7l0w==	udjT8A==	wdaz5Q==	wrPWx8nu
98	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	tqvW3LXEtryzx8rHo78=	wuXS2A==	0eC+qQ==	wdmwsg==	0e/W3Q==
99	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMw==	0tTPwsTE0rvW1rK7ysfW0Ln6xeviv9bQs6O8+7XExeviv7y8t6ijvw==	1r2w/NWo	tODVqA==	t6LDuQ==	083B3A==
100	1	zOy12ND+u8Y=	a2VqdXF1ZXN0aW9uNA==	z8LB0MTE0rvP7rK7yvTT2sKuyb3I/b74o78=	vvix2g==	1Ma6ow==	xtmyvA==	yb3Krw==
101	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMQ==	0tTPwsTH0rvP7rK7ysfT677G09C52LXEyqu+5KO/	s/q6zMjVtbHO56Osurm1zrrMz8LNwaGj	ttS+xtLRs8nHp8Dvv82jrM37yb2/1bzEwb3P59DEoaM=	yLC+/bj8vqHSu7GtvsajrM73s/bR9LnYzt65ysjLoaM=	xs/M0cPAvsbSubnisa2jrNP70vvF/cXDwu3Jz7TfoaM=
102	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMw==	obDH4MO31vHC7aOswb3Qoc7essKhsbP219TExM67yqvIy7XEyqujvw==	0MHG+ryy	zfW5+s6s	wO6w1w==	zfXOrA==
103	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMg==	wPrKt8nP1PjKx6Gwyq7A77mxsuihsbXEyq7A78/jsuiy+tfU09qjvw==	uePW3Q==	wKXD9w==	uKPW3Q==	ztrCs8S+xus=
104	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	ysC959futPO1xLXYz8K+/MrCsqnO77ndysejvw==	sfjC7dm4	ucq5rA==	sry078Ctuaw=	ydnB1svC
105	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	srvK9NPa1tC5+svEtPO5xba8tcTKx6O/	s6TJsw==	zvewsg==	xM++qQ==	wuXR9A==
106	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMQ==	uuyy6NTa1sbX97fWwODJz8r009qjvw==	yKu3or3N	uuzJ1Q==	x+XV9A==	083VqA==
107	1	1u7X07DZvNI=	a2VqdXF1ZXN0aW9uNA==	obDFquiw1q7PsqGx0ru0ytfus/XKx9a4o78=	sOHHqNDCvtM=	0MK76bTzz7I=	yfrBy8WuuqI=	yfrBy8TQuqI=
108	1	wPHA1tPft/4=	a2VqdXF1ZXN0aW9uMQ==	ucW0+tGsz+PNqLOjuPm+3c3i0M7M2NX3t9bA4KOsxuTW0M/fz+PKx9a4o78=	1rHP39DOtcTRrM/j	08PLv8/f1/a1xNGsz+M=	t9vEqde0xcWzydaxz9+1xNGsz+M=	06HXxaGwz9+hsdfWtcTRrM/j
109	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMw==	0tTPwsTH0rvW1rLosrvK9NPa1tC5+squtPPD+7Lo1q7Su6O/	u8bJvcOrt+U=	wq7JvdTGzu0=	1/HS5cOrt+U=	sLLPqsz6udvS9A==
