MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	备注
1712	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级跨服联赛比赛场（7）
1713	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级跨服联赛比赛场（8）
1714	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级跨服联赛比赛场（9）
1715	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级跨服联赛比赛场（10）
1716	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级跨服联赛比赛场（11）
1717	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级跨服联赛比赛场（12）
1718	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	铁浮城外围地图（1）
1719	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	铁浮城外围地图（2）
1720	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	铁浮城外围地图（3）
1721	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	铁浮城城内
1722	1	2	3	4	5	5	5	5	5	5	5	5	5	5	5	5	铁浮城王座
1811	1	2	3	4	5	5	5	5	5	5	5	5	5	5	5	5	巾帼英雄赛比赛地图
1812	1	1	1	1	1	1	1	1	1	1	9	9	9	9	9	9	铁浮城一层
1813	1	2	2	2	2	2	2	2	2	2	8	8	8	8	8	8	铁浮城一层
1814	1	1	3	3	3	3	3	3	3	3	7	7	7	7	7	7	铁浮城一层
1815	1	2	1	4	4	4	4	4	4	4	6	6	6	6	6	6	铁浮城一层
1816	1	1	2	1	5	5	5	5	5	5	5	5	5	5	5	5	铁浮城一层
1817	1	2	3	2	1	6	6	6	6	6	4	4	4	4	4	4	铁浮城一层
1818	1	1	1	3	2	1	7	7	7	7	3	3	3	3	3	3	铁浮城一层
1819	1	2	2	4	3	2	1	1	1	1	2	2	2	2	2	2	铁浮城一层
1820	1	1	3	1	4	3	2	2	2	2	1	1	1	1	1	1	铁浮城一层
1821	1	2	1	2	5	4	3	3	3	3	6	7	8	9	10	10	铁浮城一层
1822	1	1	2	3	1	5	4	4	4	4	7	8	9	10	11	11	铁浮城一层
1823	1	2	3	4	2	6	5	5	5	5	8	9	10	11	12	12	铁浮城一层
1824	1	1	1	1	3	1	6	6	6	6	9	10	11	12	13	13	铁浮城一层
1825	1	2	2	2	4	2	7	7	7	7	10	11	12	13	14	14	铁浮城一层
1826	1	1	3	3	5	3	1	1	1	1	11	12	13	14	15	15	铁浮城一层
1827	1	1	1	1	1	1	1	1	1	1	10	11	12	13	14	14	铁浮城二层
1828	1	2	2	2	2	2	2	2	2	2	9	10	11	12	13	13	铁浮城二层
1829	1	1	3	3	3	3	3	3	3	3	8	9	10	11	12	12	铁浮城二层
1830	1	2	1	4	4	4	4	4	4	4	7	8	9	10	11	11	铁浮城二层
1831	1	1	2	1	5	5	5	5	5	5	6	7	8	9	10	10	铁浮城二层
1832	1	2	3	4	5	6	7	7	7	7	11	12	13	14	15	15	铁浮城三层
1833	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	大逃杀准备场（3）
1834	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	大逃杀（11）
1835	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	大逃杀（12）
1836	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	大逃杀（13）
1837	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	大逃杀（14）
1838	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	大逃杀（15）
