HUGE_ID	MID_ID	SMALL_ID	LADDER_NAME	LADDER_UNIT	SEARCHMOD	ISABLE
3	4	8	上届初级分榜	%d分	0	1
3	4	9	上届初级分榜	%d分	0	1
3	4	10	上届初级分榜	%d分	0	1
3	4	11	上届初级分榜	%d分	0	1
3	4	12	上届初级分榜	%d分	0	1
3	4	13	上届初级分榜	%d分	0	1
3	5	0	上届高级		0	1
3	5	1	上届高级分榜	%d分	0	1
3	5	2	上届高级分榜	%d分	0	1
3	5	3	上届高级分榜	%d分	0	1
3	5	4	上届高级分榜	%d分	0	1
3	5	5	上届高级分榜	%d分	0	1
3	5	6	上届高级分榜	%d分	0	1
3	5	7	上届高级分榜	%d分	0	1
3	5	8	上届高级分榜	%d分	0	1
3	5	9	上届高级分榜	%d分	0	1
3	5	10	上届高级分榜	%d分	0	1
3	5	11	上届高级分榜	%d分	0	1
3	5	12	上届高级分榜	%d分	0	1
3	5	13	上届高级分榜	%d分	0	1
4	0	0	武林荣誉		0	1
4	1	0	武林荣誉	%d荣誉值	1	1
4	1	1	少林荣誉榜	%d荣誉值	0	1
4	1	2	天王荣誉榜	%d荣誉值	0	1
4	1	3	唐门荣誉榜	%d荣誉值	0	1
4	1	4	五毒荣誉榜	%d荣誉值	0	1
4	1	5	峨嵋荣誉榜	%d荣誉值	0	1
4	1	6	翠烟荣誉榜	%d荣誉值	0	1
4	1	7	丐帮荣誉榜	%d荣誉值	0	1
4	1	8	天忍荣誉榜	%d荣誉值	0	1
4	1	9	武当荣誉榜	%d荣誉值	0	1
4	1	10	昆仑荣誉榜	%d荣誉值	0	1
4	1	11	明教荣誉榜	%d荣誉值	0	1
4	1	12	段氏荣誉榜	%d荣誉值	0	1
4	1	13	古墓荣誉榜	%d荣誉值	0	1
4	2	0	门派荣誉	%d荣誉值	0	1
4	2	1	少林荣誉榜	%d荣誉值	0	1
4	2	2	天王荣誉榜	%d荣誉值	0	1
4	2	3	唐门荣誉榜	%d荣誉值	0	1
4	2	4	五毒荣誉榜	%d荣誉值	0	1
4	2	5	峨嵋荣誉榜	%d荣誉值	0	1
4	2	6	翠烟荣誉榜	%d荣誉值	0	1
4	2	7	丐帮荣誉榜	%d荣誉值	0	1
4	2	8	天忍荣誉榜	%d荣誉值	0	1
4	2	9	武当荣誉榜	%d荣誉值	0	1
4	2	10	昆仑荣誉榜	%d荣誉值	0	1
4	2	11	明教荣誉榜	%d荣誉值	0	1
4	2	12	段氏荣誉榜	%d荣誉值	0	1
4	2	13	古墓荣誉榜	%d荣誉值	0	1
4	3	0	联赛荣誉	%d荣誉值	1	1
4	3	1	少林荣誉榜	%d荣誉值	0	1
4	3	2	天王荣誉榜	%d荣誉值	0	1
4	3	3	唐门荣誉榜	%d荣誉值	0	1
4	3	4	五毒荣誉榜	%d荣誉值	0	1
4	3	5	峨嵋荣誉榜	%d荣誉值	0	1
4	3	6	翠烟荣誉榜	%d荣誉值	0	1
4	3	7	丐帮荣誉榜	%d荣誉值	0	1
4	3	8	天忍荣誉榜	%d荣誉值	0	1
4	3	9	武当荣誉榜	%d荣誉值	0	1
4	3	10	昆仑荣誉榜	%d荣誉值	0	1
4	3	11	明教荣誉榜	%d荣誉值	0	1
4	3	12	段氏荣誉榜	%d荣誉值	0	1
4	3	13	古墓荣誉榜	%d荣誉值	0	1
4	4	0	宋金荣誉	%d荣誉值	0	1
5	0	0	领袖荣誉		0	1
5	1	0	领袖荣誉	%d荣誉值	1	1
6	0	0	财富荣誉		0	1
6	1	0	财富荣誉	%d荣誉值	1	1
7	0	0	战斗力		0	1
7	1	0	总战斗力	%d战斗力	1	1
7	2	0	成就	%d成就	1	1
7	3	0	真元	%d真元	1	1
7	3	1	【真元】叶静	%d真元	1	1
7	3	2	【真元】宝玉	%d真元	1	1
7	3	3	【真元】夏小倩	%d真元	1	1
7	3	4	【真元】莺莺	%d真元	1	1
7	3	5	【真元】木超	%d真元	1	1
7	3	6	【真元】紫苑	%d真元	1	1
7	3	7	【真元】秦仲	%d真元	1	1
7	4	0	等级	%d等级	1	1
