MapId	TemplateId	PosX	PosY	bName
24	9831	60832	109184	
24	9831	60768	111424	
24	9831	60992	114336	
24	9831	61600	112448	
24	9831	55840	112416	
24	9831	56576	113728	
24	9831	56864	111456	
24	9831	57792	112800	
24	9831	58112	111296	
24	9831	58464	117600	
24	9831	59680	110112	
24	9831	61728	107424	
24	9831	62560	114688	
25	9831	48832	95456	
25	9831	49184	98656	
25	9831	49376	102464	
25	9831	47872	100256	
25	9831	48480	101312	
25	9831	48704	97088	
25	9831	49600	106112	
25	9831	49728	99840	
25	9831	49984	101120	
25	9831	50016	103520	
25	9831	50528	97472	
25	9831	50656	102144	
25	9831	50752	100256	
25	9831	50880	104352	
25	9831	50816	105536	
25	9831	51392	95776	
25	9831	51680	106528	
25	9831	52352	105440	
25	9831	52864	98368	
25	9831	53472	101536	
25	9831	54048	104256	
25	9831	54432	99936	
25	9831	54976	98208	
25	9831	55392	101184	
25	9831	56192	103360	
25	9831	51392	101280	
25	9831	51840	98016	
25	9831	52544	99360	
25	9831	52320	102240	
25	9831	53184	102720	
25	9831	53280	100224	
25	9831	55104	103840	
25	9831	55648	96896	
26	9831	47488	104320	
26	9831	48064	100480	
26	9831	47840	101888	
26	9831	50336	101888	
26	9831	50944	101248	
26	9831	46208	103104	
26	9831	46944	105152	
26	9831	48032	106272	
26	9831	48960	100384	
26	9831	49248	106688	
26	9831	49952	100096	
26	9831	50784	107520	
26	9831	51424	99392	
26	9831	51232	101696	
26	9831	51936	97568	
26	9831	52160	107616	
26	9831	52288	103456	
26	9831	53312	101728	
26	9831	53440	104960	
26	9831	53376	106240	
26	9831	53856	103520	
26	9831	56032	101312	
26	9831	50720	103136	
26	9831	51680	102368	
26	9831	51936	100224	
26	9831	52096	106400	
26	9831	53920	102176	
27	9831	48448	103008	
27	9831	49472	100704	
27	9831	49184	105440	
27	9831	49824	103712	
27	9831	50304	107040	
27	9831	51008	101856	
27	9831	51488	106944	
27	9831	51712	108416	
27	9831	52224	102624	
27	9831	52352	107648	
27	9831	52672	109312	
27	9831	52768	101632	
27	9831	52736	104096	
27	9831	53216	106880	
27	9831	53696	105088	
27	9831	54368	104544	
27	9831	49984	102656	
27	9831	50592	105920	
27	9831	51296	99680	
27	9831	51296	103104	
27	9831	51872	101824	
27	9831	51904	103872	
27	9831	52768	103072	
27	9831	53376	100928	
27	9831	53440	103936	
27	9831	53760	102624	
27	9831	55200	104224	
28	9831	46176	104800	
28	9831	46304	106016	
28	9831	47616	104640	
28	9831	47936	105696	
28	9831	47680	108928	
28	9831	48352	104384	
28	9831	48928	105568	
28	9831	45728	107552	
28	9831	46688	108768	
28	9831	49056	104672	
28	9831	48384	110016	
28	9831	49600	104096	
28	9831	49856	107520	
28	9831	50656	108288	
28	9831	50944	102496	
28	9831	52000	102592	
28	9831	52384	106624	
28	9831	54272	106688	
28	9831	55296	105408	
28	9831	49120	106848	
28	9831	50656	103904	
28	9831	51392	107040	
28	9831	52928	104032	
28	9831	53248	106272	
28	9831	54720	104832	
29	9831	49216	131744	
29	9831	49856	123552	
29	9831	50688	129536	
29	9831	51392	125952	
29	9831	51968	127264	
29	9831	52576	121280	
29	9831	52256	125088	
29	9831	53344	126304	
29	9831	54016	125312	
29	9831	55072	128384	
29	9831	55520	130016	
29	9831	55840	126208	
29	9831	56416	122176	
29	9831	46656	120768	
29	9831	47296	120192	
29	9831	47264	121440	
29	9831	47936	120768	
29	9831	47232	126944	
29	9831	48576	130880	
29	9831	49184	130432	
29	9831	50208	129408	
29	9831	50752	123648	
29	9831	51072	127424	
29	9831	50752	128576	
29	9831	51456	120032	
29	9831	51616	121792	
29	9831	51296	122528	
29	9831	51552	128896	
29	9831	51872	120864	
29	9831	52672	125632	
29	9831	52608	130464	
29	9831	53152	122528	
29	9831	53920	127840	
29	9831	54176	129632	
29	9831	53760	129504	
29	9831	54624	123904	
29	9831	56192	125568	
29	9831	56960	127328	
