NPCID	Mapid	posx	posy
11273	26	1612	3163
11273	26	1669	3194
11273	26	1636	3216
11273	26	1560	3314
11273	26	1617	3105
11273	26	1614	3102
11277	28	1417	3291
11276	26	1613	3202
11276	26	1605	3183
11276	26	1593	3180
11277	26	1591	3184
11277	26	1581	3193
11277	28	1425	3285
11277	28	1697	3301
11277	28	1707	3290
11296	26	1627	3324
11296	26	1520	3312
11296	26	1521	3256
11296	26	1498	3208
11296	28	1544	3310
11297	28	1598	3299
11296	28	1784	3342
11296	28	1761	3294
11296	26	1538	3331
11297	26	1492	3284
11297	26	1505	3158
11297	26	1552	3113
11297	28	1476	3404
11297	28	1501	3360
11297	28	1581	3233
11297	28	1758	3358
11298	26	1666	3283
11298	26	1553	3310
11298	28	1469	3331
11299	26	1646	3143
11299	26	1584	3082
11299	28	1446	3367
11299	28	1651	3220
11299	28	1655	3271
11299	28	1686	3326
11299	28	1736	3344
11279	26	1675	3275
11279	26	1564	3272
11279	26	1530	3338
11279	26	1488	3295
11279	26	1493	3181
11279	28	1463	3334
11279	28	1467	3398
11279	28	1556	3264
11279	28	1615	3284
11279	28	1619	3200
11279	28	1678	3322
11279	28	1717	3293
11280	26	1674	3274
11280	26	1565	3271
11280	26	1532	3337
11280	26	1490	3294
11280	26	1495	3180
11280	28	1465	3333
11280	28	1469	3398
11280	28	1557	3265
11280	28	1617	3283
11280	28	1620	3199
11280	28	1680	3321
11280	28	1773	3366
11280	28	1719	3292
11281	26	1677	3274
11281	26	1563	3271
11281	26	1528	3338
11281	26	1486	3294
11281	28	1771	3367
11281	28	1715	3292
11299	26	1617	3201
11299	26	1652	3245
11279	26	1604	3112
11280	26	1606	3112
11299	26	1614	3109
11299	26	1672	3166
11297	26	1709	3183
11276	26	1700	3186
11276	26	1713	3199
11276	26	1735	3151
11296	26	1735	3153
11279	26	1731	3138
11280	26	1733	3138
11296	26	1578	3278
11279	26	1632	3234
11280	29	1635	3233
11297	28	1530	3333
11297	28	1535	3273
11299	28	1434	3286
11299	28	1566	3268
11298	26	1555	3273
11298	28	1664	3238
