Id	PosType	Layer	AdjustColor	ImageFile	IconFile	Loop	Buff	DrawProp	Tip
25	head	1			\image\icon\fightskill\state\cihangpudu.spr	1	1	2	慈航普渡
26	ground	0		\image\effect\fightskill\emei\em_50_fxcy_b.spr	\image\icon\fightskill\state\foxinciyou.spr	1	1	2	佛心慈佑
27	ground	0		\image\effect\fightskill\emei\em_70_ls_b.spr	\image\icon\fightskill\state\liushui.spr	1	1	2	流水诀
28	ground	0		\image\effect\fightskill\emei\em_10_md_b.spr	\image\icon\fightskill\state\mengdie.spr	1	1	2	梦蝶
29	ground	0		\image\effect\fightskill\emei\em_50_qyfc_b.spr	\image\icon\fightskill\state\qingyinfanchang.spr	1	1	2	清音梵唱
30	ground	0		\image\effect\fightskill\emei\em_90_pdzs_b.spr	\image\icon\fightskill\state\cihangpudu.spr	1	1	2	千佛千叶
31	body	1		\image\effect\fightskill\cuiyan\cy_30_xy_b.spr	\image\icon\fightskill\state\xueying.spr	1	1	2	雪影
32	body	1		\image\effect\fightskill\cuiyan\cy_70_xyhc_b.spr	\image\icon\fightskill\state\xueyinghongchen.spr	1	1	2	雪映红尘
33		1	Hide		\image\icon\fightskill\state\yuxueyin.spr	1	1	1	隐身
34	body	1		\image\effect\fightskill\gaibang\gb_50_hbls_b.spr	\image\icon\fightskill\state\huabuliushou.spr	1	1	2	滑不溜手
35	head	1		\image\effect\fightskill\tianren\tr_50_bsqf_b.spr	\image\icon\fightskill\state\beisuqingfeng.spr	1	0	2	悲酥清风
36	head	1		\image\effect\fightskill\tianren\tr_10_lmdp_b.spr	\image\icon\fightskill\state\limoduopo.spr	1	0	2	厉魔夺魂
37	head	1		\image\effect\fightskill\wudang\wd_30_zwww_b.spr	\image\icon\fightskill\state\zuowangwuwo.spr	1	1	2	坐忘无我
38	body	1		\image\effect\fightskill\wudang\wd_70_zwqj_b.spr	\image\icon\fightskill\state\zhenwuqijie.spr	1	1	2	真武七截
39	ground	0		\image\effect\fightskill\wudang\wd_70_qxj_b.spr	\image\icon\fightskill\state\qixingjue.spr	1	1	2	七星诀
40	head	1		\image\effect\fightskill\kunlun\kl_30_qff_b.spr	\image\icon\fightskill\state\qingfengfu.spr	1	1	2	清风符
41	ground	0		\image\effect\fightskill\kunlun\kl_70_yqsq_b.spr	\image\icon\fightskill\state\yiqisanqing.spr	1	1	2	一气三清
42	body	1		\image\effect\fightskill\kunlun\kl_70_dgxf_b.spr	\image\icon\fightskill\state\daoguxianfeng.spr	1	1	2	道骨仙风
43	ground	0		\image\effect\fightskill\mingjiao\mj_70_jgtm_b.spr	\image\icon\fightskill\state\jingetiema.spr	1	1	2	金戈铁马
44	ground	1		\image\effect\fightskill\mingjiao\mj_30_mqpz_b.spr	\image\icon\fightskill\state\miqipiaozong.spr	1	1	2	弥气飘踪
45	head	1		\image\effect\fightskill\mingjiao\mj_70_qkdny_b.spr	\image\icon\fightskill\state\qiankundanuoyi.spr	1	0	3	乾坤大挪移
46	head	1		\image\effect\fightskill\daliduanshi\ds_70_syj_b.spr	\image\icon\fightskill\state\shiyuanjue.spr	1	0	3	弑元诀
47	ground	0		\image\effect\fightskill\daliduanshi\ds_30_bmsg_b.spr	\image\icon\fightskill\state\beimingshengong.spr	1	1	2	北冥神功
48		1			\image\icon\fightskill\state\yuxueyin.spr	1	1		御雪隐
49		1			\image\icon\fightskill\state\protect.spr	1	1		战斗保护状态中，不能切换战斗模式，不会被其他玩家攻击，没有重伤惩罚。
50	head	1		\image\effect\fightskill\mingjiao\mj_50_pysf_b.spr	\image\icon\fightskill\state\piaoyishenfa.spr	1	1	2	飘翼身法
51	ground	0		\image\effect\fightskill\daliduanshi\ds_50_lbwb_b.spr	\image\icon\fightskill\state\lingboweibu.spr	1	1	3	凌波微步
52	body	1		\image\effect\fightskill\daliduanshi\ds_50_tnbf_b.spr	\image\icon\fightskill\state\tiannanbufa.spr	1	1	2	天南步法
53		0			\image\icon\fightskill\state\yumashu.spr	1	1		驭马术
54		1			\image\icon\fightskill\state\huabuliushou.spr	1	1		疾影
55		1			\image\icon\fightskill\state\armor.spr	1	1		战意
56	head	1		\image\effect\other\tanhaoIII.spr		1	0	1	重复任务头顶叹号
57	head	1		\image\effect\other\wenhaoIII.spr		1	0	1	重复任务头顶问号
58	minimap	1		\image\effect\other\tanhao_mapIII.spr		1	0		重复任务小地图叹号
59	minimap	1		\image\effect\other\wenhao_mapIII.spr		1	0		重复任务小地图问号
60	head	1		\image\effect\fightskill\tangmen\tm_30_cds_b1.spr	\image\icon\fightskill\state\weak.spr	1	0	3	吸星阵
61		1			\image\icon\fightskill\state\jingetiema.spr	1	1		战场道具加成
62	head	1		\image\effect\other\state_jigaoyichou.spr		1	0	1	切磋胜利
63	head	1		\image\effect\other\state_ganbaixiafeng.spr		1	0	1	切磋失败
64	head	1		\image\effect\other\state_talking.spr		1	0	1	任务系统_标示对话中
65		1			\image\icon\fightskill\state\xiulianzhuangtai.spr	1	1		打怪经验提高到4倍
66		1			\image\icon\fightskill\state\xingyuntisheng.spr	1	1		幸运值提高
67	head	1		\image\effect\other\tanhaoII.spr		1	0	1	支线头顶叹号
68	head	1		\image\effect\other\wenhaoII.spr		1	0	1	支线头顶问号
69	minimap	1		\image\effect\other\tanhao_mapII.spr		1	0		支线小地图叹号
70	minimap	1		\image\effect\other\wenhao_mapII.spr		1	0		支线小地图问号
71		1			\image\icon\fightskill\state\lock.spr	0	0		开锁间隔
72	ground	0		\image\effect\fightskill\npc\npc_aura_l.spr		1	1	1	精英型NPC光环
73	ground	0		\image\effect\fightskill\npc\npc_aura_m.spr		1	1	1	首领型NPC光环
74	ground	0		\image\effect\fightskill\npc\npc_aura_h.spr		1	1	1	BOSS型NPC光环
75	ground	0		\image\effect\other\selected.spr		1	0	1	选定目标
76		1			\image\icon\fightskill\state\xiuwei.spr	1	1		开启修炼修为
77	ground	0		\image\effect\other\needfire_b.spr		1	1	1	篝火
78		1			\image\icon\fightskill\state\zhen.spr	1	1		阵法
79		1			\image\icon\fightskill\state\drinking.spr	1	1		饮酒经验加成
80		1			\image\icon\fightskill\state\armor.spr	1	1		护甲片
81		1			\image\icon\fightskill\state\series.spr	1	1		五行石
82		1			\image\icon\fightskill\state\burnish.spr	1	1		磨刀石
83	head	1		\image\effect\other\state_gettask.spr		0	1	1	任务系统_接到任务
84	head	1		\image\effect\other\state_finishtask.spr		0	1	1	任务系统_完成任务
85	head	1		\image\effect\other\state_taskstep.spr		0	1	1	任务系统_步骤完成
86	ground	2		\image\effect\other\state_levelup.spr		0	1	1	升级
87	ground	2		\image\effect\other\state_revive.spr		0	1	1	重生
88	ground	2		\image\effect\other\state_reputeup.spr		0	1	1	声望升级
89	head	1		\image\effect\other\teamopen.spr		1	1	1	队伍开放状态
90	head	1		\image\effect\other\state_trading.spr		1	1	1	交易进行状态
91	head	1		\image\effect\other\sleep.spr		1	1	1	睡眠状态
92	head	1		\image\effect\other\state_trading.spr		1	1	1	摆摊交易状态
93	ground	2		\image\effect\other\state_rage.spr		0	0	1	狂怒状态
94	head	1		\image\effect\other\state_autofight.spr		1	0	1	自动战斗状态
95	head	1		\image\effect\fightskill\wudu\wu_10_jtkl_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	九天狂雷
96	head	1		\image\effect\fightskill\wudu\wu_10_hxjm_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	化血截脉
97	head	1		\image\effect\fightskill\wudu\wu_30_bphg_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	冰魄寒光
98	head	1		\image\effect\fightskill\wudu\wu_50_wgzq_b.spr	\image\icon\fightskill\state\wenguzhiqi.spr	1	0	3	瘟蛊之气
99	head	1		\image\effect\fightskill\wudu\wu_70_cyst_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	赤焰蚀天
100	head	1		\image\effect\fightskill\wudu\wu_90_djfg_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	断筋腐骨
101	head	1		\image\effect\fightskill\wudu\wu_90_cypj_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	穿衣破甲
102	ground	0		\image\effect\fightskill\emei\em_90_pdzs_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	普渡众生
103	head	1		\image\effect\fightskill\tianren\tr_30_sfz_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	束缚咒
104	head	1		\image\effect\fightskill\tianren\tr_50_hyfh_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	幻影飞狐
105	head	1		\image\effect\fightskill\tianren\tr_10_fhwj_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	飞鸿无迹
106	head	1		\image\effect\fightskill\tianren\tr_70_nzxj_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	逆转心经
107		1			\image\icon\fightskill\state\miqipiaozong.spr	1	1		临时保护状态下，不能与NPC及其他玩家战斗
108	body	1		\image\effect\fightskill\kunlun\kl_10_bdbq_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	百毒不侵
109		1			\image\icon\fightskill\state\partner\state_xksy_huan.spr	1	1	2	虚空闪影·幻
110	body	1		\image\effect\fightskill\kunlun\kl_50_qhax_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	欺寒傲雪
111	body	1		\image\effect\fightskill\kunlun\kl_50_hswy_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	化髓无意
112	body	1			\image\icon\fightskill\state\tongweixianhua_child.spr	1	1	2	浩然正气
113	body	1		\image\effect\fightskill\kunlun\kl_90_ltj_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	雷霆诀
114	body	1		\image\effect\fightskill\kunlun\kl_90_jgbp_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	金刚不破
115	head	1		\image\effect\other\wenhaoIV.spr		1	0	1	未完成任务头顶问号
116	minimap	1		\image\effect\other\wenhao_mapIV.spr		1	0	1	未完成任务小地图问号
117	ground	0		\image\effect\fightskill\daliduanshi\ds_70_krcg_b.spr	\image\icon\fightskill\state\kurongchangong.spr	1	1	3	枯荣禅功
118	head	1		\image\effect\fightskill\wudu\wu_70_wgsx_b.spr	\image\icon\fightskill\state\wangushixin.spr	1	0	2	所有抗性降低
119	head	1		\image\effect\fightskill\tianren\tr_10_lmdp_b.spr	\image\icon\fightskill\state\limoduopo.spr	1	0	2	攻击力降低
120	head	1		\image\effect\fightskill\tianwang\tw_70_twzy_b.spr	\image\icon\fightskill\state\tianwangzhanyi.spr	1	1	2	攻击力提高
121	head	1		\image\effect\fightskill\tianren\tr_70_nzxj_b.spr	\image\icon\fightskill\state\weak.spr	1	0	2	偷天换日
122	head	1		\image\effect\fightskill\tianren\tr_90_hflh_b.spr	\image\icon\fightskill\state\weak.spr	1	0	2	生命回复效率降低
123	head	1		\image\effect\fightskill\wudu\wu_10_hxjm_b.spr	\image\icon\fightskill\state\weak.spr	1	0	2	生命最大值降低
124	head	1		\image\effect\fightskill\wudu\wu_10_jtkl_b.spr	\image\icon\fightskill\state\weak.spr	1	0	2	内力最大值降低
125	head	1		\image\effect\fightskill\tianren\tr_30_sfz_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	雷攻抗性降低
126	head	1		\image\effect\fightskill\tianren\tr_50_hyfh_b.spr	\image\icon\fightskill\state\shiyuanjue.spr	1	0	2	命中降低
127	ground	1		\image\effect\fightskill\public\rage_earth_c2.spr	\image\icon\fightskill\state\qingfengfu.spr	1	0	2	持续雷击
128		1			\image\icon\fightskill\state\drinking.spr	1	1		长效食物效果
129	head	1		\image\effect\fightskill\public\state_confuse.spr	\image\icon\fightskill\state\confuse.spr	1	0	1	沉默，无法出招
130	body	1		\image\effect\fightskill\tianwang\tw_60_jlpt_b.spr	\image\icon\fightskill\state\jingleipotian.spr	1	1	3	惊雷破天
131		1			\image\icon\fightskill\state\tianwangbensheng.spr	1	1		惊雷破天
132	head	1		\image\effect\fightskill\tianwang\tw_60_twbs_b.spr	\image\icon\fightskill\state\tianwangbensheng.spr	1	1	3	天王本生
133	head	1		\image\effect\fightskill\wudu\wu_30_bmxg_b.spr	\image\icon\fightskill\state\duanjinren.spr	1	0	3	断筋刃
134	head	1			\image\icon\fightskill\state\cihangpudu.spr	1	1		不灭不绝
135	ground	0		\image\effect\fightskill\gaibang\gb_60_scll_b.spr	\image\icon\fightskill\state\shichengliulong.spr	1	1	3	时乘六龙
136	ground	0		\image\effect\fightskill\npc\npc_aura_h.spr	\image\icon\fightskill\state\burn.spr	1	1	2	火莲焚华
137	body	1		\image\effect\fightskill\wudang\wd_50_cywj_b.spr	\image\icon\fightskill\state\chunyangwuji.spr	1	1	1	内力护盾
138	head	1		\image\effect\fightskill\kunlun\kl_60_kss_b.spr	\image\icon\fightskill\state\kaishenshu.spr	1	1	2	开神术
139	head	1			\image\icon\fightskill\state\cihangpudu.spr	1	1		偷天换日_自身
140	head	1		\image\effect\fightskill\wudang\wd_30_zwww_b.spr	\image\icon\fightskill\state\zuowangwuwo.spr	1	1	2	无我心法
141	head	1			\image\icon\fightskill\state\juyuanshu.spr	1	1		聚元术
142		1			\image\icon\fightskill\state\xuanbingwuxi.spr	1	1		玄冰无息
143	ground	0		\image\effect\fightskill\emei\em_90_fgpz_d.spr	\image\icon\fightskill\state\boluoxinjing.spr	1	1	3	波罗心经
144	head	1		\image\effect\fightskill\shaolin\sl_50_xlfh_b2.spr	\image\icon\fightskill\state\huabuliushou.spr	1	1	3	降龙伏虎
145	head	1		\image\effect\other\dushuzhong.spr		1	0	1	任务系统_读书中
146		1			\image\icon\fightskill\state\xiulianzhuangtai.spr	1	1		打怪经验提高
147	head	1		\image\effect\other\state_autonavigate.spr		1	0		自动寻路状态
148		0			\image\icon\fightskill\state\kurongchangong.spr	1	1		使用魂石强化五行印时，效果提高20%<enter>强化装备时需要的银两（绑定银两）减半<enter>每天增加0.5小时修炼时间<enter>使用义军令牌，白虎堂令牌，家族令牌，宋金令牌，门派竞技令牌获得的声望增加50%
149	head	1		\image\effect\other\bird.spr		1	0	1	任务系统_飞鸟中
150		1			\image\icon\fightskill\state\juyuanshu.spr	1	1		磐石符
151	body	1		\image\effect\fightskill\shaolin\sl_10_fmdf_a.spr		0	1		伏魔刀法
152	ground	1		\image\effect\fightskill\shaolin\sl_50_pjdf_a.spr		0	1		破戒刀法
153	ground	2		\image\effect\fightskill\shaolin\sl_70_ptxf_a.spr		0	1		菩提心法
154	ground	1		\image\effect\fightskill\shaolin\sl_90_wxz_a.spr		0	1		天竺绝刀
155	body	1		\image\effect\fightskill\shaolin\sl_10_pdgf_a.spr		0	1		普渡棍法
156	body	1		\image\effect\fightskill\shaolin\sl_50_fmgf_a.spr		0	1		伏魔棍法
157	ground	2		\image\effect\fightskill\shaolin\sl_50_szh_a.spr		0	1		狮子吼
158	body	1		\image\effect\fightskill\shaolin\sl_90_hslh_a.spr		0	1		七星罗刹棍
159	ground	1		\image\effect\fightskill\tianwang\tw_30_dhc_a.spr		0	1		断魂刺
160	ground	2		\image\effect\fightskill\tianwang\tw_70_twzy_a.spr		0	1		天王战意
161	ground	2		\image\effect\fightskill\tianwang\tw_70_jzz_a.spr		0	1		金钟罩
162	body	1		\image\effect\fightskill\tangmen\tm_10_zxj_a.spr		0	1		追心箭
163	ground	1		\image\effect\fightskill\tangmen\tm_50_tldw_a.spr		0	1		天罗地网
164	body	2		\image\effect\fightskill\tangmen\tm_30_myz_a.spr		0	1		迷影纵
165	ground	1		\image\effect\fightskill\tangmen\tm_90_bylh_a.spr		0	1		暴雨梨花
166	ground	1		\image\effect\fightskill\cuiyan\cy_10_fjcx_a.spr	\image\icon\fightskill\state\qingyinfanchang.spr	0	1		护身真气
167	body	1		\image\effect\fightskill\cuiyan\cy_50_mylx_a.spr	\image\icon\fightskill\state\lianshenhuanxu.spr	1	1		真气护体
168	ground	1		\image\effect\fightskill\tangmen\tm_50_xlfd_a.spr		0	1		小李飞刀
169		1			\image\icon\fightskill\state\autocd2.spr	0	0		真气护体已触发，当前不能再次触发
170		1			\image\icon\fightskill\state\tabingjue.spr	0	1		龙魂套装
171	ground	1		\image\effect\fightskill\wudu\wu_10_xdds_a.spr		0	1		血刀毒杀
172	body	1		\image\effect\fightskill\wudu\wu_50_bdcx_a.spr		0	1		百毒穿心
173	body	2		\image\effect\fightskill\wudu\wu_70_wgsx_a.spr		0	1		万蛊蚀心
174	ground	1		\image\effect\fightskill\wudu\wu_90_xyz_a.spr		0	1		玄阴斩
175	ground	1		\image\effect\fightskill\wudu\wu_10_dsz_a.spr		0	1		毒砂掌
176	ground	2		\image\effect\fightskill\wudu\wu_30_bmxg_a.spr		0	1		悲魔血光
177	ground	1		\image\effect\fightskill\wudu\wu_50_tgds_a.spr		0	1		天罡地煞
178	ground	2		\image\effect\fightskill\wudu\wu_50_cxdc_a.spr		0	1		穿心毒刺
179	ground	1		\image\effect\fightskill\wudu\wu_90_yfsg_a.spr		0	1		阴风蚀骨
180	body	1		\image\effect\fightskill\emei\em_10_pxcy_a.spr		0	1		飘雪穿云
181	ground	2		\image\effect\fightskill\emei\em_10_md_a.spr		0	1		慈航普渡
182	ground	1		\image\effect\fightskill\emei\em_50_sxtg_a.spr		0	1		四象同归
183	body	1		\image\effect\fightskill\emei\em_90_fssy_a.spr		0	1		风霜碎影
184	ground	1		\image\effect\fightskill\emei\em_10_fyzy_a.spr		0	1		佛音战意
185	ground	2		\image\effect\fightskill\emei\em_90_fgpz_a.spr		0	1		佛光普照
186	ground	1		\image\effect\fightskill\cuiyan\cy_10_fjcx_a.spr		0	1		风卷残雪
187	ground	1		\image\effect\fightskill\cuiyan\cy_50_bhcs_a.spr		0	1		碧海潮生
188	ground	2		\image\effect\fightskill\cuiyan\cy_30_xy_a.spr		0	1		雪影
189	ground	1		\image\effect\fightskill\cuiyan\cy_90_bxxz_a.spr		0	1		冰心仙子
190	ground	1		\image\effect\fightskill\cuiyan\cy_10_fhxy_a.spr		0	1		风花雪月
191	body	2		\image\effect\fightskill\cuiyan\cy_70_yxy_a.spr		0	1		御雪隐
192	ground	1		\image\effect\fightskill\cuiyan\cy_50_mylx_a.spr		0	1		牧野流星
193	body	1		\image\effect\fightskill\cuiyan\cy_90_bzwy_a.spr		0	1		冰踪无影
194	ground	1		\image\effect\fightskill\gaibang\gb_10_jrss_a.spr		0	1		见人伸手
195	ground	1		\image\effect\fightskill\gaibang\gb_50_klyh_a.spr		0	1		亢龙有悔
196	body	2		\image\effect\fightskill\gaibang\gb_50_hbls_a.spr		0	1		滑不溜手
197	body	1		\image\effect\fightskill\gaibang\gb_90_flzt_a.spr		0	1		飞龙在天
198	body	1		\image\effect\fightskill\gaibang\gb_10_ymtb_a.spr		0	1		沿门托钵
199	ground	1		\image\effect\fightskill\gaibang\gb_50_bdeg_a.spr		0	1		棒打恶狗
200	ground	1		\image\effect\fightskill\gaibang\gb_90_txwg_a.spr		0	1		天下无狗
201	ground	1		\image\effect\fightskill\tianren\tr_10_cyrx_a.spr		0	1		残阳如血
202	ground	1		\image\effect\fightskill\tianren\tr_50_lhqt_a.spr		0	1		烈火情天
203	ground	2		\image\effect\fightskill\tianren\tr_50_bsqf_a.spr		0	1		悲酥清风
204	ground	2	Purple		\image\icon\fightskill\state\partner\shanchutongban.spr	0	0	3	迷花乱蝶
205	ground	1		\image\effect\fightskill\tianren\tr_90_ylj_a.spr		0	1		云龙击
206	ground	1		\image\effect\fightskill\tianren\tr_10_tzly_a.spr		0	1		弹指烈焰
207	ground	1		\image\effect\fightskill\tianren\tr_50_tsth_a.spr		0	1		推山填海
208	ground	2		\image\effect\fightskill\tianren\tr_10_lmdp_a.spr		0	1		厉魔夺魂
209	ground	2		\image\effect\fightskill\public\state_palsy.spr	\image\icon\fightskill\state\palsy.spr	1	0	3	醉眼看花
210	ground	1		\image\effect\fightskill\tianren\tr_90_twlx_a.spr		0	1		天外流星
211	ground	1		\image\effect\fightskill\wudang\wd_10_bjef_a.spr		0	1		剥及而复
212	ground	2		\image\effect\fightskill\wudang\wd_30_zwww_a.spr		0	1		坐忘无我
213	ground	1		\image\effect\fightskill\wudang\wd_50_wwwj_a.spr		0	1		无我无剑
214	ground	1		\image\effect\fightskill\wudang\wd_90_tdwj_a.spr		0	1		天地无极
215	ground	1		\image\effect\fightskill\wudang\wd_10_jfjt_a.spr		0	1		剑飞惊天
216	ground	1		\image\effect\fightskill\wudang\wd_50_shty_a.spr		0	1		三环套月
217	body	1		\image\effect\fightskill\wudang\wd_90_rjhy_a.spr		0	1		人剑合一
218	ground	1		\image\effect\fightskill\kunlun\kl_10_hff_a.spr		0	1		呼风法
219	body	2		\image\effect\fightskill\kunlun\kl_30_qff_a.spr		0	1		清风符
220	ground	1		\image\effect\fightskill\kunlun\kl_50_kfzd_a.spr		0	1		狂风骤电
221	body	2		\image\effect\fightskill\kunlun\kl_70_yqsq_a.spr		0	1		一气三清
222	body	1		\image\effect\fightskill\kunlun\kl_90_axxf_a.spr		0	1		傲雪啸风
223	ground	1		\image\effect\fightskill\kunlun\kl_10_klzd_a.spr		0	1		狂雷震地
224	ground	1		\image\effect\fightskill\kunlun\kl_50_tjxl_a.spr		0	1		天际迅雷
225	ground	2		\image\effect\fightskill\kunlun\kl_70_dgxf_a.spr		0	1		道骨仙风
226	body	1		\image\effect\fightskill\kunlun\kl_10_klzd_a.spr		0	1		雷动九天
227	ground	1		\image\effect\fightskill\tianwang\tw_10_hfly_a.spr		0	1		回风落雁
228	ground	1		\image\effect\fightskill\tianwang\tw_50_ygsd_a.spr		0	1		阳关三叠
229	ground	1		\image\effect\fightskill\tianwang\tw_90_zxzy_a.spr		0	1		追星逐月
230	ground	1		\image\effect\fightskill\tianwang\tw_10_xyj_a.spr		0	1		行云诀
231	ground	1		\image\effect\fightskill\tianwang\tw_50_zfj_a.spr		0	1		追风诀
232	ground	1		\image\effect\fightskill\tianwang\tw_90_clj_a.spr		0	1		乘龙诀
233		1			\image\icon\fightskill\state\autocd2.spr	1	0		行龙不雨触发调息中，此时不会再次触发
234	ground	2		\image\effect\fightskill\shaolin\sl_70_wxjz_a.spr		0	1		无相劫指
235	body	1		\image\effect\fightskill\shaolin\sl_90_dmdj_a.spr		0	1		达摩渡江
236	body	1		\image\effect\fightskill\tangmen\tm_10_cyr_a.spr		0	1		穿云刃
237	body	2		\image\effect\fightskill\tangmen\tm_70_mqpz_a.spr		0	1		弥气飘踪
238	head	1		\image\effect\fightskill\tangmen\tm_90_shyy_a.spr		0	1		慑魂月影
239	ground	1		\image\effect\fightskill\tangmen\tm_10_dhb_a.spr		0	1		夺魂镖
240	ground	1		\image\effect\fightskill\tangmen\tm_90_jgfx_a.spr		0	1		九宫飞星
241	ground	2		\image\effect\fightskill\wudu\wu_10_jtkl_a.spr		0	1		九天狂雷
242	body	2		\image\effect\fightskill\wudu\wu_10_hxjm_a.spr		0	1		化血截脉
243	body	2		\image\effect\fightskill\wudu\wu_30_bphg_a.spr		0	1		冰魄寒光
244	ground	2		\image\effect\fightskill\wudu\wu_50_wgzq_a.spr		0	1		瘟蛊之气
245	body	2		\image\effect\fightskill\wudu\wu_70_cyst_a.spr		0	1		赤焰蚀天
246	body	2		\image\effect\fightskill\wudu\wu_90_djfg_a.spr		0	1		断筋腐骨
247	body	2		\image\effect\fightskill\wudu\wu_90_cypj_a.spr		0	1		穿衣破甲
248	ground	1		\image\effect\fightskill\emei\em_10_yyzq_a.spr		0	1		一叶知秋
249	ground	1		\image\effect\fightskill\emei\em_90_seqx_a.spr		0	1		三峨霁雪
250	ground	2		\image\effect\fightskill\tianren\tr_30_sfz_a.spr		0	1		束缚咒
251	ground	2		\image\effect\fightskill\tianren\tr_50_hyfh_a.spr		0	1		幻影飞狐
252	ground	2		\image\effect\fightskill\tianren\tr_10_fhwj_a.spr		0	1		飞鸿无迹
253	ground	2		\image\effect\fightskill\tianren\tr_70_nzxj_a.spr		0	1		逆转心经
254	head	2		\image\effect\fightskill\tianren\tr_90_hflh_b.spr	\image\icon\fightskill\state\ruyisuogugong.spr	1	1	3	棒打狗头
255	body	2		\image\effect\fightskill\kunlun\kl_10_bdbq_a.spr		0	1		百毒不侵
256	body	2		\image\effect\fightskill\kunlun\kl_10_xksy_a.spr		0	1		虚空闪影
257	body	2		\image\effect\fightskill\kunlun\kl_50_qhax_a.spr		0	1		欺寒傲雪
258	body	2		\image\effect\fightskill\kunlun\kl_50_hswy_a.spr		0	1		化髓无意
259	body	2		\image\effect\fightskill\kunlun\kl_70_zhkl_a.spr		0	1		真火抗力
260	body	2		\image\effect\fightskill\kunlun\kl_90_ltj_a.spr		0	1		雷霆诀
