QID	Use	Kind	Question	Answer	Select1	Setect2
85	0	金币	怎么获得金币？	可以用点卡兑换或者从“交易所”用游戏币购买金币	通过生活技能制造金币	通过做师门任务获得金币
86	0		怎样可以获得秘籍修为？	使用修炼珠打怪修炼可以获得秘籍修为	做任务可以获得秘籍修为	在线时间增加可以获得秘籍修为
87	0		在什么状态下可以点燃篝火?	组队状态	屠杀状态	摆摊状态
88	0	金币	金币交易的手续费由谁支付?	卖方	买方	系统
89	0	金币	金币交易的手续费是多少?	交易总额的1%	100剑侠币	交易总额的10%
90	0	金币	每人在金币交易所最多同时创建多少交易单?	1个	2个	3个
91	0		每人每周可以交易获得的免税剑侠币是多少?	80万两	100万两	1000万两
92	0	密友	在哪个NPC处可以用成为指定密友?	叶芷琳	白秋琳	龙五太爷
93	0	密友	在哪个NPC处可以用领取密友消费回馈的绑定金币?	叶芷琳	白秋琳	龙五太爷
94	0	密友	哪个不是成为指定密友的条件？	双方必须在同一家族	必须双方等级都大于60	亲密度达到6级
95	0	密友	成为指定密友有什么好处？	在奇珍阁的每次消费，对方都能获得5%的绑定金币分成	一起活动获得更多的奖励	打怪获得幸运加成
96	0	密友	在哪个NPC处可以确定介绍人关系?	叶芷琳	白秋琳	龙五太爷
97	0	密友	成为介绍人有什么好处？	被介绍人在奇珍阁的每次消费，介绍人都能获得5%的绑定金币回馈	可以获得更高的江湖威望	可以获得特殊称号
98	0	密友	如何成为朋友的介绍人？	在朋友11级以前时一起组队到叶芷琳处确认你们的介绍关系即可。	亲密度达到6级可以成为介绍人	注册账号时才可以确定介绍人
99	0		怎样给门派大师兄（大师姐）投票？	打开修炼珠进行投票	去掌门处登记投票	在叶芷琳处进行投票
100	0		多少级的玩家可以领取帮会工资？	90级	50级	70级
101	0		怎样可以获得金币？	在“金币交易所”用银两购买	打怪获得金币	任务奖励获得金币
102	0		怎样可以获得金币？	充值获得金币	打怪获得金币	任务奖励获得金币
103	0		按哪个键可以快速打开帮助锦囊？	F12	F1	F8
104	0		多余的任务道具在哪个NPC处销毁？	白秋琳	龙五太爷	叶芷琳
105	0		绑定金币有什么用途？	可以在奇珍阁“绑定金币区”购买道具	可以在金币交易所交易	可以购买生活技能材料
106	0		找谁可以兑换“五行魂石”？	钱庄老板	杂货店老板	商会老板
107	0		找谁可以升级“五行印”？	冶炼大师	武器店老板	包万同
