Rate	No	BrightBadge	GrayBadge	QueueBadge	OtherBadge
2	21	\image\ui\002a\brightbadge\EM21_2.spr	\image\ui\002a\graybadge\EM21_2.spr	\image\ui\002a\queuebadge\EM21_2.spr	\image\ui\002a\otherbadge\EM21_2.spr
2	22	\image\ui\002a\brightbadge\EM22_2.spr	\image\ui\002a\graybadge\EM22_2.spr	\image\ui\002a\queuebadge\EM22_2.spr	\image\ui\002a\otherbadge\EM22_2.spr
2	23	\image\ui\002a\brightbadge\EM23_2.spr	\image\ui\002a\graybadge\EM23_2.spr	\image\ui\002a\queuebadge\EM23_2.spr	\image\ui\002a\otherbadge\EM23_2.spr
2	24	\image\ui\002a\brightbadge\EM24_2.spr	\image\ui\002a\graybadge\EM24_2.spr	\image\ui\002a\queuebadge\EM24_2.spr	\image\ui\002a\otherbadge\EM24_2.spr
2	25	\image\ui\002a\brightbadge\EM25_2.spr	\image\ui\002a\graybadge\EM25_2.spr	\image\ui\002a\queuebadge\EM25_2.spr	\image\ui\002a\otherbadge\EM25_2.spr
2	26	\image\ui\002a\brightbadge\EM26_2.spr	\image\ui\002a\graybadge\EM26_2.spr	\image\ui\002a\queuebadge\EM26_2.spr	\image\ui\002a\otherbadge\EM26_2.spr
2	27	\image\ui\002a\brightbadge\EM27_2.spr	\image\ui\002a\graybadge\EM27_2.spr	\image\ui\002a\queuebadge\EM27_2.spr	\image\ui\002a\otherbadge\EM27_2.spr
2	28	\image\ui\002a\brightbadge\EM28_2.spr	\image\ui\002a\graybadge\EM28_2.spr	\image\ui\002a\queuebadge\EM28_2.spr	\image\ui\002a\otherbadge\EM28_2.spr
2	29	\image\ui\002a\brightbadge\EM29_2.spr	\image\ui\002a\graybadge\EM29_2.spr	\image\ui\002a\queuebadge\EM29_2.spr	\image\ui\002a\otherbadge\EM29_2.spr
2	30	\image\ui\002a\brightbadge\EM30_2.spr	\image\ui\002a\graybadge\EM30_2.spr	\image\ui\002a\queuebadge\EM30_2.spr	\image\ui\002a\otherbadge\EM30_2.spr
3	1	\image\ui\002a\brightbadge\EM01_3.spr	\image\ui\002a\graybadge\EM01_3.spr	\image\ui\002a\queuebadge\EM01_3.spr	\image\ui\002a\otherbadge\EM01_3.spr
3	2	\image\ui\002a\brightbadge\EM02_3.spr	\image\ui\002a\graybadge\EM02_3.spr	\image\ui\002a\queuebadge\EM02_3.spr	\image\ui\002a\otherbadge\EM02_3.spr
3	3	\image\ui\002a\brightbadge\EM03_3.spr	\image\ui\002a\graybadge\EM03_3.spr	\image\ui\002a\queuebadge\EM03_3.spr	\image\ui\002a\otherbadge\EM03_3.spr
3	4	\image\ui\002a\brightbadge\EM04_3.spr	\image\ui\002a\graybadge\EM04_3.spr	\image\ui\002a\queuebadge\EM04_3.spr	\image\ui\002a\otherbadge\EM04_3.spr
3	5	\image\ui\002a\brightbadge\EM05_3.spr	\image\ui\002a\graybadge\EM05_3.spr	\image\ui\002a\queuebadge\EM05_3.spr	\image\ui\002a\otherbadge\EM05_3.spr
3	6	\image\ui\002a\brightbadge\EM06_3.spr	\image\ui\002a\graybadge\EM06_3.spr	\image\ui\002a\queuebadge\EM06_3.spr	\image\ui\002a\otherbadge\EM06_3.spr
3	7	\image\ui\002a\brightbadge\EM07_3.spr	\image\ui\002a\graybadge\EM07_3.spr	\image\ui\002a\queuebadge\EM07_3.spr	\image\ui\002a\otherbadge\EM07_3.spr
3	8	\image\ui\002a\brightbadge\EM08_3.spr	\image\ui\002a\graybadge\EM08_3.spr	\image\ui\002a\queuebadge\EM08_3.spr	\image\ui\002a\otherbadge\EM08_3.spr
3	9	\image\ui\002a\brightbadge\EM09_3.spr	\image\ui\002a\graybadge\EM09_3.spr	\image\ui\002a\queuebadge\EM09_3.spr	\image\ui\002a\otherbadge\EM09_3.spr
3	10	\image\ui\002a\brightbadge\EM10_3.spr	\image\ui\002a\graybadge\EM10_3.spr	\image\ui\002a\queuebadge\EM10_3.spr	\image\ui\002a\otherbadge\EM10_3.spr
3	11	\image\ui\002a\brightbadge\EM11_3.spr	\image\ui\002a\graybadge\EM11_3.spr	\image\ui\002a\queuebadge\EM11_3.spr	\image\ui\002a\otherbadge\EM11_3.spr
3	12	\image\ui\002a\brightbadge\EM12_3.spr	\image\ui\002a\graybadge\EM12_3.spr	\image\ui\002a\queuebadge\EM12_3.spr	\image\ui\002a\otherbadge\EM12_3.spr
3	13	\image\ui\002a\brightbadge\EM13_3.spr	\image\ui\002a\graybadge\EM13_3.spr	\image\ui\002a\queuebadge\EM13_3.spr	\image\ui\002a\otherbadge\EM13_3.spr
3	14	\image\ui\002a\brightbadge\EM14_3.spr	\image\ui\002a\graybadge\EM14_3.spr	\image\ui\002a\queuebadge\EM14_3.spr	\image\ui\002a\otherbadge\EM14_3.spr
3	15	\image\ui\002a\brightbadge\EM15_3.spr	\image\ui\002a\graybadge\EM15_3.spr	\image\ui\002a\queuebadge\EM15_3.spr	\image\ui\002a\otherbadge\EM15_3.spr
3	16	\image\ui\002a\brightbadge\EM16_3.spr	\image\ui\002a\graybadge\EM16_3.spr	\image\ui\002a\queuebadge\EM16_3.spr	\image\ui\002a\otherbadge\EM16_3.spr
3	17	\image\ui\002a\brightbadge\EM17_3.spr	\image\ui\002a\graybadge\EM17_3.spr	\image\ui\002a\queuebadge\EM17_3.spr	\image\ui\002a\otherbadge\EM17_3.spr
3	18	\image\ui\002a\brightbadge\EM18_3.spr	\image\ui\002a\graybadge\EM18_3.spr	\image\ui\002a\queuebadge\EM18_3.spr	\image\ui\002a\otherbadge\EM18_3.spr
3	19	\image\ui\002a\brightbadge\EM19_3.spr	\image\ui\002a\graybadge\EM19_3.spr	\image\ui\002a\queuebadge\EM19_3.spr	\image\ui\002a\otherbadge\EM19_3.spr
3	20	\image\ui\002a\brightbadge\EM20_3.spr	\image\ui\002a\graybadge\EM20_3.spr	\image\ui\002a\queuebadge\EM20_3.spr	\image\ui\002a\otherbadge\EM20_3.spr
3	21	\image\ui\002a\brightbadge\EM21_3.spr	\image\ui\002a\graybadge\EM21_3.spr	\image\ui\002a\queuebadge\EM21_3.spr	\image\ui\002a\otherbadge\EM21_3.spr
3	22	\image\ui\002a\brightbadge\EM22_3.spr	\image\ui\002a\graybadge\EM22_3.spr	\image\ui\002a\queuebadge\EM22_3.spr	\image\ui\002a\otherbadge\EM22_3.spr
3	23	\image\ui\002a\brightbadge\EM23_3.spr	\image\ui\002a\graybadge\EM23_3.spr	\image\ui\002a\queuebadge\EM23_3.spr	\image\ui\002a\otherbadge\EM23_3.spr
3	24	\image\ui\002a\brightbadge\EM24_3.spr	\image\ui\002a\graybadge\EM24_3.spr	\image\ui\002a\queuebadge\EM24_3.spr	\image\ui\002a\otherbadge\EM24_3.spr
3	25	\image\ui\002a\brightbadge\EM25_3.spr	\image\ui\002a\graybadge\EM25_3.spr	\image\ui\002a\queuebadge\EM25_3.spr	\image\ui\002a\otherbadge\EM25_3.spr
3	26	\image\ui\002a\brightbadge\EM26_3.spr	\image\ui\002a\graybadge\EM26_3.spr	\image\ui\002a\queuebadge\EM26_3.spr	\image\ui\002a\otherbadge\EM26_3.spr
3	27	\image\ui\002a\brightbadge\EM27_3.spr	\image\ui\002a\graybadge\EM27_3.spr	\image\ui\002a\queuebadge\EM27_3.spr	\image\ui\002a\otherbadge\EM27_3.spr
3	28	\image\ui\002a\brightbadge\EM28_3.spr	\image\ui\002a\graybadge\EM28_3.spr	\image\ui\002a\queuebadge\EM28_3.spr	\image\ui\002a\otherbadge\EM28_3.spr
3	29	\image\ui\002a\brightbadge\EM29_3.spr	\image\ui\002a\graybadge\EM29_3.spr	\image\ui\002a\queuebadge\EM29_3.spr	\image\ui\002a\otherbadge\EM29_3.spr
3	30	\image\ui\002a\brightbadge\EM30_3.spr	\image\ui\002a\graybadge\EM30_3.spr	\image\ui\002a\queuebadge\EM30_3.spr	\image\ui\002a\otherbadge\EM30_3.spr
