MatchId	Name	IsOpen	MatchOpen	AchieveState	MinLevel	CanJoin	CountType	CurCount	MaxCount	RemainTime	AllStar1	EquipStar1	XuanJingStar1	ExperienceStar1	BindMoneyStar1	PrestigeStar1	AllStar2	EquipStar2	XuanJingStar2	ExperienceStar2	BindMoneyStar2	PrestigeStar2	AllStar3	EquipStar3	XuanJingStar3	ExperienceStar3	BindMoneyStar3	PrestigeStar3	IsPVP	TypeDesc	TimeType	TimeParam	Condition	Award1Image	Award1Desc	Award2Image	Award2Desc	Award3Image	Award3Desc	Award4Image	Award4Desc	Award5Image	Award5Desc	OpenExtendAward	ExtendAward1Image	ExtendAward1Desc	ExtendAward2Image	ExtendAward2Desc	ExtendAward3Image	ExtendAward3Desc	AttendFunc	Param1	Param2	Param3	Param4	Param5	Param6	Param7	Param8	LinkHelpType	LinkHelpName
12	日·军营副本	<% return 1;%>	<% return 1; %>	<% if Task.tbArmyCampInstancingManager:EnterInstancingThisDay(1, me.nId) == 0 then return 1; end; return 0; %>	80	<%if me.nLevel >= 90 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<% return 14 -Task.tbArmyCampInstancingManager:EnterInstancingThisDay(1, me.nId); %>	<%return 14;%>		0	0	0	0	0	0	58	0	0	37	49	49	57	0	0	49	49	58	0	副本	1	\setting\task\newcalendar\time\junying.txt	①等级达到<color=yellow>80/90/100<color>级可接取<color=yellow>对应等级<color>的军营副本任务<enter>②<color=yellow>4人以上自由组队<color>前往完成	\image\icon\task\prize_expens.spr	大量升级经验	\image\icon\task\prize_repute.spr	江湖威望	\image\icon\task\prize_money.spr	一定的银两					<%if TimeFrame:GetState("Keyimen") == 1 then return 1; end return 0;%>	\image\item\other\scriptitem\dragoncoin.spr	龙纹银币					ServerAutoPath	1	2							5	军营任务
13	月·武林联赛	<% if Ui.tbLogic.tbNewCalendar.tbWllsMatch and Ui.tbLogic.tbNewCalendar.tbWllsMatch[KGblTask.SCGetDbTaskInt(DBTASD_WIIS_SESSION)] == 1 or Ui.tbLogic.tbNewCalendar.tbWllsMatch[KGblTask.SCGetDbTaskInt(DBTASD_WIIS_SESSION)] == 2 and (KGblTask.SCGetDbTaskInt(DBTASD_WIIS_STATE) == 2 or KGblTask.SCGetDbTaskInt(DBTASD_WIIS_STATE) == 3) then return 1; end return 0;%>	<% return 1;%>	<% return 0;%>	100	<%if me.nLevel >= 100 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<%return me.GetTask(2052,10);%>	<%return 36;%>		0	0	0	0	0	0	0	0	0	0	0	0	49	56	0	0	0	56	0	竞技	1	\setting\task\newcalendar\time\wulinliansai.txt	①本服开放<color=yellow>初级<color>或<color=yellow>高级<color>武林联赛<enter>②等级达到<color=yellow>100<color>级及以上<enter>③联赛荣誉点达到<color=yellow>初级<color>或<color=yellow>高级<color>联赛<color>要求<enter>④根据<color=yellow>武林联赛赛制<color>组建<color=yellow>战队<color>前往参赛	\image\item\equip\armor\ma_armor_gold_s.spr	极品衣服[天元心法]	\image\item\other\scriptitem\gaizaotu_xiezi.spr	威武套装[衣服/护身符/戒指]														ClientAutoPath	初级武林联赛官员--临安:29,1719,3860	初级武林联赛官员--襄阳:25,1740,3071	初级武林联赛官员--凤翔:24,1911,3635	高级武林联赛官员--临安:29,1518,4073	高级武林联赛官员--襄阳:25,1549,3098	高级武林联赛官员--凤翔:24,1568,3472			5	武林联赛
15	日·跨服宋金	<%if TimeFrame:GetState("OpenLevel150") == 1 then return 1; end return 0;%>	<% return 1;%>	<% return 0;%>	100	<%if me.nLevel >= 100 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<%return "--";%>	<%return 2;%>		0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	59	58	0	1	对抗	1	\setting\task\newcalendar\time\kuafusongjin.txt	①服务器开放<color=yellow>89天<color>以后<enter>②等级达到<color=yellow>100<color>级<enter>③佩戴<color=yellow>5级御空及以上<color>等级披风<enter>④<color=yellow>宋金阵营<color>自由组队	\image\icon\task\prize_expens.spr	海量升级经验	\image\icon\task\prize_repute.spr	江湖威望	\image\icon\task\prize_money.spr	大量的银两	\image\item\gem\songjinxiaoyong.spr	宝石原矿	\image\item\equip\mantle\ma_mantle10_s.spr	尊贵披风								CallServerScript	ApplySuperBattleWindow								5	梦回采石矶
16	日·探险楼兰古城	<%if TimeFrame:GetState("Atlantis") == 1 then return 1; end return 0;%>	<% return 1;%>	<% if me.GetTask(2161,1) >= 7200 then return 1; end;return 0;%>	100	<%if me.nLevel >= 100 and me.nFaction ~= 0 then return 1; end return 0;%>	2			<%return 7200 - me.GetTask(2161,1);%>	0	0	0	0	0	0	0	0	0	0	0	0	35	54	37	0	39	0	1	对抗	1	\setting\task\newcalendar\time\loulangucheng.txt	①服务器开放<color=yellow>149天<color>以后<enter>②等级达到<color=yellow>100<color>级及以上<enter>③佩戴<color=yellow>6级混天及以上<color>等级披风<enter>④<color=yellow>单人<color>或<color=yellow>自由组队<color>前往	\image\item\other\scriptitem\xuanjing_007_s.spr	丰厚的玄晶	\image\icon\task\prize_money.spr	大量的银两	\image\item\partnerequip\ring\partner_ring_02_s.spr	同伴装备[护腕/戒指]												ClientAutoPath	燕小楼:24,1761,3488								5	探索楼兰古城
17	周·周末钓鱼	<% return 1;%>	<%local nNowWeek = tonumber(GetLocalDate("%w")); if (nNowWeek == 0 or nNowWeek == 6) then return 1; end return 0;%>	<% if me.GetTask(2174, 2) == Lib:GetLocalDay() or tonumber(GetLocalDate("%H%M%S")) < 100000 or tonumber(GetLocalDate("%H%M%S")) > 200000 then return 1; end; return 0;%>	30	<%if me.nLevel >= 30 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<% if tonumber(GetLocalDate("%W")) ~=  me.GetTask(2174,33) then return 0; end; return me.GetTask(2174,34);%>	<%return 2;%>		58	0	0	0	59	0	59	57	0	0	59	0	55	39	0	0	59	0	0	休闲	1	\setting\task\newcalendar\time\diaoyu.txt	①等级达到<color=yellow>30<color>级<enter>②<color=yellow>个人<color>或<color=yellow>自由组队<color>前往	\image\item\other\scriptitem\jintiao_xiao.spr	海量的绑金	\image\icon\task\prize_money.spr	海量的银两							<% if TimeFrame:GetServerOpenDay() > 180 then return 1; end; return 0;%>	\image\item\other\scriptitem\gaizaotu_yaozhui.spr	腰带2级炼化宝物					ClientAutoPath	秦洼--云中镇:1,1313,3121	秦洼--江津村:5,1649,3197	秦洼--永乐镇:3,1706,3093						5	周末钓鱼活动
18	周·领土争夺战	<% if TimeFrame:GetState("OpenLevel89") == 1 then return 1; end return 0;%>	<% if (tonumber(GetLocalDate("%w")) == 5 or tonumber(GetLocalDate("%w")) == 0) then return 1; end return 0;%>	<% if tonumber(GetLocalDate("%H%M%S")) < 80000 or tonumber(GetLocalDate("%H%M%S")) > 93000 then return 1; end; return 0;%>	89	<%if return 1;%>	1	<%return "--";%>	<%return "--";%>		0	0	0	0	0	0	39	58	48	0	0	36	38	57	47	0	0	38	0	对抗	1	\setting\task\newcalendar\time\lingtuzhengduo.txt	①服务器开放<color=yellow>89级上限<color>以后的第7天<enter>②<color=yellow>家族正式<color>成员且家族已<color=yellow>加入帮派<color><enter>③<color=yellow>帮派<color>或<color=yellow>家族<color>自由组队	\image\item\other\scriptitem\xuanjing_005_s.spr	丰厚的玄晶	\image\icon\task\prize_repute.spr	江湖威望	\image\item\equip\helm\ma_helm_gold_s.spr	极品帽子[通微显化]	\image\item\other\scriptitem\gaizaotu_xiezi.spr	逐鹿套装[帽子/腰带/项链]										ClientAutoPath	领土战官员--临安:29,1605,4023	领土战官员--襄阳:25,1742,3151	领土战官员--凤翔:24,1829,3659						5	领土争夺战
19	剑侠词典	<% local _, nCount = HelpQuestion:GetTitleTable(me);if nCount > 0 then return 1; else return 0; end %>	<% return 1;%>	<% local _, nCount = HelpQuestion:GetTitleTable(me);if nCount <= 0 then return 1; else return 0; end %>	1	<% return 1;%>	1	<% return 0; %>	<% local _, nCount = HelpQuestion:GetTitleTable(me);return nCount; %>		55	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	休闲	2	全天	①从<color=yellow>1级<color>开始到达对应等级<color=yellow>自动激活<color>剑侠词典	\image\item\other\scriptitem\jintiao_xiao.spr	大量的绑金																JXCiDian										
20	日·义军任务	<% return 1;%>	<% return 1;%>	<%local nNowDate = tonumber(GetLocalDate("%Y%m%d"));local nOldDate = LinkTask:GetTask(LinkTask.TSK_DATE);local nQuestTime = me.GetTask(LinkTask.TSKG_LINKTASK, LinkTask.TSK_NUM_PERDAY); if nNowDate~=nOldDate then nQuestTime = 0;end; if nQuestTime == 50 then return 1;end; return 0%>	25	<%if me.nLevel >= 10 then return 1; end return 0;%>	1	<%local nNowDate = tonumber(GetLocalDate("%Y%m%d"));local nOldDate = LinkTask:GetTask(LinkTask.TSK_DATE);local nQuestTime = me.GetTask(LinkTask.TSKG_LINKTASK, LinkTask.TSK_NUM_PERDAY); if nNowDate~=nOldDate then nQuestTime = 0;end; return nQuestTime;%>	<%return 50;%>		49	57	0	29	38	59	39	48	0	29	27	0	37	38	0	25	29	0	0	任务	2	全天	①等级达到<color=yellow>25<color>级	\image\icon\task\prize_expens.spr	一定的经验	\image\icon\task\prize_money.spr	一定的银两	\image\item\other\scriptitem\xuanjing_002a_s.spr	一定的玄晶	\image\item\equip\pendant\m_110_s.spr	稀有腰坠										ClientAutoPath	包万同--临安:29,1633,3948	包万同--襄阳:25,1670,3219	包万同--凤翔:24,1792,3531						5	义军任务
21	日·官府通缉	<% return 1;%>	<% return 1;%>	<% if me.GetTask(2040,2) == 0 then return 1; end; return 0;%>	50	<%if me.nLevel >= 50 and me.nPrestige >=20 and me.GetTask(1022,107) == 1 then return 1; end return 0;%>	1	<%return 36 - me.GetTask(2040,2);%>	<%return 36;%>		0	0	0	0	0	0	38	0	0	0	0	37	36	0	0	0	0	39	0	任务	1	\setting\task\newcalendar\time\tongji.txt	①等级达到<color=yellow>50<color>级<enter>②江湖威望达到<color=yellow>20点<color><enter>③<color=yellow>个人<color>或<color=yellow>自由组队<color>前往	\image\icon\task\prize_repute.spr	江湖威望	\image\item\other\scriptitem\wulinmiji_chuji.spr	初级技能/潜能秘籍等宝物														ClientAutoPath	刑部捕头--临安:29,1652,3808	刑部捕头--襄阳:25,1626,3076	刑部捕头--凤翔:24,1709,3508						5	官府通缉任务
22	日·祈福	<% return 1;%>	<% return 1;%>	<% if Task.tbPlayerPray:GetPrayCount(me) == 0 then return 1; end; return 0;%>	50	<%if me.nLevel >= 50 then return 1; end return 0;%>	1	<%return 0;%>	<%return Task.tbPlayerPray:GetPrayCount(me);%>		0	0	0	0	0	0	59	59	0	0	0	0	30	58	0	0	0	0	0	休闲	2	全天	①等级达到<color=yellow>50<color>级<enter>	\image\icon\task\prize_energy.spr	各种增益状态，如攻击/全抗/生命/幸运等	\image\item\equip\amulet\linrixinghuanfu_s.spr	储物箱扩展令牌和极品护身符[激活所有首饰暗属性]														OpenWindow	UI_PLAYERPRAY								5	祈福系统
23	日·挑战武林高手	<%if TimeFrame:GetState("OpenBoss55") == 1 then return 1; end return 0;%>	<% return 1;%>	<% return 0;%>	50	<%if me.nLevel >= 50 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<%return "--";%>	<%return "--";%>		0	0	0	0	0	0	28	46	0	0	0	0	35	49	0	0	0	0	1	对抗	2	全天	①根据自身<color=yellow>实力<color>和<color=yellow>等级<color>选择挑战不同等级BOSS[<color=yellow>50<color>/<color=yellow>75<color>/<color=yellow>95<color>级]<enter>②<color=yellow>个人<color>或<color=yellow>自由组队<color>前往	\image\icon\task\prize_repute.spr	江湖威望	\image\item\other\scriptitem\xuanjing_007_s.spr	一定的玄晶[可交易]	\image\item\equip\meleeweapon\n_qiang_410_s.spr	武林高手稀有武器																					5	挑战武林高手
24	周·商会任务	<% return 1;%>	<% return 1;%>	<% if me.GetTask(2036,1) == 1 then return 1; end; return 0;%>	60	<%if me.nLevel >= 60 and me.nPrestige >=50 and me.GetTask(1022,107) == 1 then return 1; end return 0;%>	1	<%return me.GetTask(2036,2);%>	<%return 40;%>		0	0	0	0	0	0	38	0	0	0	57	48	39	0	0	0	57	57	0	任务	2	全天	①等级达到<color=yellow>60<color>级<enter>②江湖威望达到<color=yellow>50点<color><enter>	\image\icon\task\prize_repute.spr	江湖威望	\image\icon\task\prize_money.spr	大量的银两	\image\item\other\scriptitem\xuanjing_004_s.spr	一定的玄晶												ClientAutoPath	商会老板--临安:29,1757,3911	商会老板--襄阳:25,1601,3057							5	商会任务
25	周·侠客任务	<%if TimeFrame:GetState("XiakeDaily") == 1 then return 1; end return 0;%>	<% return 1; %>	<% if XiakeDaily:CheckCanAttend() == 0 then return 1; end; return 0;%>	100	<%if me.nLevel >= 100 then return 1; end return 0;%>	1	<%return XiakeDaily:GetWeekTimes();%>	<%return 5;%>		0	0	0	0	0	0	0	0	0	0	0	0	59	0	59	0	38	0	0	任务	2	全天	①服务器开放<color=yellow>119天<color>以后<enter>②等级达到<color=yellow>100<color>级<enter>③按侠客任务需求<color=yellow>自由组队<color>前往完成	\image\item\other\scriptitem\xuanjing_007_s.spr	大量的玄晶	\image\item\gem\weijianding.spr	1/2级宝石														ClientAutoPath	夏侯元韬--临安:29,1643,3949								5	侠客任务
26	日·秦始皇陵寻宝	<%if TimeFrame:GetState("OpenBoss120") == 1 then return 1; end return 0;%>	<% return 1; %>	<% if me.GetTask(2098, 1) >= 7200 then return 1; end; return 0;%>	100	<%if me.nLevel >= 100 then return 1; end return 0;%>	2			<%return 7200 - me.GetTask(2098, 1)%>	0	0	0	0	0	0	0	0	0	0	0	0	47	59	58	48	0	0	0	休闲	2	全天	①服务器开放<color=yellow>139天<color>以后<enter>②等级达到<color=yellow>100<color>级及以上<enter>③<color=yellow>单人<color>或<color=yellow>自由组队<color>前往	\image\icon\task\prize_expens.spr	海量的经验	\image\item\other\scriptitem\xuanjing_005_s.spr	大量的玄晶	\image\item\other\scriptitem\xuanjing_006_s.spr	一定的玄晶[可交易]	\image\item\other\scriptitem\gaizaotu_xiezi.spr	始皇套装[护腕/腰坠/衣服]	\image\item\gem\huanglingrenyong.spr	夜明珠、宝石原矿等宝物								ClientAutoPath	梁笑笑--阿房宫废墟:132,1945,3309								5	秦皇陵
27	日·秘境修炼	<% return 1;%>	<% return 1;%>	<% if me.GetTask(2040,16) > 0 then return 0; end; return 1;%>	50	<% return 1;%>	2			<%return me.GetTask(2040,16);%>	0	0	0	0	0	0	54	0	0	58	0	0	34	0	0	34	0	0	0	休闲	2	全天	①等级达到<color=yellow>50<color>级<enter>②秘境修炼时间大于<color=yellow>2小时<color><enter>③<color=yellow>个人<color>或<color=yellow>自由组队<color>前往，秘境开启者需持有<color=yellow>秘境地图<color>	\image\icon\task\prize_expens.spr	海量的经验	\image\icon\task\prize_money.spr	一定的银两														ClientAutoPath	义军军需官--临安:29,1629,3945	义军军需官--襄阳:25,1670,3219	义军军需官--凤翔:24,1792,3531						5	秘境地图
28	周·家族关卡	<% return 1;%>	<% return 1;%>	<% return 0;%>	20	<% return 1;%>	1	<%return "--";%>	<%return 2%>		48	56	0	39	0	39	48	47	0	35	0	35	43	37	0	33	0	0	0	副本	2	全天	①家族<color=yellow>正式<color>成员<enter>②家族<color=yellow>族长<color>或<color=yellow>副族长<color>在场<enter>③初级<color=yellow>6人<color>/高级<color=yellow>8人<color>以上<color=yellow>家族队伍<color><enter>④高级关卡参加等级达到<color=yellow>80<color>级	\image\icon\task\prize_expens.spr	一定的经验	\image\item\other\scriptitem\xuanjing_007_s.spr	一定的玄晶	\image\item\equip\cuff\m_110_s.spr	稀有护腕	\image\item\gem\gem_ore.spr	金刚矿石等宝物										ClientAutoPath	马穿山--临安:29,1745,3946	马穿山--襄阳:25,1516,3080	马穿山--凤翔:24,1784,3597						5	家族关卡
29	周·无尽的征程	<% return 1;%>	<% return 1;%>	<% if me.GetTask(1022, 187) == 0 then return 1; end return 0;%>	80	<% return 1;%>	1	<% if me.GetTask(1022, 187) == 0 then return 1; end return 0;%>	<%return 1;%>		0	0	0	0	0	0	58	0	0	0	58	0	56	0	0	0	56	0	0	任务	2	全天	①等级达到<color=yellow>80/90/100<color>级可接取<color=yellow>对应等级<color>的无尽征程任务<enter>②按无尽征程的军营副本需求<color=yellow>4人以上自由组队<color>前往完成	\image\icon\task\prize_money.spr	大量的银两	\image\icon\task\prize_expens.spr	大量的经验	\image\item\other\scriptitem\xuanjing_004_s.spr	一定的玄晶	\image\item\other\extbag\bag_010_s.spr	军营声望20/24格扩展背包（第一背包栏）										ClientAutoPath	徐祥鹅--临安:29,1593,4129	徐祥鹅--襄阳:25,1439,3096	徐祥鹅--凤翔:24,1940,3417						5	军营任务
