Id	Map	ClassName	MapId	Msg	Option1	Option2	Option3	Option4	Option5	Option6	Option7	Option8	Option9	Option10	Option11	Option12
11	昆仑派	bingqipulaoban	12	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""剑"",""Dialog:OpenShop"",2,1"	"""刀"",""Dialog:OpenShop"",3,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
12	武当派	bingqipulaoban	14	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""剑"",""Dialog:OpenShop"",2,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""							
13	丐帮	bingqipulaoban	15	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""缠手"",""Dialog:OpenShop"",1,1"	"""棍"",""Dialog:OpenShop"",4,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
14	峨嵋派	bingqipulaoban	16	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""缠手"",""Dialog:OpenShop"",1,1"	"""剑"",""Dialog:OpenShop"",2,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
15	翠烟门	bingqipulaoban	17	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""剑"",""Dialog:OpenShop"",2,1"	"""刀"",""Dialog:OpenShop"",3,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
16	唐门	bingqipulaoban	18	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""飞刀"",""Dialog:OpenShop"",8,1"	"""袖箭"",""Dialog:OpenShop"",9,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
17	五毒教	bingqipulaoban	20	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""缠手"",""Dialog:OpenShop"",1,1"	"""刀"",""Dialog:OpenShop"",3,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
18	天王帮	bingqipulaoban	22	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""枪"",""Dialog:OpenShop"",5,1"	"""锤"",""Dialog:OpenShop"",6,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
19	汴京	bingqipulaoban	23	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""刀"",""Dialog:OpenShop"",3,1"	"""棍"",""Dialog:OpenShop"",4,1"	"""枪"",""Dialog:OpenShop"",5,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""					
20	凤翔	bingqipulaoban	24	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""剑"",""Dialog:OpenShop"",2,1"	"""刀"",""Dialog:OpenShop"",3,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
21	襄阳	bingqipulaoban	25	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""枪"",""Dialog:OpenShop"",5,1"	"""锤"",""Dialog:OpenShop"",6,1"	"""剑"",""Dialog:OpenShop"",2,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""					
22	扬州	bingqipulaoban	26	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""缠手"",""Dialog:OpenShop"",1,1"	"""棍"",""Dialog:OpenShop"",4,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
23	成都	bingqipulaoban	27	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""缠手"",""Dialog:OpenShop"",1,1"	"""剑"",""Dialog:OpenShop"",2,1"	"""飞刀"",""Dialog:OpenShop"",8,1"	"""袖箭"",""Dialog:OpenShop"",9,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""				
24	大理	bingqipulaoban	28	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""剑"",""Dialog:OpenShop"",2,1"	"""刀"",""Dialog:OpenShop"",3,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
25	临安	bingqipulaoban	29	嘿嘿！拿上我做的兵器，想要登上武林排行榜榜首之位，简直易如反掌啊！哟这位客官，来一把吧。然后去找谢贤弄件披风，您可就威风咯！	"""缠手"",""Dialog:OpenShop"",1,1"	"""刀"",""Dialog:OpenShop"",3,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
26		fangjupulaoban		这位大侠进来看看吧？我这小店里的装备虽称比不上谢贤他那卖的披风，却也是我一针一线的心血杰作！	"""<color=yellow>外衣<color>"",""Shop:OpenWaiZhuangShop"",175,3"	"""<color=yellow>外帽<color>"",""Shop:OpenWaiZhuangShop"",176,3"	"""衣服"",""Dialog:OpenShop"",10,1"	"""鞋子、腰带"",""Dialog:OpenShop"",11,1"	"""帽子"",""Dialog:OpenShop"",12,1"	"""护腕、手镯"",""Dialog:OpenShop"",13,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""毛皮"",""Dialog:OpenShop"",20,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""		
27		zahuopulaoban		南北杂货无所不有！客官您要点什么？披风啊？！您还是去找钱庄老板谢贤吧！	"""<color=gold>【绑定银两】<color>杂货"",""Dialog:OpenShop"",15,7"	"""杂货"",""Dialog:OpenShop"",15,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""药材"",""Dialog:OpenShop"",18,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""毛皮"",""Dialog:OpenShop"",20,1"	"""不买了"""				
28		yaopulaoban		近些年来国家局势风雨飘摇，江湖中再掀腥风血雨，我这药铺的生意反而越发的好了，我是该庆幸还是悲伤啊…真希望谢贤他卖的披风能改变这个世道。	"""<color=gold>【绑定银两】<color>药品"",""Dialog:OpenShop"",14,7"	"""药品"",""Dialog:OpenShop"",14,1"	"""药材"",""Dialog:OpenShop"",18,1"	"""高级药箱兑换"",""Npc:ExchangeYaoXiang"""	"""不买了"""							
29		shoushipulaoban		男子带玉佩，女子挂香囊。我铺子内新到一批精美手工艺品，走过路过不要错过哟！又是个要买披风，您还是去找谢贤吧！	"""项链"",""Dialog:OpenShop"",73,1"	"""戒指"",""Dialog:OpenShop"",74,1"	"""玉佩、香囊"",""Dialog:OpenShop"",75,1"	"""护身符"",""Dialog:OpenShop"",76,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""毛皮"",""Dialog:OpenShop"",20,1"	"""不买了"""				
30		jiuloulaoban		听小二说谢贤最近弄来了一批传世的披风，只有在荣誉排行榜中排的上名次的才弄得到，哎，要不是为了养家，我也要去江湖中闯它一闯！	"""<color=gold>【绑定银两】<color>食物"",""Dialog:OpenShop"",21,7"	"""食物"",""Dialog:OpenShop"",21,1"	"""不买了"""									
31		liehuxiaowulaoban		自从穿上了谢贤他送我的披风，现在打猎啊腰也不酸了，手也不痛了，一箭过去啊能弄到四、五头猎物呢！	"""毛皮"",""Dialog:OpenShop"",20,1"											
32		famuxiaowulaoban		招工招工！待遇嘛...管吃管住，一个月十两银子。要求会伐木，年轻力壮。哦对了，样子可不能比我俊啊！哦忘记了，还有一点，穿了谢贤卖的披风的不要，我打不过！	"""原木"",""Dialog:OpenShop"",19,1"											
33		mafan		宝马名驹，应有尽有！要买披风请去找谢贤，我不卖那东西。	"""我要买马"",""Dialog:OpenShop"",22,1"											
34	大理段氏	bingqipulaoban	19	本店出售各种五行属性装备，当你找不到合适的五行装备来激活暗属性时，就到本店买些装备解你的燃眉之急吧。	"""缠手"",""Dialog:OpenShop"",1,1"	"""剑"",""Dialog:OpenShop"",2,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
35	明教	bingqipulaoban	224	本店出售各种五行属性装备，当你找不到合适的五行装备来激活暗属性时，就到本店买些装备解你的燃眉之急吧。	"""剑"",""Dialog:OpenShop"",2,1"	"""锤"",""Dialog:OpenShop"",6,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""棉麻"",""Dialog:OpenShop"",17,1"	"""不买了"""						
36		pvpwuqi		好兵器我这里有的是，只是名器择主，你若是没有几分本事，这些东西你拿去也没用的。不过你要是拿上我的武器，再穿上谢贤卖的披风，那就可以独步武林了。	"""我要买些金系武器"",""Dialog:OpenShop"",135,1"	"""我要买些木系武器"",""Dialog:OpenShop"",136,1"	"""我要买些水系武器"",""Dialog:OpenShop"",137,1"	"""我要买些火系武器"",""Dialog:OpenShop"",138,1"	"""我要买些土系武器"",""Dialog:OpenShop"",139,1"	"""这些破铜烂铁我还看不上。"""						
37	云中镇	techanshangren	1	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",109,1"	"""不买了"""										
38	龙门镇	techanshangren	2	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",108,1"	"""不买了"""										
39	永乐镇	techanshangren	3	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",110,1"	"""不买了"""										
40	稻香村	techanshangren	4	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",111,1"	"""不买了"""										
41	江津村	techanshangren	5	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",112,1"	"""不买了"""										
42	石鼓镇	techanshangren	6	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",115,1"	"""不买了"""										
43	龙泉村	techanshangren	7	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",114,1"	"""不买了"""										
44	巴陵县	techanshangren	8	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",113,1"	"""不买了"""										
45	少林派	shenmishangren	9	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",116,1"	"""不买了"""										
46	天忍教	shenmishangren	10	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",125,1"	"""不买了"""										
47	昆仑派	shenmishangren	12	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",127,1"	"""不买了"""										
48	武当派	shenmishangren	14	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",126,1"	"""不买了"""										
49	丐帮	shenmishangren	15	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",124,1"	"""不买了"""										
50	峨嵋派	shenmishangren	16	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",121,1"	"""不买了"""										
51	翠烟门	shenmishangren	17	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",122,1"	"""不买了"""										
52	唐门	shenmishangren	18	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",118,1"	"""不买了"""										
53	五毒教	shenmishangren	20	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",119,1"	"""不买了"""										
54	天王帮	shenmishangren	22	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",117,1"	"""不买了"""										
55	大理段氏	shenmishangren	19	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",123,1"	"""不买了"""										
56	明教	shenmishangren	224	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",120,1"	"""不买了"""										
57	汴京	techanshangren	23	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",101,1"	"""不买了"""										
58	凤翔	techanshangren	24	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",102,1"	"""不买了"""										
59	襄阳	techanshangren	25	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",103,1"	"""不买了"""										
60	扬州	techanshangren	26	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",106,1"	"""不买了"""										
61	成都	techanshangren	27	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",104,1"	"""不买了"""										
62	大理	techanshangren	28	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",105,1"	"""不买了"""										
63	临安	techanshangren	29	我这卖的可都是本地独有的商品哦，少侠要不要见识下？	"""特产"",""Dialog:OpenShop"",107,1"	"""不买了"""										
64		jipinshangren		说起逍遥谷，那可真是人间仙境呐！不知道你有没有去过呢？诶呀！扯远了，扯远了……少侠要不要看看世间少有的极品装备呢？	"""购买盛夏活动声望装备"",""Dialog:OpenShop"",128,1"	"""购买祈福声望道具"",""Dialog:OpenShop"",133,1"	"""购买民族大团圆活动鞋子"",""Dialog:OpenShop"",161,1"	"""购买寒武遗迹活动护腕"",""Dialog:OpenShop"",185,1"	"""购买美女活动海洋之心项链"",""Dialog:OpenShop"",228,1"	"""不买了"""						
65	伏牛山军营	bingqipulaoban	556	工欲善其事，必先利其器。我不能亲自帮你上沙场，却可以磨利你的刀枪，看看有什么需要的吧！	"""刀"",""Dialog:OpenShop"",3,1"	"""棍"",""Dialog:OpenShop"",4,1"	"""枪"",""Dialog:OpenShop"",5,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""不买了"""						
66	伏牛山军营	bingqipulaoban	558	工欲善其事，必先利其器。我不能亲自帮你上沙场，却可以磨利你的刀枪，看看有什么需要的吧！	"""刀"",""Dialog:OpenShop"",3,1"	"""棍"",""Dialog:OpenShop"",4,1"	"""枪"",""Dialog:OpenShop"",5,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""不买了"""						
67	伏牛山军营	bingqipulaoban	559	工欲善其事，必先利其器。我不能亲自帮你上沙场，却可以磨利你的刀枪，看看有什么需要的吧！	"""刀"",""Dialog:OpenShop"",3,1"	"""棍"",""Dialog:OpenShop"",4,1"	"""枪"",""Dialog:OpenShop"",5,1"	"""矿石"",""Dialog:OpenShop"",16,1"	"""原木"",""Dialog:OpenShop"",19,1"	"""不买了"""						
68		heixinshangren_lv1		忘了带药带食物？不急，不急……阔爷我这全有！	"""<color=gold>【绑定银两】<color>药品"",""Dialog:OpenShop"",14,7"	"""药品"",""Dialog:OpenShop"",14,1"	"""食物"",""Dialog:OpenShop"",21,1"	"""不买了"""								
69		heixinshangren_lv4		哟！几位少侠，又见面了，缘分啊！我这有几件宝物的制作方子，喜欢就拿去吧。	"""啥好东西？看看先"",""Dialog:OpenShop"",130,1"	"""兑换银票"",""LinkTask:ShowBillGiftDialog"""	"""走错地方了"""									
70		heixinshangren_lv5		能再次相见，看来你我缘分不浅啊！这几件宝物的制作方子就便宜卖你吧。	"""啥好东西？看看先"",""Dialog:OpenShop"",131,1"	"""兑换银票"",""LinkTask:ShowBillGiftDialog"""	"""走错地方了"""									
71		yangying		铁心这孩子背负的责任太多了，父亲的罪过与期望；天王帮的未来。这一切竟然是天意吗？												
72		yangtiexin		仇恨永远不能化解仇恨，我身为天王帮主，要以我的全力将天王帮带入另一个高峰！												
73		jishuban		帮中弟子给我面子，叫我一声总管事的。这帮里的一草一木，哪把兵器用了多少年，全在我季叔班心里那！												
74		peiyifei1		我这个人喜欢结交天下朋友。我最喜欢的那句诗便是劝君更进一杯酒，西出阳关无故人。												
75		qiuzhishui		丰衣足食的太平岁月，只要掏掏炉灰、倒倒溲水，穷家门人不难在富贵人家的伙房混口饭吃，甚至将厨余带走,现在穷人的日子却越来越难了。												
76		chengdufenduodizi		以前老吃辣子，觉得脑袋上阵阵凉风，时而发麻，现在想吃点辣子还真不容易呢！												
77		huaziliquan		我乃朝廷命官！什么？你说我在与你说笑？难道我不像吗？												
78		hantuozhou		又见到你了！你数次助我脱离险境，是我的大恩人。我却未曾正式的答谢你，改日定然与你痛饮不醉不归！												
79		luxiaopin		民间传说中的“五毒”是五种动物，它们分别是青蛇、蜈蚣、蝎子、壁虎和蟾蜍。而我教中用于药引的毒物却不下千百种。												
80		jinzhuangbangzhong		我一直守卫着这里，可以说算是半个合格的船夫啦！												
81		hantuozhouhuwei		守护朝廷命官是我们的职责。说到韩大人嘛，他也没啥可怕的,偶尔还问候我们的家人，没啥官架子，哈哈!												
82		yufu		有句话的意思是把鱼施舍给别人还不如教会人家打渔的技能！那句文绉绉的话怎么说来着？很有道理啊，哈哈！												
83		shixuanyuan1		三十年前，丐帮帮主以民族大义为重，危难之时举抗金义旗。我丐帮损失惨重，却赢得无数武林豪杰的尊重！												
84		luofeng		我乃丐帮第八代弟子，你如此年少却能有这等担当，若为我丐帮所用岂不快哉！												
85		kongtongpaimenren		丐帮实力近年有所长进，我等过来学习学习。												
86		qingchengpaimenren		本次为丐帮带来些许礼物，家师本想前来，因教中事务缠身特派我前来！												
87		pilihuoleijiamenren		丐帮实力怕是远不如从前咯！												
88		gaibangzhishidizi		人多口杂，麻烦你帮我照看着点。												
89		luchenzhou		侠客行走江湖凭的便是一个义字。盐帮对我不义，我却问心无愧。如今在丐帮与兄弟们一起竟感到了久违的温暖…												
90		zhifadizi		确保祭祀大典顺利举行是我等的职责！												
91		shoushandizi		暗号！对不起，今天的暗号不是西瓜开门！												
92		gongshaozhen		帮里的执事长老秋云有恩于我，此恩此情我没齿难忘，穷尽一生亦无以为报！												
93		lindongshan		喜悦可以拿来和兄弟们一同分享，而犯下过错后所受到的惩罚没有人会替你分担。所以，别走错路！												
94		lieren		知道哪里有狗场吗？一个伟大的猎人没有一条像样的猎狗怎么行？伴我多年的旺财上个月去钟馗那里报道，我现在还在想它呢……												
95		jinguojiangling		我们为完颜家族效力，大金国为我们安顿好了孩子和亲人，我们已经没有什么放不下了，只待早日拿下南宋便可以回家团聚！												
96		cailaotou		这些门派给丐帮的礼物看似不重啊！												
97		shensuanliugui		天变有异向；人变有异相。天下将变；苍生哀也。												
98		busheren		这地方气候湿润，物种也多得很。若是不来这里我或许会和上百种蛇蝎错过哟！害怕？我不害怕蛇蝎，反而怕那些居心叵测的人！												
99		jizhu1		我在这外面说话咋老是觉得有人偷听，莫非是鬼魅不成？奶奶个熊的！												
100		yinfang		好久不见了，我又采摘了些增进功力的奇药。这里有两株，嘿嘿教主我也只是给了她一株哟！												
101		yintong		你最近都去哪里游玩啦？是不是把我这个小妹妹给忘了！来，尝尝我给你做蛇蝎软骨膏，这东西清心健脾，我哥哥都很少喝得到哦！												
102		diepiaopiao		有人说冲动是魔鬼，几年前我年轻气盛上武当与人比武，却也因这冲动结识我一生中重要的人钟志铭。因果起源谁又能说的清楚呢？												
103		guanwanshan		这深山老林的逮只野鸡都要费上半天功夫，我们是何苦来这啊！												
104		shoumentongzi1		你好！好久不见了。今日来是不是看望我家殷氏兄妹的。哎来就来嘛还拎着礼物…嘿嘿…												
105		yucangfeng1		一些人，一些事只有埋藏在自己的心底,偶尔记起也是财富。												
106		baiqidizi		我刚入教的时候认识了一个人，别人唤他做阿呆。现在他不知所踪，我却怀念那无邪的笑容。												
107		guyanran		你知道一个成语叫以讹传讹吗？我五毒教在天下人眼中固然是个邪教，但我教中弟子却也都是热血男女，想为这天下苍生造福啊！												
108		lansonglin		人人见蛇蝎敬而远之，我却觉得他们可亲可爱！												
109		hongqidizi		红旗旗主在五毒教之中贡献最大，地位也最高，我等小的们领的奖赏为何却是倒着数的？												
110		gaibangwushi		丐帮祭祀大典即将举行，来者需报上门派及师出何处。有礼品的请先到丐帮执事人处登记。												
