id	MaleKind	MaleG	MaleD	MaleP	MaleL	FemaleKind	FemaleG	FemaleD	FemaleP	FemaleL
28	水系潜龙吟渊披风·男	1	17	5	8	水系潜龙吟渊披风·女	1	17	6	8
29	水系至尊传说披风·男	1	17	5	9	水系至尊传说披风·女	1	17	6	9
30	水系无双王者披风·男	1	17	5	10	水系无双王者披风·女	1	17	6	10
31	火系超凡希冀披风·男	1	17	7	1	火系超凡希冀披风·女	1	17	8	1
32	火系出尘惊虹披风·男	1	17	7	2	火系出尘惊虹披风·女	1	17	8	2
33	火系凌绝雾影披风·男	1	17	7	3	火系凌绝雾影披风·女	1	17	8	3
34	火系惊世独舞披风·男	1	17	7	4	火系惊世独舞披风·女	1	17	8	4
35	火系御空冯虚披风·男	1	17	7	5	火系御空冯虚披风·女	1	17	8	5
36	火系混天镇元披风·男	1	17	7	6	火系混天镇元披风·女	1	17	8	6
37	火系雏凤翎羽披风·男	1	17	7	7	火系雏凤翎羽披风·女	1	17	8	7
38	火系潜龙吟渊披风·男	1	17	7	8	火系潜龙吟渊披风·女	1	17	8	8
39	火系至尊传说披风·男	1	17	7	9	火系至尊传说披风·女	1	17	8	9
40	火系无双王者披风·男	1	17	7	10	火系无双王者披风·女	1	17	8	10
41	土系超凡希冀披风·男	1	17	9	1	土系超凡希冀披风·女	1	17	10	1
42	土系出尘惊虹披风·男	1	17	9	2	土系出尘惊虹披风·女	1	17	10	2
43	土系凌绝雾影披风·男	1	17	9	3	土系凌绝雾影披风·女	1	17	10	3
44	土系惊世独舞披风·男	1	17	9	4	土系惊世独舞披风·女	1	17	10	4
45	土系御空冯虚披风·男	1	17	9	5	土系御空冯虚披风·女	1	17	10	5
46	土系混天镇元披风·男	1	17	9	6	土系混天镇元披风·女	1	17	10	6
47	土系雏凤翎羽披风·男	1	17	9	7	土系雏凤翎羽披风·女	1	17	10	7
48	土系潜龙吟渊披风·男	1	17	9	8	土系潜龙吟渊披风·女	1	17	10	8
49	土系至尊传说披风·男	1	17	9	9	土系至尊传说披风·女	1	17	10	9
50	土系无双王者披风·男	1	17	9	10	土系无双王者披风·女	1	17	10	10
51	至尊传说护卫披风·男	1	17	11	9	至尊传说护卫披风·女	1	17	12	9
52	无双王者护卫披风·男	1	17	11	10	无双王者护卫披风·女	1	17	12	10
53	至尊传说城主披风·男	1	17	13	9	至尊传说城主披风·女	1	17	14	9
54	无双王者城主披风·男	1	17	13	10	无双王者城主披风·女	1	17	14	10
55	金系超凡希冀披风·男	1	17	15	1	金系超凡希冀披风·女	1	17	16	1
56	木系超凡希冀披风·男	1	17	17	1	木系超凡希冀披风·女	1	17	18	1
57	水系超凡希冀披风·男	1	17	19	1	水系超凡希冀披风·女	1	17	20	1
58	火系超凡希冀披风·男	1	17	21	1	火系超凡希冀披风·女	1	17	22	1
59	土系超凡希冀披风·男	1	17	23	1	土系超凡希冀披风·女	1	17	24	1
1	蓝装_棍少、天王掩日盔	2	9	10	10	蓝装_棍少、天王双凤朝天冠	2	9	20	10
2	蓝装_刀少修罗发结	2	9	30	10	蓝装_刀少玄犀面罩	2	9	40	10
3	蓝装_刀毒、唐门、明教修罗发结	2	9	50	10	蓝装_刀毒、唐门、明教玄犀面罩	2	9	60	10
4	蓝装_掌毒通天发冠	2	9	70	10	蓝装_掌毒长生发结	2	9	80	10
5	蓝装_指段掩日盔	2	9	90	10	蓝装_指段双凤朝天冠	2	9	100	10
6	蓝装_气段、翠烟、峨嵋通天发冠	2	9	110	10	蓝装_气段、翠烟、峨嵋长生发结	2	9	120	10
7	蓝装_战忍掩日盔	2	9	130	10	蓝装_战忍双凤朝天冠	2	9	140	10
8	蓝装_魔忍、丐帮修罗发结	2	9	150	10	蓝装_魔忍、丐帮玄犀面罩	2	9	160	10
9	蓝装_剑武掩日盔	2	9	170	10	蓝装_剑武双凤朝天冠	2	9	180	10
10	蓝装_气武、昆仑通天发冠	2	9	190	10	蓝装_气武、昆仑长生发结	2	9	200	10
11	紫装PVE_棍少、天王掩日盔	2	9	210	10	紫装PVE_棍少、天王双凤朝天冠	2	9	220	10
12	紫装PVE_刀少修罗发结	2	9	230	10	紫装PVE_刀少玄犀面罩	2	9	240	10
13	紫装PVE_刀毒、唐门、明教修罗发结	2	9	250	10	紫装PVE_刀毒、唐门、明教玄犀面罩	2	9	260	10
14	紫装PVE_掌毒通天发冠	2	9	270	10	紫装PVE_掌毒长生发结	2	9	280	10
15	紫装PVE_指段掩日盔	2	9	290	10	紫装PVE_指段双凤朝天冠	2	9	300	10
16	紫装PVE_气段、翠烟、峨嵋通天发冠	2	9	310	10	紫装PVE_气段、翠烟、峨嵋长生发结	2	9	320	10
17	紫装PVE_战忍掩日盔	2	9	330	10	紫装PVE_战忍双凤朝天冠	2	9	340	10
18	紫装PVE_魔忍、丐帮修罗发结	2	9	350	10	紫装PVE_魔忍、丐帮玄犀面罩	2	9	360	10
19	紫装PVE_剑武掩日盔	2	9	370	10	紫装PVE_剑武双凤朝天冠	2	9	380	10
20	紫装PVE_气武、昆仑通天发冠	2	9	390	10	紫装PVE_气武、昆仑长生发结	2	9	400	10
21	紫装PVP_棍少、天王掩日盔	2	9	410	10	紫装PVP_棍少、天王双凤朝天冠	2	9	420	10
22	紫装PVP_刀少修罗发结	2	9	430	10	紫装PVP_刀少玄犀面罩	2	9	440	10
23	紫装PVP_刀毒、唐门、明教修罗发结	2	9	450	10	紫装PVP_刀毒、唐门、明教玄犀面罩	2	9	460	10
24	紫装PVP_掌毒通天发冠	2	9	470	10	紫装PVP_掌毒长生发结	2	9	480	10
25	紫装PVP_指段掩日盔	2	9	490	10	紫装PVP_指段双凤朝天冠	2	9	500	10
26	紫装PVP_气段、翠烟、峨嵋通天发冠	2	9	510	10	紫装PVP_气段、翠烟、峨嵋长生发结	2	9	520	10
27	紫装PVP_战忍掩日盔	2	9	530	10	紫装PVP_战忍双凤朝天冠	2	9	540	10
28	紫装PVP_魔忍、丐帮修罗发结	2	9	550	10	紫装PVP_魔忍、丐帮玄犀面罩	2	9	560	10
29	紫装PVP_剑武掩日盔	2	9	570	10	紫装PVP_剑武双凤朝天冠	2	9	580	10
30	紫装PVP_气武、昆仑通天发冠	2	9	590	10	紫装PVP_气武、昆仑长生发结	2	9	600	10
31	橙装PVE_棍少、天王掩日盔	2	9	610	10	橙装PVE_棍少、天王双凤朝天冠	2	9	620	10
32	橙装PVE_刀少修罗发结	2	9	630	10	橙装PVE_刀少玄犀面罩	2	9	640	10
33	橙装PVE_刀毒、唐门、明教修罗发结	2	9	650	10	橙装PVE_刀毒、唐门、明教玄犀面罩	2	9	660	10
34	橙装PVE_掌毒通天发冠	2	9	670	10	橙装PVE_掌毒长生发结	2	9	680	10
35	橙装PVE_指段掩日盔	2	9	690	10	橙装PVE_指段双凤朝天冠	2	9	700	10
36	橙装PVE_气段、翠烟、峨嵋通天发冠	2	9	710	10	橙装PVE_气段、翠烟、峨嵋长生发结	2	9	720	10
37	橙装PVE_战忍掩日盔	2	9	730	10	橙装PVE_战忍双凤朝天冠	2	9	740	10
38	橙装PVE_魔忍、丐帮修罗发结	2	9	750	10	橙装PVE_魔忍、丐帮玄犀面罩	2	9	760	10
39	橙装PVE_剑武掩日盔	2	9	770	10	橙装PVE_剑武双凤朝天冠	2	9	780	10
40	橙装PVE_气武、昆仑通天发冠	2	9	790	10	橙装PVE_气武、昆仑长生发结	2	9	800	10
41	橙装PVP_棍少、天王掩日盔	2	9	810	10	橙装PVP_棍少、天王双凤朝天冠	2	9	820	10
42	橙装PVP_刀少修罗发结	2	9	830	10	橙装PVP_刀少玄犀面罩	2	9	840	10
43	橙装PVP_刀毒、唐门、明教修罗发结	2	9	850	10	橙装PVP_刀毒、唐门、明教玄犀面罩	2	9	860	10
44	橙装PVP_掌毒通天发冠	2	9	870	10	橙装PVP_掌毒长生发结	2	9	880	10
45	橙装PVP_指段掩日盔	2	9	890	10	橙装PVP_指段双凤朝天冠	2	9	900	10
46	橙装PVP_气段、翠烟、峨嵋通天发冠	2	9	910	10	橙装PVP_气段、翠烟、峨嵋长生发结	2	9	920	10
47	橙装PVP_战忍掩日盔	2	9	930	10	橙装PVP_战忍双凤朝天冠	2	9	940	10
48	橙装PVP_魔忍、丐帮修罗发结	2	9	950	10	橙装PVP_魔忍、丐帮玄犀面罩	2	9	960	10
49	橙装PVP_剑武掩日盔	2	9	970	10	橙装PVP_剑武双凤朝天冠	2	9	980	10
50	橙装PVP_气武、昆仑通天发冠	2	9	990	10	橙装PVP_气武、昆仑长生发结	2	9	1000	10
51	蓝装_古墓修罗发结	2	9	1010	10	蓝装_古墓玄犀面罩	2	9	1020	10
52	紫装PVE_古墓修罗发结	2	9	1030	10	紫装PVE_古墓玄犀面罩	2	9	1040	10
53	橙装PVE_古墓修罗发结	2	9	1050	10	橙装PVE_古墓玄犀面罩	2	9	1060	10
54	紫装PVP_古墓修罗发结	2	9	1070	10	紫装PVP_古墓玄犀面罩	2	9	1080	10
55	橙装PVP_古墓修罗发结	2	9	1090	10	橙装PVP_古墓玄犀面罩	2	9	1100	10
1	蓝装_棍少、天王镜华铠	2	3	12	10	蓝装_棍少、天王霹雳金凤甲	2	3	22	10
2	蓝装_刀少千忍秘装	2	3	32	10	蓝装_刀少九尾白狐裘	2	3	42	10
3	蓝装_刀毒、唐门、明教千忍秘装	2	3	52	10	蓝装_刀毒、唐门、明教九尾白狐裘	2	3	62	10
4	蓝装_掌毒绛纱袍	2	3	72	10	蓝装_掌毒沉香衫	2	3	82	10
5	蓝装_指段镜华铠	2	3	92	10	蓝装_指段霹雳金凤甲	2	3	102	10
6	蓝装_峨嵋、翠烟、气段绛纱袍	2	3	112	10	蓝装_峨嵋、翠烟、气段沉香衫	2	3	122	10
7	蓝装_战忍镜华铠	2	3	132	10	蓝装_战忍霹雳金凤甲	2	3	142	10
8	蓝装_魔忍、丐帮千忍秘装	2	3	152	10	蓝装_魔忍、丐帮九尾白狐裘	2	3	162	10
9	蓝装_剑武镜华铠	2	3	172	10	蓝装_剑武霹雳金凤甲	2	3	182	10
10	蓝装_气武、昆仑绛纱袍	2	3	192	10	蓝装_气武、昆仑沉香衫	2	3	202	10
11	紫装PVE_棍少、天王镜华铠	2	3	212	10	紫装PVE_棍少、天王霹雳金凤甲	2	3	222	10
12	紫装PVE_刀少千忍秘装	2	3	232	10	紫装PVE_刀少九尾白狐裘	2	3	242	10
13	紫装PVE_刀毒、唐门、明教千忍秘装	2	3	252	10	紫装PVE_刀毒、唐门、明教九尾白狐裘	2	3	262	10
14	紫装PVE_掌毒绛纱袍	2	3	272	10	紫装PVE_掌毒沉香衫	2	3	282	10
15	紫装PVE_指段镜华铠	2	3	292	10	紫装PVE_指段霹雳金凤甲	2	3	302	10
16	紫装PVE_峨嵋、翠烟、气段绛纱袍	2	3	312	10	紫装PVE_峨嵋、翠烟、气段沉香衫	2	3	322	10
17	紫装PVE_战忍镜华铠	2	3	332	10	紫装PVE_战忍霹雳金凤甲	2	3	342	10
18	紫装PVE_魔忍、丐帮千忍秘装	2	3	352	10	紫装PVE_魔忍、丐帮九尾白狐裘	2	3	362	10
19	紫装PVE_剑武镜华铠	2	3	372	10	紫装PVE_剑武霹雳金凤甲	2	3	382	10
20	紫装PVE_气武、昆仑绛纱袍	2	3	392	10	紫装PVE_气武、昆仑沉香衫	2	3	402	10
21	紫装PVP_棍少、天王镜华铠	2	3	412	10	紫装PVP_棍少、天王霹雳金凤甲	2	3	422	10
22	紫装PVP_刀少千忍秘装	2	3	432	10	紫装PVP_刀少九尾白狐裘	2	3	442	10
23	紫装PVP_刀毒、唐门、明教千忍秘装	2	3	452	10	紫装PVP_刀毒、唐门、明教九尾白狐裘	2	3	462	10
24	紫装PVP_掌毒绛纱袍	2	3	472	10	紫装PVP_掌毒沉香衫	2	3	482	10
25	紫装PVP_指段镜华铠	2	3	492	10	紫装PVP_指段霹雳金凤甲	2	3	502	10
26	紫装PVP_峨嵋、翠烟、气段绛纱袍	2	3	512	10	紫装PVP_峨嵋、翠烟、气段沉香衫	2	3	522	10
27	紫装PVP_战忍镜华铠	2	3	532	10	紫装PVP_战忍霹雳金凤甲	2	3	542	10
28	紫装PVP_魔忍、丐帮千忍秘装	2	3	552	10	紫装PVP_魔忍、丐帮九尾白狐裘	2	3	562	10
29	紫装PVP_剑武镜华铠	2	3	572	10	紫装PVP_剑武霹雳金凤甲	2	3	582	10
30	紫装PVP_气武、昆仑绛纱袍	2	3	592	10	紫装PVP_气武、昆仑沉香衫	2	3	602	10
31	橙装PVE_棍少、天王镜华铠	2	3	612	10	橙装PVE_棍少、天王霹雳金凤甲	2	3	622	10
32	橙装PVE_刀少千忍秘装	2	3	632	10	橙装PVE_刀少九尾白狐裘	2	3	642	10
33	橙装PVE_刀毒、唐门、明教千忍秘装	2	3	652	10	橙装PVE_刀毒、唐门、明教九尾白狐裘	2	3	662	10
34	橙装PVE_掌毒绛纱袍	2	3	672	10	橙装PVE_掌毒沉香衫	2	3	682	10
35	橙装PVE_指段镜华铠	2	3	692	10	橙装PVE_指段霹雳金凤甲	2	3	702	10
36	橙装PVE_峨嵋、翠烟、气段绛纱袍	2	3	712	10	橙装PVE_峨嵋、翠烟、气段沉香衫	2	3	722	10
37	橙装PVE_战忍镜华铠	2	3	732	10	橙装PVE_战忍霹雳金凤甲	2	3	742	10
38	橙装PVE_魔忍、丐帮千忍秘装	2	3	752	10	橙装PVE_魔忍、丐帮九尾白狐裘	2	3	762	10
39	橙装PVE_剑武镜华铠	2	3	772	10	橙装PVE_剑武霹雳金凤甲	2	3	782	10
40	橙装PVE_气武、昆仑绛纱袍	2	3	792	10	橙装PVE_气武、昆仑沉香衫	2	3	802	10
41	橙装PVP_棍少、天王镜华铠	2	3	812	10	橙装PVP_棍少、天王霹雳金凤甲	2	3	822	10
42	橙装PVP_刀少千忍秘装	2	3	832	10	橙装PVP_刀少九尾白狐裘	2	3	842	10
43	橙装PVP_刀毒、唐门、明教千忍秘装	2	3	852	10	橙装PVP_刀毒、唐门、明教九尾白狐裘	2	3	862	10
44	橙装PVP_掌毒绛纱袍	2	3	872	10	橙装PVP_掌毒沉香衫	2	3	882	10
45	橙装PVP_指段镜华铠	2	3	892	10	橙装PVP_指段霹雳金凤甲	2	3	902	10
46	橙装PVP_峨嵋、翠烟、气段绛纱袍	2	3	912	10	橙装PVP_峨嵋、翠烟、气段沉香衫	2	3	922	10
47	橙装PVP_战忍镜华铠	2	3	932	10	橙装PVP_战忍霹雳金凤甲	2	3	942	10
48	橙装PVP_魔忍、丐帮千忍秘装	2	3	952	10	橙装PVP_魔忍、丐帮九尾白狐裘	2	3	962	10
49	橙装PVP_剑武镜华铠	2	3	972	10	橙装PVP_剑武霹雳金凤甲	2	3	982	10
50	橙装PVP_气武、昆仑绛纱袍	2	3	992	10	橙装PVP_气武、昆仑沉香衫	2	3	1002	10
51	蓝装_棍少、天王10级声望装	2	3	1008	10	蓝装_棍少、天王10级声望装	2	3	1014	10
52	蓝装_刀少10级声望装	2	3	1020	10	蓝装_刀少10级声望装	2	3	1026	10
53	蓝装_刀毒、唐门、明教10级声望装	2	3	1032	10	蓝装_刀毒、唐门、明教10级声望装	2	3	1038	10
54	蓝装_掌毒10级声望装	2	3	1044	10	蓝装_掌毒10级声望装	2	3	1050	10
55	蓝装_指段10级声望装	2	3	1056	10	蓝装_指段10级声望装	2	3	1062	10
56	蓝装_峨嵋、翠烟、气段10级声望装	2	3	1068	10	蓝装_峨嵋、翠烟、气段10级声望装	2	3	1074	10
57	蓝装_战忍10级声望装	2	3	1080	10	蓝装_战忍10级声望装	2	3	1086	10
58	蓝装_魔忍、丐帮10级声望装	2	3	1092	10	蓝装_魔忍、丐帮10级声望装	2	3	1098	10
59	蓝装_剑武10级声望装	2	3	1104	10	蓝装_剑武10级声望装	2	3	1110	10
60	蓝装_气武、昆仑10级声望装	2	3	1116	10	蓝装_气武、昆仑10级声望装	2	3	1122	10
61	紫装PVP_棍少、天王10级声望装	2	3	1128	10	紫装PVP_棍少、天王10级声望装	2	3	1134	10
62	紫装PVP_刀少10级声望装	2	3	1140	10	紫装PVP_刀少10级声望装	2	3	1146	10
63	紫装PVP_刀毒、唐门、明教10级声望装	2	3	1152	10	紫装PVP_刀毒、唐门、明教10级声望装	2	3	1158	10
64	紫装PVP_掌毒10级声望装	2	3	1164	10	紫装PVP_掌毒10级声望装	2	3	1170	10
65	紫装PVP_指段10级声望装	2	3	1176	10	紫装PVP_指段10级声望装	2	3	1182	10
66	紫装PVP_峨嵋、翠烟、气段10级声望装	2	3	1188	10	紫装PVP_峨嵋、翠烟、气段10级声望装	2	3	1194	10
67	紫装PVP_战忍10级声望装	2	3	1200	10	紫装PVP_战忍10级声望装	2	3	1206	10
68	紫装PVP_魔忍、丐帮10级声望装	2	3	1212	10	紫装PVP_魔忍、丐帮10级声望装	2	3	1218	10
69	紫装PVP_剑武10级声望装	2	3	1224	10	紫装PVP_剑武10级声望装	2	3	1230	10
70	紫装PVP_气武、昆仑10级声望装	2	3	1236	10	紫装PVP_气武、昆仑10级声望装	2	3	1242	10
71	橙装PVP_棍少、天王10级声望装	2	3	1248	10	橙装PVP_棍少、天王10级声望装	2	3	1254	10
72	橙装PVP_刀少10级声望装	2	3	1260	10	橙装PVP_刀少10级声望装	2	3	1266	10
73	橙装PVP_刀毒、唐门、明教10级声望装	2	3	1272	10	橙装PVP_刀毒、唐门、明教10级声望装	2	3	1278	10
74	橙装PVP_掌毒10级声望装	2	3	1284	10	橙装PVP_掌毒10级声望装	2	3	1290	10
75	橙装PVP_指段10级声望装	2	3	1296	10	橙装PVP_指段10级声望装	2	3	1302	10
76	橙装PVP_峨嵋、翠烟、气段10级声望装	2	3	1308	10	橙装PVP_峨嵋、翠烟、气段10级声望装	2	3	1314	10
77	橙装PVP_战忍10级声望装	2	3	1320	10	橙装PVP_战忍10级声望装	2	3	1326	10
78	橙装PVP_魔忍、丐帮10级声望装	2	3	1332	10	橙装PVP_魔忍、丐帮10级声望装	2	3	1338	10
79	橙装PVP_剑武10级声望装	2	3	1344	10	橙装PVP_剑武10级声望装	2	3	1350	10
80	橙装PVP_气武、昆仑10级声望装	2	3	1356	10	橙装PVP_气武、昆仑10级声望装	2	3	1362	10
81	蓝装_古墓千忍秘装	2	3	1372	10	蓝装_古墓九尾白狐裘	2	3	1382	10
82	蓝装_古墓10级声望装	2	3	1388	10	蓝装_古墓10级声望装	2	3	1394	10
83	紫装PVE_古墓千忍秘装	2	3	1404	10	紫装PVE_古墓九尾白狐裘	2	3	1414	10
84	紫装PVP_古墓千忍秘装	2	3	1424	10	紫装PVP_古墓九尾白狐裘	2	3	1434	10
85	紫装PVP_古墓10级声望装	2	3	1440	10	紫装PVP_古墓10级声望装	2	3	1446	10
86	橙装PVE_古墓千忍秘装	2	3	1456	10	橙装PVE_古墓九尾白狐裘	2	3	1466	10
87	橙装PVP_古墓千忍秘装	2	3	1476	10	橙装PVP_古墓九尾白狐裘	2	3	1486	10
88	橙装PVP_古墓10级声望装	2	3	1492	10	橙装PVP_古墓10级声望装	2	3	1498	10
1	蓝装_金系所有路线武侯束带	2	8	10	10	蓝装_金系所有路线越女玉带	2	8	20	10
2	蓝装_木系所有路线武侯束带	2	8	30	10	蓝装_木系所有路线越女玉带	2	8	40	10
3	蓝装_水系所有路线武侯束带	2	8	50	10	蓝装_水系所有路线越女玉带	2	8	60	10
4	蓝装_火系所有路线武侯束带	2	8	70	10	蓝装_火系所有路线越女玉带	2	8	80	10
5	蓝装_土系所有路线武侯束带	2	8	90	10	蓝装_土系所有路线越女玉带	2	8	100	10
6	紫装PVE_金系所有路线武侯束带	2	8	110	10	紫装PVE_金系所有路线越女玉带	2	8	120	10
7	紫装PVE_木系所有路线武侯束带	2	8	130	10	紫装PVE_木系所有路线越女玉带	2	8	140	10
8	紫装PVE_水系所有路线武侯束带	2	8	150	10	紫装PVE_水系所有路线越女玉带	2	8	160	10
9	紫装PVE_火系所有路线武侯束带	2	8	170	10	紫装PVE_火系所有路线越女玉带	2	8	180	10
10	紫装PVE_土系所有路线武侯束带	2	8	190	10	紫装PVE_土系所有路线越女玉带	2	8	200	10
11	紫装PVP_金系所有路线武侯束带	2	8	210	10	紫装PVP_金系所有路线越女玉带	2	8	220	10
12	紫装PVP_木系所有路线武侯束带	2	8	230	10	紫装PVP_木系所有路线越女玉带	2	8	240	10
13	紫装PVP_水系所有路线武侯束带	2	8	250	10	紫装PVP_水系所有路线越女玉带	2	8	260	10
14	紫装PVP_火系所有路线武侯束带	2	8	270	10	紫装PVP_火系所有路线越女玉带	2	8	280	10
15	紫装PVP_土系所有路线武侯束带	2	8	290	10	紫装PVP_土系所有路线越女玉带	2	8	300	10
16	橙装PVE_金系所有路线武侯束带	2	8	310	10	橙装PVE_金系所有路线越女玉带	2	8	320	10
17	橙装PVE_木系所有路线武侯束带	2	8	330	10	橙装PVE_木系所有路线越女玉带	2	8	340	10
18	橙装PVE_水系所有路线武侯束带	2	8	350	10	橙装PVE_水系所有路线越女玉带	2	8	360	10
19	橙装PVE_火系所有路线武侯束带	2	8	370	10	橙装PVE_火系所有路线越女玉带	2	8	380	10
20	橙装PVE_土系所有路线武侯束带	2	8	390	10	橙装PVE_土系所有路线越女玉带	2	8	400	10
21	橙装PVP_金系所有路线武侯束带	2	8	410	10	橙装PVP_金系所有路线越女玉带	2	8	420	10
22	橙装PVP_木系所有路线武侯束带	2	8	430	10	橙装PVP_木系所有路线越女玉带	2	8	440	10
23	橙装PVP_水系所有路线武侯束带	2	8	450	10	橙装PVP_水系所有路线越女玉带	2	8	460	10
24	橙装PVP_火系所有路线武侯束带	2	8	470	10	橙装PVP_火系所有路线越女玉带	2	8	480	10
25	橙装PVP_土系所有路线武侯束带	2	8	490	10	橙装PVP_土系所有路线越女玉带	2	8	500	10
26	蓝装_金系所有路线10级声望腰带	2	8	505	10	蓝装_金系所有路线10级声望腰带	2	8	510	10
27	蓝装_木系所有路线10级声望腰带	2	8	515	10	蓝装_木系所有路线10级声望腰带	2	8	520	10
28	蓝装_水系所有路线10级声望腰带	2	8	525	10	蓝装_水系所有路线10级声望腰带	2	8	530	10
29	蓝装_火系所有路线10级声望腰带	2	8	535	10	蓝装_火系所有路线10级声望腰带	2	8	540	10
30	蓝装_土系所有路线10级声望腰带	2	8	545	10	蓝装_土系所有路线10级声望腰带	2	8	550	10
31	紫装PVP_金系所有路线10级声望腰带	2	8	555	10	紫装PVP_金系所有路线10级声望腰带	2	8	560	10
32	紫装PVP_木系所有路线10级声望腰带	2	8	565	10	紫装PVP_木系所有路线10级声望腰带	2	8	570	10
33	紫装PVP_水系所有路线10级声望腰带	2	8	575	10	紫装PVP_水系所有路线10级声望腰带	2	8	580	10
34	紫装PVP_火系所有路线10级声望腰带	2	8	585	10	紫装PVP_火系所有路线10级声望腰带	2	8	590	10
35	紫装PVP_土系所有路线10级声望腰带	2	8	595	10	紫装PVP_土系所有路线10级声望腰带	2	8	600	10
36	橙装PVP_金系所有路线10级声望腰带	2	8	605	10	橙装PVP_金系所有路线10级声望腰带	2	8	610	10
37	橙装PVP_木系所有路线10级声望腰带	2	8	615	10	橙装PVP_木系所有路线10级声望腰带	2	8	620	10
38	橙装PVP_水系所有路线10级声望腰带	2	8	625	10	橙装PVP_水系所有路线10级声望腰带	2	8	630	10
39	橙装PVP_火系所有路线10级声望腰带	2	8	635	10	橙装PVP_火系所有路线10级声望腰带	2	8	640	10
40	橙装PVP_土系所有路线10级声望腰带	2	8	645	10	橙装PVP_土系所有路线10级声望腰带	2	8	650	10
41	金系男08银腰带	2	8	651	10	金系女08银腰带	2	8	656	10
42	木系男08银腰带	2	8	652	10	木系女08银腰带	2	8	657	10
43	水系男08银腰带	2	8	653	10	水系女08银腰带	2	8	658	10
44	火系男08银腰带	2	8	654	10	火系女08银腰带	2	8	659	10
45	土系男08银腰带	2	8	655	10	土系女08银腰带	2	8	660	10
46	金系男08金腰带	2	8	661	10	金系女08金腰带	2	8	666	10
47	木系男08金腰带	2	8	662	10	木系女08金腰带	2	8	667	10
48	水系男08金腰带	2	8	663	10	水系女08金腰带	2	8	668	10
49	火系男08金腰带	2	8	664	10	火系女08金腰带	2	8	669	10
50	土系男08金腰带	2	8	665	10	土系女08金腰带	2	8	670	10
51	金系男08银腰带_vn	2	8	671	10	金系女08银腰带_vn	2	8	676	10
52	木系男08银腰带_vn	2	8	672	10	木系女08银腰带_vn	2	8	677	10
53	水系男08银腰带_vn	2	8	673	10	水系女08银腰带_vn	2	8	678	10
54	火系男08银腰带_vn	2	8	674	10	火系女08银腰带_vn	2	8	679	10
55	土系男08银腰带_vn	2	8	675	10	土系女08银腰带_vn	2	8	680	10
56	金系男08金腰带_vn	2	8	681	10	金系女08金腰带_vn	2	8	686	10
57	木系男08金腰带_vn	2	8	682	10	木系女08金腰带_vn	2	8	687	10
58	水系男08金腰带_vn	2	8	683	10	水系女08金腰带_vn	2	8	688	10
59	火系男08金腰带_vn	2	8	684	10	火系女08金腰带_vn	2	8	689	10
60	土系男08金腰带_vn	2	8	685	10	土系女08金腰带_vn	2	8	690	10
1	蓝装_金系所有路线天蚕护腕	2	10	12	10	蓝装_金系所有路线龙凤血玉镯	2	10	22	10
