标题	内容	是否不显示	EndTag
    <color=yellow>★各区开放情况请留意官网★<color>

    发现密道后，符合以下条件的侠士可进入密道：

    1、与开启密道者在同一帮会或同一联盟；
    2、发现密道时，在该场地（黄金白虎三层）；
    3、财富荣誉达到混天。

    注意：本服进入人数最多为60人。 

"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【跨服白虎堂】战斗规则	"<color=lightblue>【跨服白虎堂】战斗规则<color>

    <color=yellow>★各区开放情况请留意官网★<color>

    密室内厅闯入了江洋大盗与蚀月教的人，他们已经拿走了许多名录残页、名录残卷。快从他们身上夺回来吧！
    获得一个名录残页<item=18,1,1119,1>增加<color=yellow>10积分<color>
    获得一个名录残卷<item=18,1,1119,2>增加<color=yellow>100积分<color>

    <color=green>说明：<color>
    1、密室内厅的战斗模式为<color=yellow>联盟之间的较量<color>，来自同一服务器的侠士为同一联盟；
    2、请尽量多地<color=yellow>获取积分<color>，可用积分兑换奖励；
    3、只有拾取<color=yellow>名录残页、名录残卷<color>方可获得积分；
    4、名录残页、名录残卷<color=yellow>可叠加<color>，您不用担心背包空间不够的问题。

    小提示：跨服活动时，需要使用<color=yellow>跨服绑银<color>买药买菜。您在进入密道前可根据提示准备跨服绑银。 
"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【跨服白虎堂】奖励	"<color=lightblue>【跨服白虎堂】奖励<color>

    <color=yellow>★各区开放情况请留意官网★<color>

    战斗结束后，您可回到本服，在白虎堂护卫处用积分兑换跨服白虎宝箱。
    <item=18,1,1120,1>
    跨服白虎宝箱有几率开出：
    <color=yellow>7~10级的高级玄晶（绑定）、昏暗封印·真元（不绑定）、五色石（不绑定）<color>

    <color=green>说明：<color>
    1、<color=yellow>500积分<color>可兑换一个跨服白虎宝箱，领取奖励后扣除相应积分；
    2、积分可永久累积，可在白虎堂护卫处查看。

"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【家族战】家族战介绍	"<color=yellow>家族战介绍<color>

    <color=green>如何开启家族战？<color>
    1、<color=yellow>双方家族长组队<color>前往<color=yellow>公平子<color>处，由<color=yellow>队长选择<color>家族战，以及家族战的地点（如沙漠迷城地图）、时间，并确认同意，即发起家族战。之后由被挑战一方家族长确认同意，家族战即正式开始。
    2、家族战开始后有10分钟进场准备期，双方家族长可利用此时安排部署。

    注：开启家族战将<color=yellow>扣除双方20万银两家族资金<color>。

    <color=green>家族成员如何参与家族战？<color>
    1、家族正式成员和荣誉成员在开启家族战后，通过与公平子对话可进入准备场地。
    2、家族战正式开始后，侠士可以与<color=yellow>车夫<color>对话进入战斗场地，投入战斗。
    3、家族战场中可以按下<color=yellow> ~ 键<color>查看即时战报。

    <color=green>如何观战？<color>
    除参战家族成员以外，其他侠士可以在<color=yellow>公平子<color>处选择观战了。
    1、预订家族战时双方族长“<color=yellow>允许观战<color>”；
    2、开战后找公平子点击“<color=yellow>观看家族战<color>”，选择想看的家族战即可进入。

    注：每场家族战最多允许<color=yellow>15人<color>同时观看；
        家族战进行中时，您可<color=yellow>随时离开和进入<color>。
    
    <color=green>其他：<color>
    1、在战场中通过<color=yellow>达成连斩、累计重伤敌人达到一定数量<color>可获得<color=yellow>持续24小时<color>的特别称号！如下表：
              <table=0>
<tr=0,0,2,0,Orange><td=0,0,5,1>连斩数</td><td=0,0,5,1>称号</td><td=0,0,5,1>伤敌数</td><td=0,0,5,1>称号</td></tr>
<tr=0,0,1,1,hide><td>20</td><td>连刃斩</td><td>50</td><td>家族勇士</td></tr>
<tr=0,0,1,2,gray><td>50</td><td>斩三斩</td><td>100</td><td>家族精英</td></tr>
<tr=0,0,1,1,hide><td>100</td><td>百斩狂客</td><td>200</td><td>名门之后</td></tr>
<tr=0,0,1,2,gray><td>200</td><td>连斩之王</td><td>300</td><td>族中大侠</td></tr>
<tr=0,0,1,1,hide><td>300</td><td>连斩之神</td><td>500</td><td>族中神侠</td></tr>
</table>
    2、在公平子处可查询各自家族战的成绩。"		EndTag
【门派竞技】门派竞技新模式	"<color=yellow>门派竞技新模式<color>

    <color=green>简介：<color>
    1、门派竞技每<color=yellow>周二、周四<color>晚上19:30开始报名，20:00正式开始。
    2、<color=yellow>开放150等级上限的服务器，周四将启用门派竞技新模式<color>，周二与原先相同。
    3、每阶段所有参赛侠士结束战斗后可直接进入下一阶段无需等待。

    <color=green>门派竞技新模式<color>
    1、晋级赛阶段，诸位侠士将在多个场地中分为两个阵营对战。通过击败敌人获得积分，同时单场胜利一方阵营会有10%积分加成。
    2、缩短各阶段活动时间。

    <color=green>门派荣誉<color>
    1、<color=yellow>只有参与门派竞技才可获得门派荣誉<color>。在门派大师兄大师姐投票中，只有拥有门派荣誉的侠士才具有投票资格。每点荣誉等于一张选票。
    2、侠士的江湖威望达到可购买福利精活等级后，投票会有票数加成，最高50%。"		EndTag
【第七届跨服联赛】全服祝福	"<color=yellow>全服祝福<color>

    <color=green>简介<color>
    第七届跨服联赛隆重开启了！
    <color=yellow>在本届联赛期间，比赛期间非参赛选手仍然可以拿到丰厚奖励！<color>
    只要你为参赛选手送上祝福，越多支持与祝福，就有越多回报！

    <color=green>活动一<color>
    预赛期间，<color=yellow>江湖威望<color>达到本服<color=yellow>前5000名<color>的玩家可去临安府跨服联赛官员旁，敲响跨服联赛助威鼓，为参赛者加油，每天一次，每次可获得一张幸运卡，使用后有机会获得<color=yellow>绑金、高级玄晶！<color>

    <color=green>活动二<color>
    本大区本次联赛<color=yellow>所有选手的总积分最多的四个服务器<color>，还将获得“明星服务器”的称号，全服财富荣誉前5000名玩家共享祝福！（联赛积分可以找英雄岛的高级联赛官员查询）"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【第七届跨服联赛】双重大奖	"<color=yellow>双重大奖<color>

    1.<color=green>单场比赛奖励<color>：每场比赛打完，无论胜负平，参赛玩家都能获得奖励。

    2.<color=yellow>跨服三人组单人赛最终奖励<color>
              <color=yellow>黄金跨服联赛<color>三人组单人赛个人奖励（一）
        <table=0>
        <tr=0,0,2,0,Orange><td=0,0,5,1>战队排名</td><td=0,0,5,1>经验</td><td=0,0,5,1>荣誉</td><td=0,0,5,1>声望令牌（不绑定）</td></tr>
        <tr=,,,,hide><td>1</td><td>10000万经验</td><td>6000点</td><td>树立雕像的资格（3个月）</td></tr>
        <tr=,,,,gray><td>2</td><td>9000万经验</td><td>5600点</td><td>武林联赛黄金令牌5个</td></tr>
        <tr=,,,,hide><td>3</td><td>8000万经验</td><td>5400点</td><td>武林联赛黄金令牌4个</td></tr>
        <tr=,,,,gray><td>4</td><td>7000万经验</td><td>5200点</td><td>武林联赛黄金令牌3个</td></tr>
        <tr=,,,,hide><td>5—8</td><td>6000万经验</td><td>5000点</td><td>武林联赛黄金令牌2个</td></tr>
        <tr=,,,,gray><td>9—32</td><td>5000万经验</td><td>4500点</td><td>武林联赛黄金令牌1个</td></tr>
        <tr=,,,,hide><td>33—96</td><td>4000万经验</td><td>4000点</td><td>武林联赛白银令牌1个、黑铁令牌1个</td></tr>
        <tr=,,,,gray><td>97—256</td><td>3000万经验</td><td>3500点</td><td>武林联赛白银令牌1个</td></tr>
        <tr=,,,,hide><td>257—512</td><td>2400万经验</td><td>3000点</td><td>武林联赛青铜令牌1个</td></tr>
        <tr=,,,,hide><td>打满24场</td><td>2000万经验</td><td>2500点</td><td>武林联赛黑铁令牌1个</td></tr>
 </table>
    注意：树立雕像，就可以获得购买<color=yellow>120级马<color=yellow>的资格哦！

              <color=yellow>黄金跨服联赛<color>三人组单人赛个人奖励（二）
        <table=0>
        <tr=0,0,2,0,Orange><td=0,0,5,1>战队排名</td><td=0,0,5,1>获得材料</td><td=0,0,5,1>荣誉</td></tr>
        <tr=,,,,hide><td>1</td><td>开阳石120个</td><td>XX区三人单人赛冠军</td></tr>
        <tr=,,,,gray><td>2</td><td>开阳石90个</td><td>XX区三人单人赛亚军</td></tr>
        <tr=,,,,hide><td>3</td><td>开阳石60个</td><td>XX区三人单人赛季军</td></tr>
        <tr=,,,,gray><td>4</td><td>开阳石30个</td><td>XX区三人单人赛殿军</td></tr>
        <tr=,,,,hide><td>5—8</td><td>开阳石20个</td><td>XX区三人单人赛八强</td></tr>
        <tr=,,,,gray><td>9—32</td><td>开阳石15个</td><td>XX区三人单人赛32强</td></tr>
        <tr=,,,,hide><td>33—96</td><td>开阳石12个</td><td>XX区三人单人赛百强</td></tr>
        <tr=,,,,gray><td>97—256</td><td>开阳石8个</td><td>XX区三人单人赛高手</td></tr>
        <tr=,,,,hide><td>257—512</td><td>开阳石4个</td><td>XX区三人单人赛精英</td></tr>
        <tr=,,,,hide><td>打满24场</td><td>开阳石2个</td><td>无</td></tr>
 </table>
    注意：<color=red>未开放黄金跨服联赛的大区，高级跨服联赛的最终奖励和黄金跨服联赛的最终奖励一致；
         开放了黄金跨服联赛大区的黄金跨服联赛的最终奖励中301名到1500名将不设立奖励！<color>

              <color=yellow>黄金跨服联赛<color>三人组单人赛个人奖励（三）
        <table=0>
        <tr=0,0,2,0,Orange><td=0,0,5,1>战队排名</td><td=0,0,5,1>联赛智勇宝石原矿</td><td=0,0,5,1>兑换战功箱资格</td></tr>
        <tr=,,,,hide><td>1</td><td>80个</td><td>辉煌战功箱资格25个</td></tr>
        <tr=,,,,gray><td>2</td><td>50个</td><td>辉煌战功箱资格15个</td></tr>
        <tr=,,,,hide><td>3</td><td>40个</td><td>辉煌战功箱资格10个</td></tr>
        <tr=,,,,gray><td>4</td><td>30个</td><td>辉煌战功箱资格6个</td></tr>
        <tr=,,,,hide><td>5—8</td><td>27个</td><td>辉煌战功箱资格4个</td></tr>
        <tr=,,,,gray><td>9—32</td><td>24个</td><td>卓越战功箱资格85个</td></tr>
        <tr=,,,,hide><td>33—96</td><td>21个</td><td>卓越战功箱资格60个</td></tr>
        <tr=,,,,gray><td>97—256</td><td>18个</td><td>卓越战功箱资格40个</td></tr>
        <tr=,,,,hide><td>257—512</td><td>15个</td><td>卓越战功箱资格30个</td></tr>
        <tr=,,,,hide><td>打满24场</td><td>5个</td><td>卓越战功箱资格10个</td></tr>
 </table>

    凭<color=yellow>开阳石<color>与月影之石可以在跨服联赛报名官处换取到珍贵的<color=yellow>白玉<color>，每个白玉可增加100点跨服联赛声望。
    <color=yellow>跨服联赛声望达到友好可在跨服联赛报名官处购得白银玉佩：<color>
    男<item=2,11,711,10><item=2,11,713,10><item=2,11,715,10><item=2,11,717,10><item=2,11,719,10>
    女<item=2,11,712,10><item=2,11,714,10><item=2,11,716,10><item=2,11,718,10><item=2,11,720,10>
    <color=yellow>达到亲密可购得黄金玉佩：
    男<item=2,11,721,10><item=2,11,723,10><item=2,11,725,10><item=2,11,727,10><item=2,11,729,10>
    女<item=2,11,722,10><item=2,11,724,10><item=2,11,726,10><item=2,11,728,10><item=2,11,730,10><color>
    辉煌战功箱和卓越战功箱兑换可通过临安跨服联赛报名官处兑换，<color=yellow>100个月影石兑换1个辉煌战功箱，2个月影石兑换1个卓越战功箱<color>。

"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【家族资金】资金存取	"<color=yellow>资金存取<color>

    <color=green>如何存入家族资金？<color>
    1、<color=yellow>家族成员<color>打开家族界面选择<color=yellow>家族资金<color>，点击“存入”，输入存入金额后点击确定即可直接将<color=yellow>身上银两<color>存入家族资金。
    2、帮会拥有<color=yellow>操作资金权限长老<color>打开帮会界面选择帮会信息，点击“转存家族”，选择转入资金的家族并输入金额，其他拥有资金操作权限长老会收到系统信息，有<color=yellow>2名（包括2名）以上<color>长老同意，即可完成资金的转移。

注：1、帮会资金转入家族资金时向其他长老发出的确认信息只存在10分钟。过期如同意人数不够，则需要重新发起申请。
    2、帮会资金转入家族资金不需要支付税款。帮会资金转入家族成功后，<color=yellow>再次申请转入同一家族需要间隔6小时<color>。

    <color=green>如何取出家族资金？<color>
    1、<color=yellow>家族成员<color>打开家族界面选择<color=yellow>家族资金<color>，点击“取出”，输入金额后点击确定，家族长即收到该请求并决定是否同意。同意后家族成员即直接获得扣除税款后的银两。（<color=yellow>若家族长取出家族资金，则家族正式成员受到确认信息，2名或2名以上成员同意，则可取出。<color>）
    2、<color=yellow>家族长<color>打开家族界面选择家族资金，点击“转存帮会”，输入金额后确定即直接存入帮会资金。转存资金大于100W将会刷新公告并在帮会事件中记录。

注：1、家族成员申请取出家族资金最少需要间隔5分钟。
    2、家族资金转入帮会资金不需要支付税款，无次数限制，间隔时间为1分钟。"		EndTag
【家族资金】资金发放	"<color=yellow>资金发放<color>

    <color=green>何为出勤次数？<color>
    1、出勤次数为发放出勤奖励的依据，各家族可依据自身情况自行制定出勤次数考核标准。
    2、打开家族界面选择家族资金，可查看所有家族成员的出勤信息。<color=yellow>家族长、副家族长<color>选择家族成员后可在界面最下方增加/减少该成员出勤次数，并记录保存信息。

    <color=green>如何发放出勤奖励？<color>
    1、<color=yellow>家族长<color>打开家族界面选择家族资金，在“每人每次”后输入单次出勤奖励的银两数量。系统会自动计算出<color=yellow>所有家族成员出勤次数<color>以及发放出勤奖励需要的<color=yellow>总银两<color>。
    2、点击“<color=yellow>发放<color>”后，经过<color=yellow>2名或者2名以上家族正式成员<color>同意后，系统会为每位家族成员发送系统信件，依据各人的出勤次数获得相应的银两（需要缴付税款），同时扣除家族资金中相应的银两。"

注：出勤奖励发放需要<color=yellow>24小时<color>间隔，请各个家族依据自身情况合理安排。"		EndTag
【巾帼英雄赛】票选英雄	"<color=yellow>票选英雄<color>
    <color=green>如何获得参赛资格？<color>
    《剑侠世界》中所有女玩家皆可在<color=yellow>临安海选大使“丁丁”<color>处报名参加巾帼英雄美女海选，并获得“巾帼英雄候选人”称号。

    <color=green>如何为自己心中的巾帼英雄投票？<color>
    在<color=yellow>10月12日0:00~10月26日24:00<color>期间，所有玩家皆可使用<color=yellow>金珠玉翠<color>在丁丁处为选手投票，并有一定几率获得<color=yellow>彤管<color>（开启后有几率获得<color=yellow>玄晶<color>）回赠，惊喜多多。

    注：每位玩家最多可向25名候选人投票。

    <color=green>如何获得金珠玉翠？<color>
    参加<color=yellow>逍遥谷并通关，完成商会任务、军营剧情任务，通过白虎堂三层，参加联赛胜利，或者门派领取宝箱<color>都可以获得金珠玉翠。亦可在<color=yellow>奇珍阁<color>直接购买金珠玉翠。

    <color=green>参赛有何奖励？<color>
    票数499以上候选人可获得称号、面具、两枚10级玄晶等奖品，票数前十名可获得称号：<color=yellow>绝代佳人<color>，最新款的外装<color=yellow>暮光鎏霞<color>，以及<color=yellow>11级玄晶<color>一枚。各服票数第一名候选人获得称号：<color=yellow>国色天香<color>，最新款的外装<color=yellow>暮光鎏霞<color>，并且还有<color=yellow>白马以及12级玄晶<color>奖励。
    为票数前十名候选人投票最多的玩家也可获得10级玄晶、称号回报。

    <color=green>如何领奖？<color>
    <color=yellow>10月28日0:00~11月2日24:00<color>可在临安丁丁处领取奖励。"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【巾帼英雄赛】决胜擂台	"<color=yellow>决胜擂台<color>
    <color=green>如何参与擂台比赛？<color>
    所有巾帼英雄候选人都有参加比赛资格。与<color=yellow>临安海选大使“丁丁”<color>对话可进入比赛场地。与场内报名官对话报名参赛（每场比赛最多<color=yellow>400人<color>参赛）。候选人也可以作为观众进入场地观战，参与活动。其他玩家如果<color=yellow>赠送过10枚以上金珠玉翠<color>同样可获得观战资格。

    <color=green>何为“同系单人赛”？<color>
    1、10月19日与10月23日举行“同系单人赛”。每日19:30~20:00开始进入场地，报名。
    2、所有报名玩家将依据各自<color=yellow>五行属性<color>分在不同组别，通过混战、16强赛、8强赛、半决赛、决赛来决出当天的名次。

    <color=green>何为“混合单人赛”？<color>
    1、10月26日，10月28日，10月30日，10月31日举行“混合单人赛”。每日19:30~20:00开始报名。
    2、每位具有资格的玩家<color=yellow>只能参加四场中任意两场比赛<color>。比赛流程依旧为混战、16强赛、8强赛、半决赛、决赛。

    <color=green>参与擂台赛有何好处？<color>
    1、按照每天比赛排名，16强选手将有巾帼英雄赛宝箱领取。开启宝箱可获得<color=yellow>增加同伴亲密度道具、同伴经验书、玄晶<color>等物品，四强选手还会获得<color=yellow>真元<color>。
    2、参加“同系单人赛”和“混合单人赛”都会获得积分，各服积分前十的候选人将获得进入跨服决赛场地的资格。

    <color=green>详细奖励如下表：<color>          <table=0>
<tr=0,0,2,0,Orange><td=0,0,5,1>排名</td><td=0,0,5,1>同系单人赛积分</td><td=0,0,5,1>混合单人赛积分</td><td=0,0,5,1>奖励</td></tr>
<tr=0,0,1,1,hide><td>1</td><td>10</td><td>15</td><td>巾帼英雄赛宝箱（冠军）</td></tr>
<tr=0,0,1,2,gray><td>2</td><td>8</td><td>12</td><td>巾帼英雄赛宝箱（亚军）</td></tr>
<tr=0,0,1,1,hide><td>3~4</td><td>6</td><td>9</td><td>巾帼英雄赛宝箱（四强）</td></tr>
<tr=0,0,1,2,gray><td>5~8</td><td>4</td><td>6</td><td>巾帼英雄赛宝箱（八强）</td></tr>
<tr=0,0,1,1,hide><td>9~16</td><td>2</td><td>3</td><td>巾帼英雄赛宝箱（十六强）</td></tr>
<tr=0,0,1,2,gray><td>参加混战</td><td>1</td><td>1</td><td>无</td></tr>
</table>

    <color=green>如何领奖？<color>
    参赛玩家可依据自己的比赛排名在本次比赛结束前（当天22:00），前往赛场内“七七”处领取本次比赛奖励。"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【巾帼英雄赛】赛场活动	"<color=yellow>赛场活动<color>
    <color=green>何为“护花使者”活动？<color>
    1、在擂台观战的玩家，<color=yellow>混战结束后<color>可与场内NPC“七七”对话，可选择自己心仪的巾帼英雄，送上<color=yellow>红玫瑰<color>，依据该选手本次比赛的最终排名，若为冠军则有等同<color=yellow>3倍<color>送出红玫瑰价值的<color=yellow>绑金返还奖励<color>，亚军1.8倍，4强1.2倍，8强0.75倍。
    2、红玫瑰可在奇珍阁购买。

    <color=green>何为“抢宝箱”活动？<color>
    16强与8强赛结束后，NPC七七会化身为台上的获胜美女，同时场内刷出宝箱。玩家开启宝箱获得印有参赛者名字的卡片后与七七对话将会获得奖励。

    <color=green>何为冠军送礼活动？<color>
    每天比赛冠军产生后，在场地中央将会刷出冠军旗帜，冠军玩家点击旗帜后系统在领奖台周围刷新宝箱。开启宝箱有机会获得高级玄晶。"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【巾帼英雄赛】跨服决赛	"<color=yellow>跨服决赛<color>
    <color=green>如何参加跨服决赛？<color>
    1、在各服比赛中积分前十的玩家获得进入跨服巾帼英雄赛场的资格。同时送出199枚金珠玉翠的玩家和跨服英雄赛前5名粉丝也可进入决赛场地观战。
    2、19:30~20:00开始进场，20:00开始正式比赛。

    <color=yellow>注：场地面积有限，要把握机会尽早入场。<color>

    <color=green>跨服决赛流程为何？<color>
    1、跨服决赛采取混合单人赛的形式，通过混战、16强赛、8强赛、半决赛、决赛决出全区全服的巾帼英雄。
    2、跨服决赛进入十六强选手会有<color=yellow>24格背包、面具、光环<color>奖励。另外依据排名奖励<color=yellow>五色石<color>。如下表：
           <table=0><tr=0,0,2,0,Orange><td=0,0,5,1>名次</td><td=0,0,5,1>冠军</td><td=0,0,5,1>亚军</td><td=0,0,5,1>3~4名</td><td=0,0,5,1>5~8名</td><td=0,0,5,1>9~16名</td></tr>
<tr=0,0,1,1,hide><td>五色石/个</td><td>48</td><td>32</td><td>24</td><td>8</td><td>4</td></tr>
</table>
    凭<color=yellow>五色石与月影之石<color>可以在跨服联赛报名官处换取到珍贵的<color=yellow>噬魂珠<color>，噬魂珠可在跨服联赛商店购买<color=yellow>白玉以及同伴装备<color>，每个白玉可增加100点跨服联赛声望。

    <color=green>决赛场地活动：<color>
    1、在16强赛、8强赛、半决赛、决赛之后，同样会有护花使者、抢宝箱活动。
    2、红玫瑰需要消费跨服绑银才能购买，进场的玩家要预先准备好自己需要的跨服绑银（奇珍阁有售），返还奖励为绑金。

    <color=green>如何领取奖励？<color>
    11月9日0:00~11月14日23:59期间在各服务器临安丁丁处可领取奖励。

    <color=green>神秘NPC：<color>
    七大区的冠军中获得金珠玉翠最多的一位美女将成为游戏中NPC。"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【官府通缉】缉拿蚀月教徒	"<color=yellow>缉拿蚀月教徒<color>
    近日各地出现不少蚀月教徒，传播邪说异端，民众被其蛊惑。衙门悬赏缉拿蚀月教徒，众侠士可在<color=yellow>刑部捕头<color>处对话领取任务。

    <color=green>如何领取到任务？<color>
    1、只要你达到<color=yellow>100级<color>，完成了50级的主线任务，同时江湖威望达到20（参加各种系统活动均可增加江湖威望），就可以在<color=yellow>刑部捕头<color>处领取高级官府通缉任务。
    2、每天<color=yellow>12:00~2:00<color>可与刑部捕头对话接取任务。<color=yellow>若当天没有完成任务，则同样会扣除一次任务次数<color>。

    <color=green>击败蚀月教徒有何好处？<color>
    击败蚀月教徒后可在刑部捕头处换取<color=yellow>封印碎片<color>。每次随机获得五行属性封印碎片。

    <color=green>封印碎片有何用处？<color>
    消耗<color=yellow>1200点<color>精力、活力可将一套五行属性的封印碎片合称为<color=yellow>昏暗封印<color>。使用昏暗封印可将其封印解开，释放BOSS供侠士挑战。挑战胜利后会获得奖励。
    昏暗封印有机会召唤出逍遥谷高级BOSS，众侠士可把握机会将其说服为同伴。"		EndTag
【藏宝图】藏宝图副本	"<color=yellow>    【藏宝图副本新玩法】<enter><color>    武林江湖，风云变幻。江湖剑无数血雨腥风却不曾因时间的流逝而稍有减缓。但往往风险就伴随着收获。新改进的藏宝图系统将供诸位侠士挑战自我，挑战极限。<enter><enter>    <color=green>【新旧藏宝图副本有何异同？】<enter><color>    1、按“K”键打开活动日历中的副本界面可领取<color=yellow>每日藏宝图次数<color>，每周可领取2次通用次数，与<color=yellow>义军军需官<color>对话后直接进入（不同副本等级要求不同）。<enter>    2、之前各侠士手中的藏宝图副本令牌可右键点击使用变成相应的藏宝图挑战机会，无法作为从义军军需官处进入副本的凭证。<enter>    3、义军任务的藏宝图将不再产出藏宝图副本。<enter>    4、所有副本存在<color=yellow>2小时<color>，每天每位侠士最多挑战<color=yellow>10个副本。<enter><color><enter>    <color=green>【如何获得藏宝图次数？】<color><enter>    1、大于25级的侠士每周可在<color=yellow>活动日历界面<color>领取2次通用藏宝图挑战次数，每日可领取1次相应等级的挑战次数。具体见下表：<enter><color=yellow>    等级      令牌类型<enter><color>    25~69     碧落谷<enter><color=yellow>    50~69     龙门飞剑<enter><color>    70~89     大漠古城<color=yellow><enter><color>    <color=yellow>70~89     陶朱公遗冢<color><enter>    90~99     大漠古城\万花谷\千琼宫<color=yellow><enter><color>    <color=yellow>100以上   万花谷\千琼宫\龙门飞剑<enter><color>    <color=yellow>注：50级以下的<color>玩家，每日可以<color=yellow>领取2次<color>藏宝图挑战次数。<enter>    2、原义军任务、活跃度等奖励等奖励藏宝图途径取消（以同等价值量的奖励替换），现有藏宝图令牌右键点击可兑换成挑战次数；<enter>    3、侠客任务中有藏宝图副本的赠送一次藏宝图次数（无时限）。 <enter><enter>    <color=yellow>注：<color>所有藏宝图次数皆为<color=yellow>无时限<color>。每种藏宝图的挑战次数以及通用挑战次数<color=yellow>最多可累计20次。<enter><color><enter>    <color=green>【如何进入藏宝图副本？】<enter><color>     1、诸侠士等级大于25级，拥有藏宝图挑战次数，与义军军需官对话，选择副本与难度后即可进入副本，同时扣除一次相应藏宝图挑战次数（<color=yellow>优先扣除对应内容藏宝图次数<color>）<enter>     2、组队前往副本的侠士需要<color=yellow>队中成员皆有<color>相应的藏宝图挑战次数。<enter><enter>    <color=green>【藏宝图副本难度等级如下：】<enter><color>         <enter>         碧落谷<color=green>  <color><color=yellow>龙门飞剑  <color>大漠古城 <color=yellow>陶朱公墓冢 <color>万花谷  <color=yellow>千琼宫<enter><color><enter>★难度     25级<color=yellow>     50级      <color>70级<color=yellow>      70级    <color>90级<color=yellow>    90级<enter><color><enter>★★难度   50级<color=yellow>     100级     <color>80级 <color=yellow>     80级    <color>100级<color=yellow>   100级<enter><color><enter>★★★难度 130级<color=yellow>    130级     <color>130级<color=yellow>     130级   <color>130级<color=yellow>   130级<color><enter><enter>
"		EndTag
【藏宝图】藏宝图副本奖励	"<color=lightblue>藏宝图副本奖励<color>

