TaskId	TaskName	TaskType	Value1	Value2	Series	Num	ItemName	Suffix	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10	Level11
30023	收集1个儒巾·煌光	SearchItemBySuffix	70	750	0	1	儒巾	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30024	收集1个发钗·煌光	SearchItemBySuffix	70	750	0	1	发钗	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30025	收集1个精铁束发·煌光	SearchItemBySuffix	240	750	0	1	精铁束发	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30026	收集1个绿蝶玉带·煌光	SearchItemBySuffix	240	750	0	1	绿蝶玉带	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30027	收集1个满月笠·煌光	SearchItemBySuffix	240	750	0	1	满月笠	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30028	收集1个绿玉发带·煌光	SearchItemBySuffix	240	750	0	1	绿玉发带	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30029	收集1个逍遥巾·煌光	SearchItemBySuffix	240	750	0	1	逍遥巾	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30030	收集1个银铃钗·煌光	SearchItemBySuffix	240	750	0	1	银铃钗	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30031	收集1个双面盔·煌光	SearchItemBySuffix	540	750	0	1	双面盔	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30032	收集1个翡翠簪·煌光	SearchItemBySuffix	540	750	0	1	翡翠簪	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30033	收集1个玄纱巾·煌光	SearchItemBySuffix	540	750	0	1	玄纱巾	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30034	收集1个辟水发带·煌光	SearchItemBySuffix	540	750	0	1	辟水发带	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30035	收集1个金风冠·煌光	SearchItemBySuffix	540	750	0	1	金风冠	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30036	收集1个兽骨钗·煌光	SearchItemBySuffix	540	750	0	1	兽骨钗	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30037	收集1条粗麻腰带·煌光	SearchItemBySuffix	70	750	0	1	粗麻腰带	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30038	收集1条青布腰带·煌光	SearchItemBySuffix	70	750	0	1	青布腰带	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30039	收集1条缀甲腰带·煌光	SearchItemBySuffix	240	750	0	1	缀甲腰带	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30040	收集1条仕女腰带·煌光	SearchItemBySuffix	240	750	0	1	仕女腰带	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30041	收集1条青兽腰带·煌光	SearchItemBySuffix	540	750	0	1	青兽腰带	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30042	收集1条盘花腰带·煌光	SearchItemBySuffix	540	750	0	1	盘花腰带	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30043	收集1个铜护腕·煌光	SearchItemBySuffix	70	750	0	1	铜护腕	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30044	收集1个手镯·煌光	SearchItemBySuffix	240	750	0	1	手镯	煌光	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30045	收集1个北山护腕·煌光	SearchItemBySuffix	540	750	0	1	北山护腕	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30046	收集1个玉叶手镯·煌光	SearchItemBySuffix	70	750	0	1	玉叶手镯	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30047	收集1个棘墙护腕·煌光	SearchItemBySuffix	240	750	0	1	棘墙护腕	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30048	收集1个玲珑手镯·煌光	SearchItemBySuffix	540	750	0	1	玲珑手镯	煌光	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30049	收集1双长靴·延阳	SearchItemBySuffix	70	750	0	1	长靴	延阳	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30050	收集1双短靴·延阳	SearchItemBySuffix	70	750	0	1	短靴	延阳	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
30051	收集1双乌革靴·延阳	SearchItemBySuffix	200	750	0	1	乌革靴	延阳	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30052	收集1双金齿靴·延阳	SearchItemBySuffix	200	750	0	1	金齿靴	延阳	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30053	收集1双侍卫靴·延阳	SearchItemBySuffix	320	750	0	1	侍卫靴	延阳	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30054	收集1双百花靴·延阳	SearchItemBySuffix	320	750	0	1	百花靴	延阳	0	0	500	1000	1500	1500	1500	1500	1500	1500	1500
30055	收集1个铜指环·煌光	SearchItemBySuffix	105	750	0	1	铜指环	煌光	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
30056	收集1个侠少之戒·煌光	SearchItemBySuffix	405	750	0	1	侠少之戒	煌光	0	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000
30057	收集1个分水之戒·煌光	SearchItemBySuffix	975	750	0	1	分水之戒	煌光	0	0	400	800	1200	1200	1200	1200	1200	1200	1200
30058	收集1个兰花佩·煌光	SearchItemBySuffix	105	750	0	1	兰花佩	煌光	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
30059	收集1个熏衣香囊·煌光	SearchItemBySuffix	105	750	0	1	熏衣香囊	煌光	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
30060	收集1个荷叶佩·煌光	SearchItemBySuffix	405	750	0	1	荷叶佩	煌光	0	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000
30061	收集1个茉莉香囊·煌光	SearchItemBySuffix	405	750	0	1	茉莉香囊	煌光	0	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000
30062	收集1个鹿纹佩·煌光	SearchItemBySuffix	975	750	0	1	鹿纹佩	煌光	0	0	400	800	1200	1200	1200	1200	1200	1200	1200
30063	收集1个乳香香囊·煌光	SearchItemBySuffix	975	750	0	1	乳香香囊	煌光	0	0	400	800	1200	1200	1200	1200	1200	1200	1200
30064	收集1条水滴项链·煌光	SearchItemBySuffix	105	750	0	1	水滴项链	煌光	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
30065	收集1条虎睛项链·煌光	SearchItemBySuffix	405	750	0	1	虎睛项链	煌光	0	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000
30066	收集1条冰晶项链·煌光	SearchItemBySuffix	975	750	0	1	冰晶项链	煌光	0	0	400	800	1200	1200	1200	1200	1200	1200	1200
30067	收集1个护身符·煌光	SearchItemBySuffix	105	750	0	1	护身符	煌光	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
30068	收集1个玲珑符·煌光	SearchItemBySuffix	405	750	0	1	玲珑符	煌光	0	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000
30069	收集1个百锦符·煌光	SearchItemBySuffix	975	750	0	1	百锦符	煌光	0	0	400	800	1200	1200	1200	1200	1200	1200	1200
30070	收集1把单刀·飞燕	SearchItemBySuffix	450	750	0	1	单刀	飞燕	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000
30071	收集1条重木棍·飞燕	SearchItemBySuffix	450	750	0	1	重木棍	飞燕	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000
30072	收集1条长枪·煌光	SearchItemBySuffix	450	750	0	1	长枪	煌光	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000
30073	收集1把战锤·煌光	SearchItemBySuffix	450	750	0	1	战锤	煌光	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000
30074	收集1根粗布缠手·灵舞	SearchItemBySuffix	450	750	0	1	粗布缠手	灵舞	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000
30075	收集1把铜剑·飞燕	SearchItemBySuffix	450	750	0	1	铜剑	飞燕	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000
30076	收集1把鬼头刀·飞燕	SearchItemBySuffix	1500	750	0	1	鬼头刀	飞燕	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30077	收集1条齐眉棍·飞燕	SearchItemBySuffix	1500	750	0	1	齐眉棍	飞燕	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30078	收集1条红缨枪·煌光	SearchItemBySuffix	1500	750	0	1	红缨枪	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30079	收集1把八棱锤·煌光	SearchItemBySuffix	1500	750	0	1	八棱锤	煌光	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30080	收集1根罗汉缠手·灵舞	SearchItemBySuffix	1500	750	0	1	罗汉缠手	灵舞	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30081	收集1把松纹剑·飞燕	SearchItemBySuffix	1500	750	0	1	松纹剑	飞燕	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
30082	收集1把斩马刀·飞燕	SearchItemBySuffix	3600	750	0	1	斩马刀	飞燕	0	0	600	1200	1800	1800	1800	1800	1800	1800	1800
30083	收集1条四平棍·飞燕	SearchItemBySuffix	3600	750	0	1	四平棍	飞燕	0	0	600	1200	1800	1800	1800	1800	1800	1800	1800
30084	收集1条点钢枪·煌光	SearchItemBySuffix	3600	750	0	1	点钢枪	煌光	0	0	600	1200	1800	1800	1800	1800	1800	1800	1800
30085	收集1把五星锤·煌光	SearchItemBySuffix	3600	750	0	1	五星锤	煌光	0	0	600	1200	1800	1800	1800	1800	1800	1800	1800
30086	收集1根拳宗缠手·灵舞	SearchItemBySuffix	3600	750	0	1	拳宗缠手	灵舞	0	0	600	1200	1800	1800	1800	1800	1800	1800	1800
30087	收集1把七尺剑·飞燕	SearchItemBySuffix	3600	750	0	1	七尺剑	飞燕	0	0	600	1200	1800	1800	1800	1800	1800	1800	1800
