MapId	PosX	PosY
24	1772	3463
24	1769	3479
24	1768	3471
24	1763	3495
24	1769	3490
24	1766	3557
24	1770	3569
24	1766	3565
24	1775	3707
24	1767	3689
24	1789	3390
24	1782	3395
24	1778	3431
24	1784	3469
24	1778	3471
24	1787	3478
24	1787	3486
24	1790	3492
24	1790	3557
24	1789	3572
24	1784	3570
24	1783	3581
24	1776	3580
24	1777	3572
24	1784	3576
24	1785	3592
24	1778	3591
24	1785	3600
24	1788	3585
24	1791	3595
24	1785	3699
24	1791	3700
24	1789	3693
24	1778	3707
24	1783	3700
24	1787	3707
24	1790	3714
24	1784	3713
24	1798	3385
24	1793	3383
24	1799	3484
24	1796	3478
24	1802	3497
24	1807	3491
24	1802	3547
24	1806	3543
24	1797	3549
24	1798	3565
24	1792	3565
24	1798	3559
24	1798	3598
24	1799	3608
24	1805	3603
24	1802	3677
24	1794	3689
24	1801	3686
24	1799	3699
24	1807	3690
24	1808	3391
24	1814	3386
24	1810	3484
24	1822	3507
24	1811	3497
24	1808	3508
24	1821	3497
24	1818	3510
24	1821	3532
24	1815	3540
24	1808	3537
24	1818	3678
24	1809	3671
24	1811	3676
24	1822	3666
24	1815	3673
24	1818	3662
24	1814	3666
24	1823	3656
24	1811	3685
24	1824	3396
24	1837	3401
24	1829	3403
24	1836	3395
24	1833	3517
24	1826	3518
24	1833	3508
24	1827	3526
24	1828	3664
24	1826	3671
24	1836	3670
24	1845	3389
24	1843	3402
24	1850	3413
24	1844	3412
24	1852	3419
24	1854	3408
24	1847	3407
24	1846	3398
24	1840	3409
24	1843	3510
24	1852	3516
24	1841	3674
24	1842	3682
24	1854	3685
24	1849	3691
24	1851	3681
24	1867	3422
24	1859	3416
24	1864	3415
24	1858	3425
24	1858	3435
24	1869	3435
24	1864	3430
24	1870	3535
24	1862	3526
24	1858	3524
24	1866	3672
24	1867	3691
24	1856	3701
24	1864	3681
24	1860	3693
24	1860	3680
24	1864	3689
24	1884	3437
24	1886	3449
24	1881	3429
24	1876	3431
24	1878	3441
24	1877	3547
24	1875	3540
24	1887	3673
24	1883	3670
24	1879	3676
24	1879	3665
24	1886	3665
24	1874	3684
24	1872	3684
24	1880	3683
24	1894	3455
24	1895	3447
24	1891	3446
24	1901	3451
24	1891	3437
24	1893	3461
24	1903	3468
24	1900	3477
24	1899	3466
24	1902	3565
24	1897	3561
24	1888	3553
24	1895	3556
24	1902	3557
24	1896	3659
24	1888	3655
24	1889	3666
24	1896	3667
24	1892	3660
24	1893	3651
24	1905	3460
24	1914	3487
24	1906	3490
24	1918	3493
24	1918	3500
24	1914	3497
24	1915	3575
24	1908	3568
24	1917	3584
24	1911	3643
24	1911	3633
24	1910	3637
24	1918	3639
24	1914	3623
24	1918	3631
24	1909	3631
24	1907	3656
24	1904	3655
24	1908	3648
24	1925	3510
24	1926	3503
24	1932	3604
24	1927	3612
24	1927	3591
24	1930	3600
24	1923	3587
24	1927	3626
24	1921	3632
24	1927	3619
24	1922	3624
24	1936	3511
24	1939	3519
24	1951	3518
24	1950	3526
24	1944	3522
24	1944	3582
24	1947	3574
24	1936	3595
24	1940	3616
24	1962	3543
24	1955	3531
24	1957	3543
24	1967	3549
24	1967	3556
24	1954	3571
24	1959	3570
24	1957	3561
24	1973	3549
24	1969	3541
29	1436	3913
29	1437	3920
29	1443	3902
29	1448	3896
29	1450	3927
29	1442	3913
29	1445	3928
29	1442	3919
29	1468	3894
29	1457	3887
29	1465	3885
29	1464	3896
29	1469	3932
29	1464	3933
29	1471	3928
29	1457	3937
29	1474	3895
29	1476	3921
29	1477	3904
29	1480	3914
29	1486	3965
29	1482	3957
29	1486	3945
29	1488	3910
29	1498	3950
29	1493	3959
29	1489	3950
29	1490	3960
29	1497	3943
29	1491	3971
29	1499	3980
29	1509	3934
29	1514	3930
29	1519	3916
29	1515	3977
29	1509	3987
29	1518	3971
29	1511	4090
29	1514	4083
29	1517	4103
29	1534	3834
29	1534	3827
29	1535	3908
29	1527	3914
29	1531	3929
29	1531	4070
29	1535	4064
29	1520	4078
29	1529	4083
29	1522	4069
29	1547	3833
29	1542	3839
29	1542	3829
29	1551	3840
29	1545	3841
29	1551	3892
29	1541	3894
29	1545	3903
29	1539	3902
29	1536	3893
29	1540	3941
29	1536	3952
29	1536	3939
29	1546	4056
29	1548	4042
29	1541	4061
29	1539	4056
29	1539	4073
29	1566	3860
29	1558	3858
29	1559	3848
29	1553	3850
29	1565	3872
29	1561	3881
29	1559	3889
29	1554	3886
29	1553	3902
29	1554	4044
29	1563	4033
29	1560	4047
29	1559	4033
29	1552	4053
29	1572	4042
29	1578	4053
29	1582	4046
29	1583	4064
29	1585	3849
29	1587	3861
29	1596	3857
29	1593	3848
29	1596	3841
29	1598	3850
29	1584	4055
29	1599	4063
29	1591	4065
29	1594	4074
29	1614	3775
29	1610	3781
29	1608	3831
29	1602	3836
29	1614	3824
29	1604	3848
29	1610	3842
29	1613	4034
29	1612	4043
29	1601	4073
29	1611	4085
29	1603	4081
29	1612	4093
29	1622	3774
29	1617	3765
29	1622	3803
29	1629	3807
29	1628	3797
29	1628	3779
29	1617	3818
29	1625	3823
29	1619	3832
29	1623	3816
29	1631	3813
29	1619	3809
29	1620	4037
29	1619	4049
29	1631	4058
29	1628	4056
29	1616	4080
29	1619	4089
29	1618	4099
29	1623	4097
29	1647	3772
29	1635	3798
29	1636	3791
29	1638	3784
29	1634	3787
29	1642	3799
29	1644	3783
29	1641	3779
29	1647	3810
29	1643	3810
29	1634	4050
29	1642	4061
29	1643	4071
29	1647	4067
29	1656	3762
29	1648	3766
29	1654	3771
29	1661	3764
29	1661	3753
29	1652	3806
29	1657	3818
29	1661	3826
29	1661	3815
29	1649	4060
29	1653	4070
29	1661	4070
29	1649	4078
29	1663	4067
29	1665	3758
29	1665	3821
29	1678	3835
29	1670	3831
29	1678	3843
29	1668	3971
29	1671	3981
29	1674	3976
29	1664	4054
29	1672	4050
29	1674	4062
29	1674	4046
29	1679	4056
29	1688	3839
29	1692	3853
29	1687	3846
29	1690	3994
29	1682	3988
29	1680	3982
29	1692	4044
29	1687	4050
29	1692	4038
29	1686	4044
29	1703	3857
29	1697	3851
29	1696	3863
29	1699	3860
29	1710	3869
29	1706	3866
29	1696	3998
29	1709	4013
29	1708	4031
29	1709	4022
29	1703	4011
29	1707	4005
29	1701	4005
29	1703	4033
29	1697	4042
29	1699	4033
29	1696	4037
29	1722	3883
29	1720	3875
29	1727	3965
29	1724	3968
29	1712	4024
29	1730	3882
29	1733	3895
29	1739	3896
29	1731	3889
29	1742	3905
29	1732	3959
29	1741	3952
29	1736	3954
29	1741	3940
29	1744	3898
29	1755	3912
29	1750	3907
29	1746	3945
29	1766	3923
