Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	StrInitMin	StrInitMax	StrAptMin	StrAptMax	DexInitMin	DexInitMax	DexAptMin	DexAptMax	VitInitMin	VitInitMax	VitAptMin	VitAptMax	EngInitMin	EngInitMax	EngAptMin	EngAptMax	SkillID1	SkillID2	SkillID3	SkillID4	UnLockInterval	FightPower
刀翠烟初级秘籍	刀翠烟初级秘籍	1	1	14	12	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											640	960	64	96	320	480	32	48	640	960	64	96	0	0	0	0	10					1
掌丐帮初级秘籍	掌丐帮初级秘籍	1	1	14	13	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											0	0	0	0	0	0	0	0	800	1200	80	120	800	1200	80	120	10					1
棍丐帮初级秘籍	棍丐帮初级秘籍	1	1	14	14	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											800	1200	80	120	320	480	32	48	480	720	48	72	0	0	0	0	10					1
战天忍初级秘籍	战天忍初级秘籍	1	1	14	15	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											480	720	48	72	320	480	32	48	800	1200	80	120	0	0	0	0	10					1
魔天忍初级秘籍	魔天忍初级秘籍	1	1	14	16	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											0	0	0	0	0	0	0	0	800	1200	80	120	800	1200	80	120	10					1
气武当初级秘籍	气武当初级秘籍	1	1	14	17	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											0	0	0	0	0	0	0	0	800	1200	80	120	800	1200	80	120	10					1
剑武当初级秘籍	剑武当初级秘籍	1	1	14	18	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											640	960	64	96	160	240	16	24	160	240	16	24	640	960	64	96	10					1
刀昆仑初级秘籍	刀昆仑初级秘籍	1	1	14	19	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											800	1200	80	120	320	480	32	48	480	720	48	72	0	0	0	0	10					1
剑昆仑初级秘籍	剑昆仑初级秘籍	1	1	14	20	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											0	0	0	0	0	0	0	0	800	1200	80	120	800	1200	80	120	10					1
锤明教初级秘籍	锤明教初级秘籍	1	1	14	21	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											640	960	64	96	320	480	32	48	640	960	64	96	0	0	0	0	10					1
剑明教初级秘籍	剑明教初级秘籍	1	1	14	22	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											0	0	0	0	0	0	0	0	800	1200	80	120	800	1200	80	120	10					1
指段氏初级秘籍	指段氏初级秘籍	1	1	14	23	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											640	960	64	96	320	480	32	48	640	960	64	96	0	0	0	0	10					1
气段氏初级秘籍	气段氏初级秘籍	1	1	14	24	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											0	0	0	0	0	0	0	0	800	1200	80	120	800	1200	80	120	10					1
剑古墓初级秘籍	剑古墓初级秘籍	1	1	14	25	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											640	960	64	96	480	720	48	72	0	0	0	0	480	720	48	72	10					1
针古墓初级秘籍	针古墓初级秘籍	1	1	14	26	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter><color=gold>门派掌门<color=gold>处可领取。		0		10000			1		book																																																																									5	20																																																											0	0	0	0	480	720	48	72	320	480	32	48	800	1200	80	120	10					1
刀少林中级秘籍	刀少林中级秘籍	1	1	14	1	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	480	720	48	72	960	1440	96	144	0	0	0	0	1200					2
棍少林中级秘籍	棍少林中级秘籍	1	1	14	2	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											720	1080	72	108	720	1080	72	108	960	1440	96	144	0	0	0	0	1201					2
枪天王中级秘籍	枪天王中级秘籍	1	1	14	3	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	720	1080	72	108	720	1080	72	108	0	0	0	0	1202					2
锤天王中级秘籍	锤天王中级秘籍	1	1	14	4	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	240	360	24	36	1200	1800	120	180	0	0	0	0	1202					2
陷阱唐门中级秘籍	陷阱唐门中级秘籍	1	1	14	5	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	1200	1800	120	180	1200	1800	120	180	0	0	0	0	1203					2
袖箭唐门中级秘籍	袖箭唐门中级秘籍	1	1	14	6	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	1200	1800	120	180	1200	1800	120	180	0	0	0	0	1204					2
刀五毒中级秘籍	刀五毒中级秘籍	1	1	14	7	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											1200	1800	120	180	480	720	48	72	720	1080	72	108	0	0	0	0	1205					2
掌五毒中级秘籍	掌五毒中级秘籍	1	1	14	8	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1206					2
掌峨嵋中级秘籍	掌峨嵋中级秘籍	1	1	14	9	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1207					2
辅助峨嵋中级秘籍	辅助峨嵋中级秘籍	1	1	14	10	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1208					2
剑翠烟中级秘籍	剑翠烟中级秘籍	1	1	14	11	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1209					2
刀翠烟中级秘籍	刀翠烟中级秘籍	1	1	14	12	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	480	720	48	72	960	1440	96	144	0	0	0	0	1210					2
掌丐帮中级秘籍	掌丐帮中级秘籍	1	1	14	13	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1211					2
棍丐帮中级秘籍	棍丐帮中级秘籍	1	1	14	14	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											1200	1800	120	180	480	720	48	72	720	1080	72	108	0	0	0	0	1212					2
战天忍中级秘籍	战天忍中级秘籍	1	1	14	15	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											720	1080	72	108	480	720	48	72	1200	1800	120	180	0	0	0	0	1213					2
魔天忍中级秘籍	魔天忍中级秘籍	1	1	14	16	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1214					2
气武当中级秘籍	气武当中级秘籍	1	1	14	17	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1215					2
剑武当中级秘籍	剑武当中级秘籍	1	1	14	18	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	240	360	24	36	240	360	24	36	960	1440	96	144	1216					2
刀昆仑中级秘籍	刀昆仑中级秘籍	1	1	14	19	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											1200	1800	120	180	480	720	48	72	720	1080	72	108	0	0	0	0	1217					2
剑昆仑中级秘籍	剑昆仑中级秘籍	1	1	14	20	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1218					2
锤明教中级秘籍	锤明教中级秘籍	1	1	14	21	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	480	720	48	72	960	1440	96	144	0	0	0	0	1219					2
