Kind	Name	FactionId	RouteId	Skill10	Skill20	Skill30	Skill40	Skill50	Skill60	Skill70	Skill80	Skill90	Skill100	Skill110	Skill120	Skill130	Skill140	Skill150	LeftSkill	RightSkill
89	剑武当	9	2	20|4	10	10|5	20	20|3	10	20|6	10	0	0	0	0	0	0	0	50	-1
89	刀昆仑	10	1	20|4	10	10	20|6	20|3	10|5	20|7	10	0	0	0	0	0	0	0	50	-1
89	剑昆仑	10	2	20|4	10	10	20|6	20|3	10|5	20|7	10	0	0	0	0	0	0	0	50	-1
89	锤明教	11	1	20|4	10	10	20|5	20|3	10|6	20	10	0	0	0	0	0	0	0	50	-1
89	剑明教	11	2	20|4	10	10	20	20|3	10|5	20	10	0	0	0	0	0	0	0	50	-1
89	指段氏	12	1	20|4	10	10|5	20|6	20|3	10	20	10	0	0	0	0	0	0	0	50	-1
89	气段氏	12	2	20|4	10	10|5	20|6	20|3	10	20	10	0	0	0	0	0	0	0	50	-1
110	刀少林	1	1	1|5	10	10	20|7	1|4	10	17|6	20	20|3	10	0	0	0	0	0	90	-1
110	棍少林	1	2	1|5	10	10|6	20|7	1|4	7	20	20	20|3	10	0	0	0	0	0	90	-1
110	枪天王	2	1	1|5	10	10|7	17	1|4	10	20|6	20	20|3	10	0	0	0	0	0	90	-1
110	锤天王	2	2	1|5	10	10|7	17	1|4	10	20|6	20	20|3	10	0	0	0	0	0	90	-1
110	陷阱唐门	3	1	20|5	10	10|7	0	20|4	0	9|6	20	20|3	10	0	0	0	0	0	90	-1
110	袖箭唐门	3	2	1|5	10	10|6	20|7	1|4	10|8	20	17	20|3	10	0	0	0	0	0	90	-1
110	刀五毒	4	1	1|5	10	10|7	20	1|4	10|6	20|8	17	20|3	10	0	0	0	0	0	90	-1
110	掌五毒	4	2	1|5	10	10	18	20|4	10	0	20	20|3	10	0	0	0	0	0	90	-1
110	掌峨嵋	5	1	1|5	10	10	20	1|4	10	17	20	20|3	10	0	0	0	0	0	90	-1
110	辅助峨嵋	5	2	20|3	10	10|4	20	20|6	0	9|5	0	20	10	0	0	0	0	0	10	-1
110	剑翠烟	6	1	1|5	10	10	17|6	1|4	10	20	20	20|3	10	0	0	0	0	0	90	-1
110	刀翠烟	6	2	17|5	10	10|6	20|7	1|4	10	20	1	20|3	10	0	0	0	0	0	90	-1
110	掌丐帮	7	1	1|5	10	10	1|6	17|4	10|7	20	20	20|3	10	0	0	0	0	0	90	-1
110	棍丐帮	7	2	1|5	10	10	17|6	1|4	10|7	20	20	20|3	10	0	0	0	0	0	90	-1
110	战天忍	8	1	1|5	10	0	20	8|4	10|6	20|7	20	20|3	10	0	0	0	0	0	90	-1
110	魔天忍	8	2	1|5	10	10|6	20	8|4	10|7	10|8	20	20|3	10	0	0	0	0	0	90	-1
110	气武当	9	1	1|5	10	7|7	20	1|4	10|6	20|8	20	20|3	10	0	0	0	0	0	90	-1
110	剑武当	9	2	1|5	10	7|6	20	1|4	10	20|7	20	20|3	10	0	0	0	0	0	90	-1
110	刀昆仑	10	1	1|5	10	10	20|7	1|4	10|6	20|8	17	20|3	10	0	0	0	0	0	90	-1
110	剑昆仑	10	2	1|5	10	10	16|7	20|4	1|6	20|8	11	20|3	10	0	0	0	0	0	90	-1
110	锤明教	11	1	1|5	10	1|6	20	7|4	10|7	20	20	20|3	10	0	0	0	0	0	90	-1
110	剑明教	11	2	1|5	10	10	18	20|4	10|6	0	20	20|3	10	0	0	0	0	0	90	-1
110	指段氏	12	1	1|5	10	10|6	20|7	1|4	10	17	20	20|3	10	0	0	0	0	0	90	-1
110	气段氏	12	2	1|5	10	10|6	8|7	20|4	0	20	20	20|3	10	0	0	0	0	0	90	-1
119	刀少林	1	1	0	10	10	20|9	0	10	20|8	20	20|2	10	10	0	0	0	0	90	-1
119	棍少林	1	2	0	10	10|3	20|9	0	10	20	20	20|2	10	10|5	0	0	0	0	90	110
119	枪天王	2	1	0	10	10|3	20	0	10	20|8	20	20|2	10	10|5	0	0	0	0	90	30
119	锤天王	2	2	0	10	10	20	0	10	20|8	20	20|2	10	10|3	0	0	0	0	90	30
119	陷阱唐门	3	1	20|2	10	10	20|3	1	10|7	8|6	20	20|5	10	7	0	0	0	0	50	30
119	袖箭唐门	3	2	0	10	10|3	20	0	10	20	20	20|2	10	10	0	0	0	0	90	-1
119	刀五毒	4	1	0	10	10|9	20	0	10	20	20	20|2	10	10	0	0	0	0	90	110
119	掌五毒	4	2	0	10	10	20	0	10	20	20	20|2	10	10|3	0	0	0	0	90	110
119	掌峨嵋	5	1	0	10	10|3	20|9	0	10	20	20	20|2	10	10|8	0	0	0	0	90	120
119	辅助峨嵋	5	2	0	1	10|3	20	20|9	0	20	20	20	10	10|2	0	0	0	0	110	50
119	剑翠烟	6	1	0	10	10	20|8	0	10	20|9	20	20|2	10	10|5	0	0	0	0	90	-1
119	刀翠烟	6	2	0	10	10|3	20	0	10	20	20	20|2	10	10	0	0	0	0	90	40
119	掌丐帮	7	1	0	10	10	15|8	7|2	10|5	20	20	20|3	10	10	0	0	0	0	90	-1
119	棍丐帮	7	2	0	10	10	20|8	0	10|3	20	20	20	10	10|2	0	0	0	0	90	110
119	战天忍	8	1	0	10	10	20	0	10	20|3	20	20|2	10	10|5	0	0	0	0	90	30
119	魔天忍	8	2	1|2	10	10|5	20	0	10|5	20|6	20	20|3	10	10	0	0	0	0	90	70
119	气武当	9	1	0	10	6|8	20	0	10|3	20|9	20	20|2	10	10	0	0	0	0	90	120
119	剑武当	9	2	0	10	4|8	20	0	10	20|9	20	20|2	10	10	0	0	0	0	90	-1
119	刀昆仑	10	1	0	10	10	20|8	0	10|6	20|7	20	20|2	10	10|9	0	0	0	0	90	-1
119	剑昆仑	10	2	1	10	10	1|8	20|2	10|5	20|7	20	20|3	10	10|9	0	0	0	0	10	50
119	锤明教	11	1	0	10	1|3	20	20|5	10|8	11	20	20|2	10	10	0	0	0	0	90	50
119	剑明教	11	2	1	10	10	20	1|2	10|6	20	20	20|3	10	10|5	0	0	0	0	10	70
119	指段氏	12	1	0	10	10	20|3	0	10	20	20	20|2	10	10	0	0	0	0	90	30
119	气段氏	12	2	20	10	10|9	1|8	15|2	0	20	20	20|5	10	6	0	1	0	0	90	110
119	剑古墓	13	1	0	10	10	20|8	0	10	20	20	20|2	10	10|3	0	0	0	0	90	30
119	针古墓	13	2	0	10	10	10	10	0	15	10|3	20	5|6	10|2	20	5|7	10|5	0	90	30
129	刀少林	1	1	0	10	10	20|9	0	10	20|8	20	20|2	10	10	10	0	0	0	90	-1
129	棍少林	1	2	0	10	10|3	20|9	0	10	20	20	20|2	10	10|5	10	0	0	0	90	110
129	枪天王	2	1	0	10	10|3	20	0	10	20|8	20	20|2	10	10|5	10|6	0	0	0	90	30
129	锤天王	2	2	0	10	10	20	0	10	20|8	20	20|2	10	10|3	10|7	0	0	0	90	30
129	陷阱唐门	3	1	20|2	10	10	20|3	1	10|7	8|6	20	20|5	10	7	10|8	0	0	0	50	30
129	袖箭唐门	3	2	0	10	10|3	20	0	10	20	20	20|2	10	10	10	0	0	0	90	-1
129	刀五毒	4	1	0	10	10|9	20	0	10	20	20	20|2	10	10	10|3	0	0	0	90	110
129	掌五毒	4	2	0	10	10	20	0	10	20	20	20|2	10	10|3	10|5	0	0	0	90	110
129	掌峨嵋	5	1	0	10	10|3	20|9	0	10	20	20	20|2	10	10|8	10	0	0	0	90	120
129	辅助峨嵋	5	2	0	1	10|3	20	20|9	0	20	20	20	10	10|2	10|7	0	0	0	110	50
129	剑翠烟	6	1	0	10	10	20|8	0	10	20|9	20	20|2	10	10|5	10|3	0	0	0	90	-1
129	刀翠烟	6	2	0	10	10|3	20	0	10	20	20	20|2	10	10	10|7	0	0	0	90	40
129	掌丐帮	7	1	0	10	10	15|8	7|2	10|5	20	20	20|3	10	10	10	0	0	0	90	-1
129	棍丐帮	7	2	0	10	10	20|8	0	10|3	20	20	20	10	10|2	10|7	0	0	0	90	110
129	战天忍	8	1	0	10	10	20	0	10	20|3	20	20|2	10	10|5	10	0	0	0	90	30
129	魔天忍	8	2	1|2	10	10|5	20	0	10|5	20|6	20	20|3	10	10	10|8	0	0	0	90	70
129	气武当	9	1	0	10	6|8	20	0	10|3	20|9	20	20|2	10	10	10|5	0	0	0	90	120
129	剑武当	9	2	0	10	4|8	20	0	10	20|9	20	20|2	10	10	10|3	0	0	0	90	-1
129	刀昆仑	10	1	0	10	10	20|8	0	10|6	20|7	20	20|2	10	10|9	10	0	0	0	90	-1
129	剑昆仑	10	2	1	10	10	1|8	20|2	10|5	20|7	20	20|3	10	10|9	10	0	0	0	10	50
129	锤明教	11	1	0	10	1|3	20	20|5	10|8	11	20	20|2	10	10	10	0	0	0	90	50
129	剑明教	11	2	1	10	10	20	1|2	10|6	20	20	20|3	10	10|5	10	0	0	0	10	70
129	指段氏	12	1	0	10	10	20|3	0	10	20	20	20|2	10	10	10	0	0	0	90	30
129	气段氏	12	2	20	10	10|9	1|8	15|2	0	20	20	20|5	10	6	9|3	1	0	0	90	110
129	剑古墓	13	1	0	10	10	20|8	0	10	20	20	20|2	10	10|3	10|5	0	0	0	90	30
129	针古墓	13	2	0	10	10	10	10	0	15	10|3	20	5|6	10|2	20	5|7	10|5	5|8	90	30
