Id	Index	Class	Level	Desc	Value	Type	Param1	Param2	Effect
8	7	2	60	防具+12优惠券	2650	Item	18,1,1497,1,1	18,1,1497,1,1	8
8	8	2	60	绑金3000	300	BindCoin	3000		
9	1	1	70	武器	350	CustomEquip	90		
9	2	1	70	7级玄晶*2	450	Item	18,1,114,7,2	18,1,114,7,2	
9	3	1	70	绑金3000	300	BindCoin	3000		
9	4	1	70	7级玄晶优惠券*2	300	Item	18,1,394,1,2	18,1,394,1,2	
9	5	1	70	首饰+12优惠券	4000	Item	18,1,1797,1,1	18,1,1797,1,1	8
9	6	2	70	绑金3000	300	BindCoin	3000		
9	7	2	70	防具+14优惠券	5000	Item	18,1,1796,2,1	18,1,1796,2,1	9
10	1	1	80	赤兔（7天）	490	Item	1,12,10,4,1,1,10080	1,12,10,4,1,1,10080	
10	2	1	80	7级玄晶*2	450	Item	18,1,114,7,2	18,1,114,7,2	
10	3	1	80	7级玄晶优惠券*3	450	Item	18,1,394,1,3	18,1,394,1,3	
10	4	1	80	防具+14优惠券	4970	Item	18,1,1796,2,1	18,1,1796,2,1	9
10	5	1	80	随机面具	200	Item	18,1,1799,1,1,1,43200	18,1,1799,2,1,1,43200	
10	6	1	80	武器+13优惠券	13230	Item	18,1,1795,1,1	18,1,1795,1,1	9
10	7	1	80	首饰+14优惠券	7450	Item	18,1,1498,1,1	18,1,1498,1,1	9
10	8	1	80	武器	500	CustomEquip	60		
11	1	1	90	腰带	2320	CustomEquip	84		
11	2	1	90	9级玄晶优惠券*2	2000	Item	18,1,395,1,2	18,1,395,1,2	
11	3	1	90	初级祈福令牌*3	560	Item	18,1,212,1,3	18,1,212,1,3	
11	4	1	90	首饰+14优惠券	7450	Item	18,1,1498,1,1	18,1,1498,1,1	9
11	5	1	90	8级玄晶*2	1800	Item	18,1,114,8,2	18,1,114,8,2	
11	6	1	90	绑银360000	180	BindMoney	360000	360000	
12	1	1	95	百炼强身丸*3	240	Item	18,1,468,1,3	18,1,468,1,3	
12	2	1	95	中级祈福令牌*2	3000	Item	18,1,212,2,2	18,1,212,2,2	
12	3	1	95	8级玄晶*2	1800	Item	18,1,114,8,2	18,1,114,8,2	
12	4	1	95	绑银50W	250	BindMoney	500000		
13	1	1	100	9级玄晶*1	2880	Item	18,1,1,9,1	18,1,1,9,1	
13	2	1	100	穿珠银帖*2	200	Item	18,1,541,6,2	18,1,541,6,2	
13	3	1	100	游龙阁开心蛋（绑定）*1	200	Item	18,1,525,2,1	18,1,525,2,1	
13	4	1	100	高级阵法（7天）*1	3340	Item	18,1,1803,1,1,1,10080	18,1,1803,1,1,1,10080	
13	5	1	100	中级精魄*2	400	Item	18,1,544,6,2	18,1,544,6,2	
13	6	1	100	情·真爱永恒	600	Item	18,1,1659,1,1	18,1,1659,1,1	
13	7	1	100	吉祥虎（7天）	990	Item	1,12,27,4,1,1,10080	1,12,27,4,1,1,10080	
14	1	1	110	110级武学秘籍	680	Item	18,1,1837,1,1,1,43200	18,1,1837,1,1,1,43200	9
14	2	1	110	9级玄晶*1	2880	Item	18,1,1,9,1,1	18,1,1,9,1,1	
14	3	1	110	百炼强身丸*2	180	Item	18,1,468,1,2,1	18,1,468,1,2,1	
14	4	1	110	缘·心如海*1（30天）	1000	Item	1,1,101,2,1,1,43200	1,1,101,2,1,1,43200	
14	5	2	110	跟宠（7天）	990	Item	18,1,1838,1,1,1,10080	18,1,1838,1,1,1,10080	
14	6	2	110	绝世雪羽（3天）	1190	Item	1,12,63,4,1,1,4320	1,12,63,4,1,1,4320	
14	7	2	110	9级玄晶*1	2880	Item	18,1,1,9,1	18,1,1,9,1	
