TaskId	TaskName	TaskType	MapId	PosX	PosY	MapName	NpcId	Num	LevelSeg	ActionKind	RandCallBoss	BossId
50081	燕流笙	KillNpc	106	1719	3822	九嶷溪	3075	1	3	1		
50082	阳风逸	KillNpc	106	1920	3740	九嶷溪	3076	1	3	0		
50083	谢仲侯	KillNpc	106	1847	3285	九嶷溪	3077	1	3	0		
50084	叶浩龙	KillNpc	106	1731	3489	九嶷溪	3078	1	3	0		
50085	耶律铁刺	KillNpc	107	1922	3698	龙门石窟	3079	1	4	1		
50086	章元崇	KillNpc	107	1778	3829	龙门石窟	3080	1	4	0		
50087	郑九公	KillNpc	107	1708	3301	龙门石窟	3081	1	4	0		
50088	郑卓群	KillNpc	107	1883	3293	龙门石窟	3082	1	4	0		
50089	没藏武	KillNpc	108	1885	3289	西夏皇陵	3083	1	4	1		
50090	莫南竹	KillNpc	108	1787	2916	西夏皇陵	3084	1	4	0		
50091	黄万劫	KillNpc	108	1931	2843	西夏皇陵	3085	1	4	0		
50092	轻轻儿	KillNpc	108	2001	3021	西夏皇陵	3086	1	4	0		
50093	莫小小	KillNpc	109	1823	3888	黄鹤楼	3087	1	4	1		
50094	潘守安	KillNpc	109	1821	3474	黄鹤楼	3088	1	4	0		
50095	丛无影	KillNpc	109	1886	3327	黄鹤楼	3089	1	4	0		
50096	邓安奎	KillNpc	109	1646	3301	黄鹤楼	3090	1	4	0		
50097	辜无常	KillNpc	110	1323	3055	荐菊洞	3091	1	4	1		
50098	古清扬	KillNpc	110	1586	3276	荐菊洞	3092	1	4	0		
50099	关子漠	KillNpc	110	1642	2944	荐菊洞	3093	1	4	0		
50100	何连素	KillNpc	110	1380	3000	荐菊洞	3094	1	4	0		
50101	周尘飞	KillNpc	111	1709	3209	剑门关	3095	1	4	1		
50102	周楚伯	KillNpc	111	1962	3225	剑门关	3096	1	4	0		
50103	诸葛惊鸿	KillNpc	111	1938	3698	剑门关	3097	1	4	0		
50104	风无痕	KillNpc	111	1622	3637	剑门关	3098	1	4	0		
50105	甘正孤	KillNpc	112	1598	3720	天龙寺	3099	1	4	1		
50106	耿容复	KillNpc	112	1631	3323	天龙寺	3100	1	4	0		
50107	沽誉叟	KillNpc	112	1847	3357	天龙寺	3101	1	4	0		
50108	段凌月	KillNpc	112	1793	3756	天龙寺	3102	1	4	0		
50109	范朝霜	KillNpc	113	1740	3702	帮源秘洞	3103	1	4	1		
50110	方大舟	KillNpc	113	1750	3198	帮源秘洞	3104	1	4	0		
50111	冯双翼	KillNpc	113	1495	3307	帮源秘洞	3105	1	4	0		
50112	傅修文	KillNpc	113	1405	3495	帮源秘洞	3106	1	4	0		
50113	旭日干	KillNpc	114	1617	3744	敕勒川	3107	1	5	1		
50114	查干巴拉	KillNpc	114	1736	3228	敕勒川	3108	1	5	0		
50115	哈尔巴拉	KillNpc	114	1838	3766	敕勒川	3109	1	5	0		
50116	苏赫巴鲁	KillNpc	114	1926	3232	敕勒川	3110	1	5	0		
50117	狂风沙	KillNpc	115	1489	2902	嘉峪关	3111	1	5	1		
50118	马万虬	KillNpc	115	1512	3177	嘉峪关	3112	1	5	0		
50119	哥舒漠	KillNpc	115	1642	3267	嘉峪关	3113	1	5	0		
50120	楚飞鹰	KillNpc	115	1779	2921	嘉峪关	3114	1	5	0		
50121	令狐瞻	KillNpc	116	1599	3670	华山	3115	1	5	1		
50122	岳冷禅	KillNpc	116	1700	3490	华山	3116	1	5	0		
50123	封之谷	KillNpc	116	1821	3234	华山	3117	1	5	0		
50124	宁浣浣	KillNpc	116	1856	3589	华山	3118	1	5	0		
50125	牛震山	KillNpc	117	1622	2919	蜀冈秘境	3119	1	5	1		
50126	元十二	KillNpc	117	1672	3358	蜀冈秘境	3120	1	5	0		
50127	姚青萍	KillNpc	117	1438	3440	蜀冈秘境	3121	1	5	0		
50128	孙月楼	KillNpc	117	1536	2937	蜀冈秘境	3122	1	5	0		
50129	黑无常	KillNpc	118	1457	3597	丰都鬼城	3123	1	5	1		
50130	白无常	KillNpc	118	1617	3849	丰都鬼城	3124	1	5	0		
50131	阎十殿	KillNpc	118	1860	3784	丰都鬼城	3125	1	5	0		
50132	钟神判	KillNpc	118	1874	3406	丰都鬼城	3126	1	5	0		
50133	芭黛儿	KillNpc	119	1580	3193	苗岭	3127	1	5	1		
50134	纪千城	KillNpc	119	1606	3653	苗岭	3128	1	5	0		
50135	楼芊芊	KillNpc	119	1718	3275	苗岭	3129	1	5	0		
50136	白远海	KillNpc	119	1838	3666	苗岭	3130	1	5	0		
50137	田不二	KillNpc	120	1843	3469	武夷山	3131	1	5	1		
50138	沈五郎	KillNpc	120	1932	3867	武夷山	3132	1	5	0		
50139	史铁掌	KillNpc	120	1690	3802	武夷山	3133	1	5	0		
50140	余正海	KillNpc	120	1619	3571	武夷山	3134	1	5	0		
50141	裴时渊	KillNpc	121	1817	3266	武陵山	3135	1	5	1		
50142	吴太玄	KillNpc	121	1682	3456	武陵山	3136	1	5	0		
50143	皇甫建	KillNpc	121	1567	3310	武陵山	3137	1	5	0		
50144	申屠甄	KillNpc	121	1482	3158	武陵山	3138	1	5	0		
50145	鬼失惊	KillNpc	1742	1638	3182	万骨窟·魑	7040	1	6	1		
50146	慕容燕	KillNpc	1774	1820	3179	万骨窟·魑	7041	1	6	0		
50147	上官婉儿	KillNpc	1743	1638	3182	万骨窟·魅	7042	1	6	0		
50148	苏无纳邪	KillNpc	1775	1820	3179	万骨窟·魅	7043	1	6	0		
50149	燕十八	KillNpc	1744	1638	3182	万骨窟·魍	7044	1	6	1		
50150	江断水	KillNpc	1776	1820	3179	万骨窟·魍	7045	1	6	0		
50151	辛漠秋	KillNpc	1745	1638	3182	万骨窟·魉	7046	1	6	0		
50152	柳霜云	KillNpc	1777	1820	3179	万骨窟·魉	7047	1	6	0		
50153	谭戟戈	KillNpc	1746	1638	3182	拜月坛·朔	7048	1	6	1		
50154	刘啸虎	KillNpc	1778	1820	3179	拜月坛·朔	7049	1	6	0		
50155	俞小二	KillNpc	1747	1638	3182	拜月坛·望	7050	1	6	0		
50156	胡三条	KillNpc	1779	1820	3179	拜月坛·望	7051	1	6	0		
50157	菊小七	KillNpc	1748	1638	3182	拜月坛·残	7052	1	6	1		
50158	毛太公	KillNpc	1780	1820	3179	拜月坛·残	7053	1	6	0		
50159	崔野	KillNpc	1749	1638	3182	拜月坛·眉	7054	1	6	0		
50160	元千水	KillNpc	1781	1820	3179	拜月坛·眉	7055	1	6	0		
50161	窦陌香	KillNpc	1750	1638	3182	混阳殿·光	7061	1	6	1		
50162	斐媚妮	KillNpc	1782	1820	3179	混阳殿·光	7062	1	6	0		
50163	齐垚溜	KillNpc	1751	1638	3182	混阳殿·影	7063	1	6	0		
50164	苏娜蒙	KillNpc	1783	1820	3179	混阳殿·影	7064	1	6	0		
50165	清泉道人	KillNpc	1752	1638	3182	混阳殿·明	7065	1	6	1		
50166	耿武	KillNpc	1784	1820	3179	混阳殿·明	7066	1	6	0		
50167	胡渊	KillNpc	1753	1638	3182	混阳殿·暗	7067	1	6	0		
50168	肖子扬	KillNpc	1785	1820	3179	混阳殿·暗	7068	1	6	0		
50169	栗殿懿	KillNpc	1754	1638	3182	焚明堂·焦	7069	1	6	1		
50170	霍功殿	KillNpc	1786	1820	3179	焚明堂·焦	7070	1	6	0		
50171	刘泰洋	KillNpc	1755	1638	3182	焚明堂·炎	7071	1	6	0		
50172	崇尚松	KillNpc	1787	1820	3179	焚明堂·炎	7072	1	6	0		
50173	赤焱	KillNpc	1756	1638	3182	焚明堂·尘	7073	1	6	1		
50174	赵曼蝶	KillNpc	1788	1820	3179	焚明堂·尘	7074	1	6	0		
50175	闻焕章	KillNpc	1757	1638	3182	焚明堂·逝	7075	1	6	0		
50176	高振飞	KillNpc	1789	1820	3179	焚明堂·逝	7076	1	6	0		
50177	上官娜娜	KillNpc	1758	1638	3182	陨丹宫·日	7077	1	6	1		
50178	公孙康	KillNpc	1790	1820	3179	陨丹宫·日	7078	1	6	0		
50179	玉娇枝	KillNpc	1759	1638	3182	陨丹宫·月	7079	1	6	0		
50180	耶律国珍	KillNpc	1791	1820	3179	陨丹宫·月	7080	1	6	0		
50181	许轻雪	KillNpc	1760	1638	3182	陨丹宫·星	7081	1	6	1		
50182	赵清雨	KillNpc	1792	1820	3179	陨丹宫·星	7082	1	6	0		
50183	项之轩	KillNpc	1761	1638	3182	陨丹宫·辰	7083	1	6	0		
50184	裴元龙	KillNpc	1793	1820	3179	陨丹宫·辰	7084	1	6	0		
50185	欧阳飞	KillNpc	1762	1638	3182	血罗门·山	7085	1	6	1		
50186	吕沛杰	KillNpc	1794	1820	3179	血罗门·山	7086	1	6	0		
50187	吴剑道	KillNpc	1763	1638	3182	血罗门·河	7087	1	6	0		
50188	易威武	KillNpc	1795	1820	3179	血罗门·河	7088	1	6	0		
50189	楚忠天	KillNpc	1764	1638	3182	血罗门·湖	7089	1	6	1		
50190	周文浩	KillNpc	1796	1820	3179	血罗门·湖	7090	1	6	0		
50191	尚怡远	KillNpc	1765	1638	3182	血罗门·海	7091	1	6	0		
50192	陈啸摩	KillNpc	1797	1820	3179	血罗门·海	7092	1	6	0		
50193	癞头和尚	KillNpc	1766	1638	3182	魔龙殿·云	7093	1	6	1		
50194	巴尔虎	KillNpc	1798	1820	3179	魔龙殿·云	7094	1	6	0		
50195	海日罕	KillNpc	1767	1638	3182	魔龙殿·电	7095	1	6	0		
50196	巴赫土木	KillNpc	1799	1820	3179	魔龙殿·电	7096	1	6	0		
50197	乌尔巴图	KillNpc	1768	1638	3182	魔龙殿·霓	7097	1	6	1		
50198	哈斯卡	KillNpc	1800	1820	3179	魔龙殿·霓	7098	1	6	0		
50199	戴泽	KillNpc	1769	1638	3182	魔龙殿·风	7099	1	6	0		
50200	凤飞飞	KillNpc	1801	1820	3179	魔龙殿·风	7100	1	6	0		
50201	荧七邪	KillNpc	1770	1638	3182	嗜魂屋·灵	7101	1	6	1		
50202	花无影	KillNpc	1802	1820	3179	嗜魂屋·灵	7102	1	6	0		
50203	楚西月	KillNpc	1771	1638	3182	嗜魂屋·魄	7103	1	6	0		
50204	慕俊	KillNpc	1803	1820	3179	嗜魂屋·魄	7104	1	6	0		
50205	紫黛悖	KillNpc	1772	1638	3182	嗜魂屋·冥	7105	1	6	1		
50206	寒雨烟	KillNpc	1804	1820	3179	嗜魂屋·冥	7106	1	6	0		
50207	班古儿	KillNpc	1773	1638	3182	嗜魂屋·枢	7107	1	6	0		
50208	苏吉	KillNpc	1805	1820	3179	嗜魂屋·枢	7108	1	6	0		
